ticker,sim,gauss,t,vine
SPY,88.5,86.0,87.0,87.5
NVDA,68.5,91.0,92.0,92.5
JNJ,76.5,99.5,97.5,99.0
JPM,32.5,97.0,97.5,95.5
AAPL,66.0,86.5,85.0,87.5
QQQ,73.5,76.0,83.0,79.5
