ticker,sim,gauss,t,vine
SPY,78.5,84.5,77.5,77.5
NVDA,84.0,61.5,62.5,64.0
JNJ,98.0,96.5,94.0,93.5
JPM,24.5,64.0,57.5,57.5
AAPL,86.0,87.0,86.0,84.5
QQQ,84.5,84.0,85.5,88.5
