family,label,K,is_ks_pct,is_sim_kurt,is_acf_mae,is_acf_mae_raw,oos_ks_pct,oos_sim_kurt,oos_acf_mae,oos_acf_mae_raw,oos_crps,fit_time_s
gaussian,"CHMM-N",3,91.5,3.83,0.0462,0.0240,78.0,3.62,0.0544,0.0437,1.0393,0.10
student_t_pen,"CHMM-t (penalised, lambda = 20)",3,91.9,17.67,0.0538,0.0235,79.7,10.28,0.0496,0.0435,1.0382,0.60
laplace,"CHMM-L",3,80.6,5.24,0.0530,0.0235,63.6,5.20,0.0498,0.0435,1.0432,0.10
ged,"CHMM-GED",3,90.3,5.45,0.0531,0.0236,78.4,5.09,0.0501,0.0435,1.0398,0.71
