sector,ticker,ks_is_pct,ks_oos_pct,kurt_obs,kurt_sim,kurt_resid,acf_mae_abs,nu_median
Information Technology,ADBE,99.5,56.6,6.74,5.12,-1.62,0.0420,50.00
Information Technology,CRM,99.1,92.6,8.34,6.62,-1.72,0.0383,50.00
Information Technology,ORCL,99.5,0.0,12.32,14.05,1.73,0.0320,50.00
Health Care,ABBV,99.3,99.2,11.02,16.80,5.78,0.0286,50.00
Health Care,MRK,99.5,67.4,5.78,4.66,-1.12,0.0245,50.00
Health Care,PFE,98.3,54.6,5.46,5.58,0.12,0.0436,50.00
Financials,GS,99.6,68.7,5.05,6.85,1.80,0.0379,50.00
Financials,MS,99.5,68.0,4.84,3.60,-1.24,0.0358,50.00
Financials,BLK,98.2,88.8,7.24,6.20,-1.04,0.0448,50.00
Consumer Discretionary,NKE,99.6,39.7,8.86,20.45,11.59,0.0358,50.00
Consumer Discretionary,SBUX,99.7,48.5,9.67,16.20,6.53,0.0426,50.00
Consumer Discretionary,TSLA,99.6,85.7,3.46,2.74,-0.72,0.0518,50.00
Communication Services,GOOG,99.3,32.3,514.73,8.75,-505.98,0.0213,50.00
Communication Services,T,98.9,21.4,33.10,19.30,-13.80,0.0325,50.00
Communication Services,CMCSA,99.4,81.5,4.50,11.01,6.51,0.0348,50.00
Industrials,UNP,98.8,86.6,550.53,30.03,-520.50,0.0192,50.00
Industrials,MMM,98.9,44.8,8.41,13.38,4.97,0.0595,50.00
Industrials,LMT,99.5,90.1,11.60,34.73,23.13,0.0356,50.00
Consumer Staples,PEP,99.6,13.7,8.23,9.99,1.76,0.0350,50.00
Consumer Staples,MO,99.4,92.4,8.30,6.54,-1.76,0.0443,50.00
Consumer Staples,COST,99.5,91.6,7.91,6.92,-0.99,0.0302,50.00
Energy,SLB,98.7,95.3,30.00,8.76,-21.24,0.0847,50.00
Energy,EOG,99.2,11.3,180.14,13.89,-166.25,0.0338,50.00
Energy,MPC,98.9,86.9,12.93,8.77,-4.16,0.0570,50.00
Utilities,D,99.4,54.5,11.32,9.42,-1.90,0.0393,50.00
Utilities,AEP,99.5,97.4,10.97,8.41,-2.56,0.0414,50.00
Utilities,EXC,99.9,95.8,86.70,15.63,-71.07,0.0326,50.00
Materials,SHW,98.6,65.6,13.98,28.68,14.70,0.0389,50.00
Materials,ECL,97.8,87.9,12.33,33.26,20.93,0.0593,50.00
Materials,NUE,99.5,95.6,3.55,3.74,0.19,0.0670,50.00
