path_idx,excess_kurt
1,3.642856
2,6.160217
3,6.050630
4,4.914117
5,4.043057
6,5.540409
7,3.995947
8,10.950271
9,9.618638
10,7.044345
11,8.938293
12,8.010181
13,4.696412
14,9.335225
15,3.635326
16,6.910257
17,7.590287
18,5.378257
19,6.143142
20,4.385775
21,4.432448
22,6.339129
23,8.135267
24,6.988158
25,7.481314
26,10.309635
27,17.838109
28,5.319506
29,5.064255
30,4.288944
31,4.748444
32,2.726786
33,10.271312
34,30.551613
35,4.254593
36,5.090563
37,5.142546
38,7.756252
39,47.220297
40,4.201351
41,11.121538
42,2.877838
43,5.139662
44,10.177673
45,31.205520
46,5.579446
47,3.348150
48,9.771055
49,20.590949
50,4.859874
51,4.585834
52,5.004893
53,97.852973
54,3.874857
55,7.600375
56,3.845761
57,32.695285
58,8.386931
59,10.799068
60,5.421420
61,4.734657
62,14.781177
63,3.711842
64,5.796886
65,5.395969
66,5.300765
67,12.177495
68,3.857535
69,4.908625
70,5.227017
71,6.948791
72,6.158801
73,6.582408
74,4.143566
75,4.659722
76,4.491382
77,8.846476
78,4.193399
79,10.804488
80,4.195119
81,4.374188
82,10.373184
83,6.341572
84,5.944689
85,7.306497
86,6.834246
87,6.197544
88,6.025783
89,7.702746
90,7.965875
91,4.772574
92,41.259492
93,3.686327
94,4.729936
95,9.735975
96,6.976125
97,7.624753
98,4.841922
99,9.890778
100,4.327893
101,4.204005
102,3.382080
103,5.919148
104,6.059883
105,18.563993
106,6.060255
107,7.756752
108,5.067752
109,3.856284
110,7.434315
111,4.300631
112,4.522890
113,7.618472
114,6.536116
115,4.022503
116,14.829008
117,4.228767
118,5.416292
119,6.206218
120,10.215170
121,3.602120
122,7.938410
123,5.598618
124,3.919888
125,33.966400
126,3.873562
127,5.280796
128,3.203047
129,3.996283
130,5.148002
131,8.648072
132,8.305648
133,5.838836
134,7.043010
135,4.451082
136,6.547776
137,4.924299
138,4.362356
139,4.281667
140,6.135279
141,4.939082
142,7.130786
143,3.712869
144,6.790948
145,4.962718
146,3.167350
147,13.487594
148,7.436740
149,3.699949
150,3.348093
151,4.503338
152,9.977500
153,8.627424
154,7.525100
155,6.425007
156,7.427301
157,4.079107
158,4.915407
159,6.256209
160,7.975720
161,10.119258
162,12.080079
163,7.743086
164,8.252218
165,4.535226
166,4.128247
167,5.428449
168,5.457997
169,3.795385
170,4.824027
171,4.970527
172,8.279053
173,5.600180
174,6.911622
175,3.882717
176,9.916513
177,6.172595
178,3.983843
179,5.045674
180,8.440697
181,6.723021
182,16.454868
183,4.489042
184,4.185300
185,22.907986
186,49.213229
187,5.081678
188,5.503180
189,6.557906
190,5.330610
191,4.956319
192,3.783437
193,4.563017
194,4.505739
195,11.240057
196,4.804305
197,21.568011
198,4.048255
199,4.986867
200,4.844298
201,4.469083
202,8.011989
203,9.602972
204,7.817490
205,4.149139
206,10.987853
207,5.089491
208,7.309922
209,3.344205
210,10.006286
211,8.164022
212,7.357150
213,4.187232
214,6.103222
215,4.904137
216,3.506910
217,5.753986
218,7.250490
219,8.249653
220,7.765170
221,4.936062
222,9.759685
223,8.185349
224,57.078036
225,5.574272
226,4.746428
227,5.944385
228,11.758046
229,4.706405
230,7.586476
231,4.841634
232,7.814717
233,4.618324
234,6.473008
235,8.147143
236,5.338220
237,8.829096
238,11.226860
239,3.588031
240,5.973152
241,12.450683
242,5.542008
243,4.829078
244,4.082381
245,3.362256
246,22.912915
247,6.642752
248,10.488371
249,9.265902
250,3.472621
251,5.319841
252,25.889784
253,4.530242
254,9.196764
255,6.549111
256,4.433991
257,4.459403
258,5.031645
259,6.078158
260,5.892179
261,4.272984
262,10.231793
263,4.666545
264,6.259863
265,9.872797
266,3.848677
267,27.571649
268,46.821308
269,7.115095
270,5.442909
271,4.514380
272,4.342476
273,4.925123
274,11.691219
275,8.963485
276,16.597525
277,6.517754
278,5.123386
279,3.845540
280,4.800615
281,30.968260
282,15.453868
283,5.141913
284,12.156149
285,4.837206
286,17.550153
287,8.016332
288,3.336761
289,2.816724
290,4.120042
291,7.722661
292,10.588362
293,5.479155
294,3.838388
295,7.801423
296,12.984579
297,4.127318
298,6.179389
299,18.507866
300,17.529659
301,5.494126
302,3.549526
303,10.056356
304,4.337460
305,8.931958
306,18.018557
307,54.448179
308,258.370198
309,6.432741
310,39.636601
311,11.030071
312,2.804288
313,3.875959
314,4.098572
315,4.361785
316,5.405299
317,5.658006
318,11.271770
319,5.529784
320,7.017970
321,4.846927
322,5.502087
323,8.048523
324,5.895343
325,3.586233
326,6.027349
327,5.311120
328,5.498517
329,6.036085
330,14.116849
331,6.560428
332,903.355322
333,7.660239
334,9.207253
335,9.175046
336,5.461668
337,5.056077
338,15.806466
339,3.608908
340,3.388205
341,4.529048
342,20.532664
343,5.901558
344,6.018989
345,15.611467
346,5.607410
347,10.282033
348,5.983154
349,10.182804
350,5.311356
351,6.539343
352,5.780116
353,6.154864
354,5.095520
355,6.920025
356,5.857882
357,5.670024
358,6.002576
359,5.422225
360,27.257760
361,4.203786
362,3.731828
363,8.882862
364,4.418182
365,29.724519
366,5.794550
367,3.631680
368,2.654525
369,4.830968
370,31.973739
371,5.479369
372,9.785810
373,6.015308
374,8.191539
375,12.404073
376,6.542790
377,11.717721
378,5.952752
379,4.227399
380,19.388596
381,3.195366
382,6.513703
383,22.474795
384,12.809625
385,21.250958
386,7.137222
387,13.287599
388,12.230725
389,3.898600
390,7.519788
391,5.105419
392,26.589135
393,8.464411
394,11.870540
395,4.093561
396,9.545429
397,4.678658
398,4.437591
399,9.242055
400,4.164570
401,11.212421
402,7.499321
403,4.792832
404,6.600017
405,4.949211
406,4.119564
407,20.689274
408,9.435848
409,7.089193
410,7.508827
411,7.261311
412,3.965316
413,5.474001
414,4.976058
415,4.645064
416,20.924614
417,6.990950
418,12.473360
419,13.256358
420,4.685380
421,3.509503
422,4.926674
423,12.969880
424,4.013273
425,7.981821
426,5.905397
427,2.867802
428,5.413796
429,4.724154
430,4.346737
431,8.146128
432,20.609313
433,8.010422
434,4.283681
435,3.881916
436,6.692568
437,73.526312
438,4.234421
439,135.737216
440,20.292134
441,4.505906
442,7.768489
443,11.777710
444,3.407569
445,3.933240
446,8.346009
447,9.005997
448,8.589225
449,3.680750
450,4.544781
451,9.718422
452,8.760721
453,8.919710
454,5.239117
455,8.805283
456,22.227054
457,7.352110
458,4.357740
459,5.561759
460,3.444277
461,6.970081
462,3.302327
463,4.844036
464,10.681650
465,8.023585
466,6.977316
467,8.409187
468,4.385022
469,8.089868
470,4.381655
471,5.411640
472,5.156679
473,4.558521
474,5.332014
475,12.254103
476,6.268910
477,7.421888
478,7.977759
479,5.032515
480,4.939164
481,5.293019
482,8.903464
483,26.542209
484,11.882265
485,10.055660
486,2.893958
487,5.946728
488,3.468222
489,4.794253
490,3.172885
491,7.054206
492,5.136618
493,6.842465
494,4.020573
495,5.954862
496,3.735663
497,3.448497
498,6.760358
499,12.146324
500,9.611136
501,5.026848
502,4.947800
503,6.313507
504,5.894479
505,5.365129
506,6.225895
507,15.170426
508,5.835508
509,6.197940
510,10.527825
511,4.707808
512,4.595744
513,9.946649
514,7.712434
515,10.703952
516,5.525970
517,5.682171
518,4.306119
519,6.192440
520,4.034718
521,8.041867
522,6.217211
523,5.838224
524,9.814023
525,12.816009
526,5.153851
527,29.672845
528,40.114493
529,8.275744
530,9.239658
531,5.909322
532,30.564485
533,3.251147
534,5.743519
535,9.114402
536,3.907486
537,19.249144
538,8.820145
539,20.822717
540,3.578956
541,7.250441
542,8.007830
543,7.255491
544,4.135833
545,4.844750
546,5.853326
547,7.759674
548,5.191760
549,5.104041
550,4.356304
551,9.380001
552,4.523877
553,15.084215
554,12.021430
555,5.649541
556,2.994530
557,11.403576
558,7.564761
559,3.990850
560,5.605315
561,6.725730
562,5.136004
563,7.381052
564,4.599274
565,8.017061
566,6.893306
567,5.232359
568,239.251304
569,10.702000
570,5.213090
571,2.935500
572,3.534761
573,5.566444
574,4.702681
575,6.057728
576,7.516532
577,4.921895
578,16.171969
579,10.099286
580,6.813738
581,12.206065
582,6.819023
583,5.900697
584,7.499693
585,4.717498
586,4.535296
587,10.621110
588,10.028801
589,4.666542
590,5.804052
591,8.385797
592,13.064923
593,7.690506
594,7.908621
595,9.837427
596,8.193335
597,10.572924
598,30.181690
599,7.171975
600,6.928616
601,8.637176
602,4.925971
603,23.446578
604,6.184907
605,3.905505
606,4.598554
607,4.288495
608,19.930105
609,27.163427
610,15.598663
611,2.861000
612,6.501128
613,13.275268
614,5.060290
615,2.924264
616,12.789805
617,5.069250
618,15.103585
619,21.370763
620,5.022449
621,6.097751
622,4.458242
623,3.390393
624,5.825706
625,4.306263
626,8.183204
627,4.242165
628,4.052991
629,13.826761
630,5.763525
631,9.832794
632,5.716554
633,4.325656
634,12.376618
635,5.918690
636,11.234591
637,5.633635
638,5.229060
639,13.122025
640,6.380329
641,4.882880
