path_idx,excess_kurt
1,15.554157
2,3.619438
3,7.529009
4,23.660540
5,4.499218
6,8.508613
7,12.112647
8,5.203541
9,6.292046
10,9.425006
11,5.016328
12,4.432694
13,13.445191
14,3.502925
15,10.021616
16,384.070838
17,91.611562
18,14.943203
19,5.867863
20,6.946696
21,16.768919
22,24.250042
23,21.251522
24,5.541186
25,57.878864
26,14.337332
27,8.513412
28,4.107833
29,29.438124
30,9.101403
31,10.041371
32,3.522252
33,8.690232
34,9.389348
35,7.317630
36,2.914703
37,18.320503
38,3.960974
39,13.207892
40,3.792256
41,124.551989
42,14.919838
43,9.829493
44,104.615021
45,5.375589
46,4.489483
47,5.604081
48,259.509178
49,3.917571
50,10.616445
51,12.998912
52,5.277992
53,17.403841
54,6.073606
55,5.382398
56,8.559708
57,15.397545
58,55.360685
59,10.440446
60,19.852318
61,6.425183
62,181.740668
63,3.798742
64,13.110103
65,4.684863
66,10.144773
67,8.865451
68,8.361641
69,84.650926
70,4.624131
71,19.840070
72,5.828239
73,13.564501
74,9.672951
75,3.714150
76,35.499784
77,6.651402
78,12.510372
79,5.004106
80,13.079581
81,5.697652
82,5.128912
83,7.748736
84,12.642166
85,21.830221
86,13.559992
87,6.266047
88,13.590581
89,6.841329
90,7.086355
91,6.591252
92,18.611294
93,9.054214
94,107.059996
95,8.618201
96,8.631455
97,9.490719
98,7.597656
99,6.563229
100,11.229901
101,9.474058
102,3.507461
103,11.218193
104,3.858423
105,36.384089
106,6.234808
107,12.355394
108,9.428802
109,8.112265
110,2279.892235
111,8.867602
112,24.405313
113,15.019686
114,141.650788
115,3.530100
116,5.096982
117,7.680403
118,17.005004
119,14.166090
120,5.896445
121,34.403876
122,21.711342
123,6.118318
124,6.213652
125,8.720181
126,5.419190
127,15.980646
128,3.618232
129,7.972203
130,19.370437
131,9.698417
132,10.925843
133,17.195436
134,3.537744
135,8.688016
136,8.106926
137,4.767070
138,10.416326
139,4.944186
140,10.575596
141,7.860233
142,5.972805
143,3.851595
144,6.742674
145,5.100388
146,22.083743
147,7.380091
148,10.403611
149,4.889705
150,6.801152
151,9.657561
152,6.712522
153,10.455043
154,4.428248
155,14.787556
156,19.445688
157,7.310459
158,6.885524
159,17.895273
160,4.031011
161,11.703449
162,10.572451
163,7.183474
164,3.613983
165,16.205464
166,417.359529
167,5.604687
168,14.344327
169,7.759071
170,17.514769
171,4.033706
172,7.934641
173,9.265588
174,7.852338
175,5.861648
176,9.220556
177,6.400460
178,7.427519
179,16.103089
180,11.344260
181,7.537135
182,14.426437
183,136.577052
184,7.920319
185,4.538611
186,13.173249
187,19.025825
188,7.496284
189,7.642084
190,6.617856
191,9.043009
192,8.815100
193,10.242805
194,5.355591
195,7.956005
196,3.836317
197,10.561157
198,5.461392
199,27.312974
200,717.769184
201,3.536943
202,11.444570
203,6.132914
204,8.692054
205,18.153820
206,17.661166
207,8.135539
208,6.804310
209,4.835422
210,4.418013
211,8.107110
212,52.955210
213,4.000694
214,39.435295
215,10.354309
216,4.738823
217,7.411670
218,4.376031
219,4.229768
220,11.675858
221,118.243725
222,7.547395
223,5.624154
224,5.582827
225,10.487033
226,7.385318
227,24.702820
228,57.593669
229,24.522619
230,6.031252
231,18.728176
232,6.889747
233,39.276365
234,17.012966
235,14.956067
236,4.913511
237,13.926240
238,4.162097
239,5.078091
240,9.496873
241,21.063993
242,9.761616
243,9.300700
244,3.997144
245,9.347698
246,46.245107
247,9.315651
248,9.580972
249,8.429283
250,11.037981
251,16.466239
252,15.126996
253,10.994990
254,7.988693
255,6.639241
256,3.833615
257,8.303898
258,10.714177
259,5.765894
260,5.787405
261,5.767480
262,12.011650
263,32.597853
264,13.815262
265,17.970045
266,6.528818
267,5.379147
268,10.181309
269,10.625303
270,9.091561
271,2.989955
272,4.195315
273,8.907220
274,5.150212
275,4.421166
276,14.106730
277,10.542191
278,8.153882
279,8.828805
280,7.144898
281,15.504362
282,5.948605
283,7.006850
284,8.288481
285,12.661232
286,11.957671
287,20.577016
288,5.604658
289,30.315005
290,8.322237
291,3.427362
292,3.498336
293,12.252527
294,5.509868
295,4.187841
296,11.232652
297,46.378942
298,8.415438
299,11.377168
300,9.052262
301,6.519313
302,10.615588
303,2.645620
304,26.754987
305,3.872963
306,3.155235
307,2.847923
308,10.257762
309,5.647769
310,5.197659
311,7.850476
312,7.478972
313,6.353598
314,8.892202
315,40.932676
316,108.486962
317,13.414804
318,7.244855
319,33.262863
320,5.355080
321,8.217041
322,12.572837
323,7.527948
324,13.181309
325,7.533429
326,9.475461
327,16.501236
328,16.802067
329,9.479435
330,7.170797
331,26.164601
332,3.489772
333,5.620436
334,14.166487
335,6.168853
336,4.033198
337,4.483836
338,5.621847
339,6.401094
340,22.746285
341,33.779109
342,16.669750
343,5.940846
344,10.417756
345,3.819022
346,5.035010
347,4.454467
348,3.373402
349,315.076579
350,10.613895
351,228.978078
352,5.328005
353,5.634507
354,4.966120
355,10.351712
356,17.031456
357,4.925242
358,13.053850
359,5.993369
360,21.850707
361,3.509424
362,12.272332
363,7.188042
364,7.194066
365,15.286768
366,18.371794
367,6.024543
368,13.198567
369,40.229249
370,4.125923
371,31.985731
372,6.717009
373,21.379773
374,5.595945
375,15.029284
376,7.776617
377,3.378485
378,6.472069
379,14.162004
380,117.255798
381,6.092327
382,8.520605
383,4.307355
384,77.858953
385,5.964991
386,9.395802
387,12.064496
388,3.253887
389,18.815701
390,14.680191
391,5.001237
392,11.769804
393,86.646172
394,5.329234
395,10.854609
396,12.002504
397,3.258606
398,6.187844
399,4.358458
400,5.000816
401,3.450773
402,20.320223
403,6.273164
404,42.861847
405,27.094009
406,3.287910
407,10.892435
408,5.270817
409,6.142416
410,7.897529
411,32.156850
412,10.804226
413,8.426269
414,33.233132
415,10.168588
416,7.614527
417,6.366396
418,7.173051
419,5.708690
420,7.523739
421,13.716419
422,10.066911
423,5.101072
424,6.994660
425,4.869261
426,4.965893
427,13.024222
428,8.894016
429,8.433732
430,11.605740
431,5.005803
432,5.069905
433,9.452732
434,5.062314
435,13.305238
436,10.578140
437,10.546142
438,22.090053
439,9.764665
440,7.910491
441,64.540665
442,15.360379
443,12.342694
444,6.112538
445,2.894237
446,30.422981
447,4.758179
448,8.632922
449,4.748529
450,12.033181
451,7.744604
452,76.627851
453,24.901295
454,12.874243
455,4.120204
456,21.404475
457,13.046488
458,7.117905
459,7.220627
460,231.258914
461,7.516314
462,5.412895
463,6.740512
464,7.915282
465,11.901110
466,8.105224
467,18.844520
468,6.684038
469,4.311503
470,4.534312
471,19.776961
472,17.611189
473,13.490487
474,12.014069
475,7.634505
476,4.924026
477,9.586877
478,6.665275
479,7.229137
480,5.895871
481,7.080594
482,5.992967
483,3.932581
484,8.888085
485,15.022166
486,4.435945
487,35.079487
488,7.160962
489,6.235305
490,4.083892
491,22.275536
492,7.441987
493,6.109478
494,17.162677
495,15.831749
496,6.941766
497,5.049927
498,14.405841
499,23.846113
500,18.975679
501,67.272757
502,10.493785
503,27.166097
504,56.971150
505,28.310484
506,8.741932
507,11.273899
508,3.110134
509,3.953351
