K,agg_kurt,median,sd,q05,q95,n_in_ci,n_below_lo,n_above_hi,pct_in_ci,pct_below_hi
3,16.6490,7.7740,74.4020,3.7490,34.6240,766,0,234,76.6,76.6
6,10.1290,6.7420,13.4760,3.6290,26.2960,817,1,182,81.7,81.8
18,8.9380,6.0890,16.8760,3.5360,18.1150,899,0,101,89.9,89.9
