alpha,b1,b2,b3,breaches,breach_rate,med_var,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,DQ,p_DQ
0.01,-0.62214,0.6899,-0.70401,6,0.0105,-4.823,0.014,0.907,3.968,0.046,3.982,0.137,16.973,0.009
0.05,-0.16590,0.7969,-0.35278,25,0.0437,-2.988,0.497,0.481,0.671,0.413,1.169,0.558,3.382,0.760
