ticker,family,S0,n_oos,n_paths,P_obs_end,q05_end,q50_end,q95_end,mean_end,std_end,hit_rate_90,cov90_path,median_mape,mean_crps,crps_rel_S0,coupling_mean_entropy
SPY,Gaussian,469.8983,572,500,710.1344523495925,432.41307153458365,608.8195050242052,828.1307717757985,615.3293009743281,121.32216395904925,1.0,1.0,0.09738222671900555,36.85125882495786,0.07842390326791533,2.508393522247588
SPY,StudentT,469.8983,572,500,710.1344523495925,366.4595821379608,529.1509020673061,742.6743660155115,541.6105367593104,115.88782601746644,1.0,0.9493006993006993,0.15690929588179633,62.61024184851277,0.1332421118538049,2.6154401473209337
SPY,Laplace,469.8983,572,500,710.1344523495925,362.2521971595067,517.7168892641208,739.8952992240719,528.5809796661205,115.67471166218691,1.0,0.9685314685314685,0.17049340394887938,68.94350825120874,0.1467200631524071,2.5267077594190037
NVDA,Gaussian,47.6677,572,500,198.07193779932098,46.54167446265135,103.07791909676884,242.87802803145408,118.67348963655431,67.12890118464385,1.0,0.4370629370629371,0.45372351261474086,45.64271175811042,0.9575186501154958,2.6103973312286852
NVDA,StudentT,47.6677,572,500,198.07193779932098,51.86005378181445,129.99143312923363,321.5999906736551,151.92161312110332,92.06449562606493,1.0,0.5454545454545454,0.37963255836390203,35.350393743194736,0.7416005752993061,2.808179046974928
NVDA,Laplace,47.6677,572,500,198.07193779932098,47.043572436149425,109.9836028129223,288.08788169158794,129.19435839351362,75.01817522335037,1.0,0.5227272727272727,0.4385419017964258,42.776427517170184,0.8973881164220254,2.7985010700820143
JNJ,Gaussian,160.9321,572,500,231.99043220044754,123.0390652563731,175.12669211229274,238.9231764659604,177.86843107203427,37.06427511567613,1.0,0.9353146853146853,0.09473012468392142,12.567436936057902,0.07809154877154964,2.774163783845711
JNJ,StudentT,160.9321,572,500,231.99043220044754,125.4729038631746,188.06722039466612,287.50219590515695,193.47999575056775,48.07847660388065,1.0,0.9947552447552448,0.0966240299436517,11.945908885641261,0.07422949731993345,2.805606316731146
JNJ,Laplace,160.9321,572,500,231.99043220044754,128.75975862037077,187.65726964238473,271.4320643873079,191.68286535554384,42.688214509797675,1.0,0.9947552447552448,0.09789356729273123,12.027602368141341,0.07473712434089497,2.796950703737848
JPM,Gaussian,171.3335,572,500,314.1851772515061,118.29246543723562,201.99703684873134,350.805748470663,211.33304612876722,69.95379285364196,1.0,0.9370629370629371,0.23498828857251916,40.91452894435243,0.23880052029727075,2.5845427602266553
JPM,StudentT,171.3335,572,500,314.1851772515061,93.31084331421877,175.25547534399635,341.24159554562283,190.37458100664816,76.85282536488822,1.0,0.8111888111888111,0.2868307939991996,51.65724392813201,0.3015011304160133,2.7420155286718058
JPM,Laplace,171.3335,572,500,314.1851772515061,110.06177411565618,191.24609942462638,351.8304841634035,203.93649172133865,71.4470307840137,1.0,0.9475524475524476,0.2500518220590091,44.54867174304191,0.26001144985097435,2.7873267827397328
AAPL,Gaussian,184.3226,572,500,276.2408343263282,131.36344802717832,208.959043824654,345.8983807000335,223.3623642107923,71.97751022364943,1.0,1.0,0.12772182359218834,20.216037157729925,0.10967747393824699,2.717955974126872
AAPL,StudentT,184.3226,572,500,276.2408343263282,184.28905106270477,324.2180751914252,570.7657361879794,344.7382221908078,130.3069323831003,1.0,1.0,0.11014933960916419,20.052173438805127,0.10878846890617389,2.7913662472086958
AAPL,Laplace,184.3226,572,500,276.2408343263282,181.14815408147814,321.3336762545176,571.2732558771178,342.3137439269485,121.55348030583335,1.0,1.0,0.10297332112938941,19.53043364116385,0.10595788927219912,2.7942359814230553
QQQ,Gaussian,399.5046,572,500,649.0205332319141,322.51228018296536,469.77860953731727,694.2005042343454,483.01646187090614,115.34781034033972,1.0,0.993006993006993,0.1602620657229935,55.25784293665865,0.13831591159816095,2.5170084897409777
QQQ,StudentT,399.5046,572,500,649.0205332319141,326.2306283021387,501.51825271695213,778.0183181613305,519.2414407722531,134.0035332809432,1.0,0.9965034965034965,0.13559054810128107,45.009516240192056,0.11266332412741195,2.5225813554569845
QQQ,Laplace,399.5046,572,500,649.0205332319141,343.6819715487173,525.8396244207357,805.7300894527718,542.9583887748591,139.4851965446065,1.0,0.9947552447552448,0.11858573850475117,39.469193188305326,0.09879534100059255,2.762871889335024
