Profile log-likelihood of Student-t copula — six-asset SPY cross-section
===========================================================================
ν       | log-L
------------------------------
2.0     | 5720.54
3.0     | 6340.95
4.0     | 6516.52
5.0     | 6571.22
6.0     | 6584.31
8.0     | 6571.34
10.0    | 6545.69
15.0    | 6485.52
20.0    | 6440.98
30.0    | 6382.94

argmax: ν* = 6.0  (profile log-L = 6584.31)
