sector,ticker,ks_is_pct,ks_oos_pct,kurt_obs,kurt_sim,kurt_resid,acf_mae_abs,nu_median
Information Technology,AAPL,99.1,95.1,3.19,2.84,-0.35,0.0418,50.00
Information Technology,MSFT,99.7,96.9,4.20,3.48,-0.72,0.0389,50.00
Information Technology,NVDA,99.6,55.7,5.53,6.23,0.70,0.0474,50.00
Health Care,JNJ,99.3,93.2,8.97,11.65,2.68,0.0335,50.00
Health Care,UNH,99.3,14.5,8.85,10.31,1.46,0.0382,50.00
Health Care,LLY,99.7,7.6,13.60,66.51,52.91,0.0295,50.00
Financials,JPM,99.5,50.5,7.62,8.14,0.52,0.0458,50.00
Financials,BAC,99.6,84.8,5.76,5.47,-0.29,0.0394,50.00
Financials,WFC,98.2,57.6,7.53,10.90,3.37,0.0791,50.00
Consumer Discretionary,AMZN,99.4,96.9,4.31,3.68,-0.63,0.0413,50.00
Consumer Discretionary,HD,99.2,41.4,12.92,17.03,4.11,0.0368,50.00
Consumer Discretionary,MCD,99.5,66.6,18.38,26.93,8.55,0.0394,50.00
Communication Services,NFLX,99.3,45.1,12.60,4.67,-7.93,0.0320,50.00
Communication Services,VZ,99.3,49.1,5.14,5.15,0.01,0.0270,50.00
Communication Services,DIS,99.5,96.4,10.77,13.94,3.17,0.0644,50.00
Industrials,CAT,99.7,78.9,4.34,3.48,-0.86,0.0321,50.00
Industrials,BA,97.6,62.2,20.59,52.00,31.41,0.0793,50.00
Industrials,HON,99.3,96.0,21.93,17.09,-4.84,0.0571,50.00
Consumer Staples,PG,99.7,94.3,8.15,9.51,1.36,0.0347,50.00
Consumer Staples,KO,99.5,92.7,10.57,12.84,2.27,0.0457,50.00
Consumer Staples,WMT,99.7,24.0,13.84,32.63,18.79,0.0279,50.00
Energy,XOM,96.9,70.3,5.61,10.99,5.38,0.0988,50.00
Energy,CVX,99.6,62.3,12.22,14.78,2.56,0.0498,50.00
Energy,COP,99.4,83.6,17.11,8.28,-8.83,0.0494,50.00
Utilities,NEE,98.6,24.0,10.71,9.87,-0.84,0.0455,50.00
Utilities,DUK,99.7,96.9,9.75,8.11,-1.64,0.0466,50.00
Utilities,SO,99.6,96.2,14.52,12.73,-1.79,0.0481,50.00
Materials,FCX,99.8,76.6,4.83,4.11,-0.72,0.0573,50.00
Materials,NEM,99.6,5.6,3.74,3.88,0.14,0.0376,50.00
Materials,APD,99.2,90.2,8.40,16.74,8.34,0.0381,50.00
