nu,profile_loglik,in_wilks_ci
3.0,5925.883938,0
3.5,6030.980648,0
4.0,6090.400317,0
4.5,6124.356766,0
5.0,6143.374200,0
5.5,6153.281867,0
6.0,6157.472248,1
6.5,6158.000733,1
7.0,6156.154448,1
7.5,6152.761660,0
8.0,6148.367406,0
8.5,6143.336904,0
9.0,6137.918412,0
9.5,6132.282502,0
10.0,6126.547216,0
10.5,6120.794514,0
11.0,6115.081249,0
11.5,6109.446608,0
12.0,6103.917232,0
