nu,profile_loglik,in_wilks_ci
2.0,5355.090004,0
3.0,5925.883938,0
4.0,6090.400317,0
5.0,6143.374200,0
6.0,6157.472248,1
7.0,6156.154448,1
8.0,6148.367406,0
9.0,6137.918412,0
10.0,6126.547216,0
11.0,6115.081249,0
12.0,6103.917232,0
15.0,6073.577295,0
20.0,6033.756610,0
30.0,5981.437469,0
