ticker,kurt_obs,lambda_star,kurt_at_star,KS_at_star
SPY,7.686,10.0,11.819,96.40
NVDA,5.538,20.0,5.678,99.40
JNJ,8.975,20.0,10.738,99.80
JPM,7.628,10.0,8.619,98.60
AAPL,3.200,10.0,3.240,99.20
QQQ,3.402,0.0,3.349,95.20
