generator,ks_is,ad_is,kurt_is,acf_is,acf_raw_is,w1_is,hell_is,cov_is,ks_oos,ad_oos,kurt_oos,acf_oos,acf_raw_oos,w1_oos,hell_oos,cov_oos,kurt_obs_is,kurt_obs_oos
Bootstrap,99.8,99.5,7.55,0.0628,0.0235,0.066,0.0503,100.0,91.8,93.7,6.86,0.0542,0.0435,0.193,0.1529,77.8,7.68,5.29
Gaussian,0.0,0.0,-0.00,0.0627,0.0235,0.411,0.1540,13.1,1.5,0.2,-0.02,0.0546,0.0435,0.447,0.1943,21.2,7.68,5.29
Laplace,98.2,96.2,2.96,0.0628,0.0235,0.124,0.0821,78.8,86.3,91.4,2.80,0.0545,0.0435,0.201,0.1522,69.7,7.68,5.29
DiscreteNJ,98.0,98.5,3.52,0.0618,0.0232,0.108,0.1604,100.0,82.7,87.2,3.45,0.0540,0.0435,0.212,0.1929,93.9,7.68,5.29
DiscreteWJ,97.2,96.7,3.48,0.0599,0.0233,0.117,0.1620,100.0,84.2,87.2,3.38,0.0545,0.0435,0.221,0.1945,89.9,7.68,5.29
GARCH,27.4,11.3,7.59,0.0490,0.0244,0.247,0.1025,51.5,59.6,57.3,2.70,0.0593,0.0435,0.355,0.1697,87.9,7.68,5.29
CHMM-N,91.5,82.9,3.83,0.0462,0.0240,0.125,0.0833,100.0,78.0,67.8,3.62,0.0544,0.0437,0.286,0.1638,94.9,7.68,5.29
CHMM-t (per-state nu),93.2,87.5,31.37,0.0542,0.0235,0.107,0.0758,100.0,82.3,76.6,13.91,0.0502,0.0432,0.243,0.1516,100.0,7.68,5.29
CHMM-L,80.5,80.8,5.24,0.0530,0.0235,0.113,0.0856,97.0,63.6,66.0,5.20,0.0498,0.0435,0.264,0.1638,84.8,7.68,5.29
CHMM-GED,90.3,85.5,5.45,0.0531,0.0236,0.109,0.0818,100.0,78.4,73.6,5.09,0.0501,0.0435,0.252,0.1604,91.9,7.68,5.29
CHMM-t (shared nu),91.9,87.1,4.68,0.0531,0.0236,0.107,0.0790,100.0,82.1,77.3,4.46,0.0502,0.0436,0.236,0.1574,100.0,7.68,5.29
MS-GARCH (K=3),0.1,0.0,4.52,0.0433,0.0241,0.259,0.1025,56.6,5.1,9.5,2.53,0.0539,0.0435,0.368,0.1721,63.6,7.68,5.29
