cadence,comparison,dbar,n,h_nw,indep_se,hac_se,z_indep,z_hac
4-fold full-year,K=6 vs K=3,-0.009950,4,1,0.019403,0.011066,-0.5128,-0.8991
4-fold full-year,K=18 vs K=6,-0.298300,4,1,0.086920,0.083883,-3.4319,-3.5561
4-fold full-year,K=18 vs K=3,-0.308250,4,1,0.097559,0.093043,-3.1596,-3.3130
6-fold half-year,K=6 vs K=3,0.006033,6,1,0.012350,0.010587,0.4885,0.5699
6-fold half-year,K=18 vs K=6,-0.212017,6,1,0.039137,0.042367,-5.4173,-5.0043
6-fold half-year,K=18 vs K=3,-0.205983,6,1,0.037297,0.040377,-5.5227,-5.1015
