idx,date,R_oos,var_05,var_01,breach_05,breach_01,p_highvol
1,1,-0.72202,-2.63605,-4.26788,0,0,0.02271
2,2,-0.25613,-2.52974,-4.17004,0,0,0.02048
3,3,2.08620,-2.19769,-3.85704,0,0,0.01395
4,4,0.83566,-2.66323,-4.31156,0,0,0.02479
5,5,1.13902,-2.32944,-3.98483,0,0,0.01660
6,6,-0.19423,-2.09541,-3.76167,0,0,0.01249
7,7,0.67353,-1.77398,-3.41568,0,0,0.00778
8,8,-0.88665,-1.54440,-3.06911,0,0,0.00457
9,9,-1.67196,-1.65987,-3.25565,1,0,0.00580
10,10,1.58290,-2.51036,-4.14009,0,0,0.01915
11,11,2.75618,-2.53634,-4.17557,0,0,0.02057
12,12,1.94133,-3.08387,-4.82769,0,0,0.04542
13,13,0.19775,-3.08323,-4.82635,0,0,0.04534
14,14,1.34253,-2.86961,-4.53224,0,0,0.03203
15,15,0.15458,-2.75736,-4.40712,0,0,0.02762
16,16,0.38587,-2.38564,-4.03614,0,0,0.01758
17,17,0.80217,-1.93937,-3.60317,0,0,0.01007
18,18,0.83459,-1.65975,-3.26099,0,0,0.00618
19,19,-2.56594,-1.50852,-2.99759,1,0,0.00401
20,20,0.35522,-3.02467,-4.69398,0,0,0.03751
21,21,3.30737,-2.80290,-4.43668,0,0,0.02767
22,22,-0.02392,-3.20086,-5.10063,0,0,0.06131
23,23,0.03645,-3.01404,-4.74720,0,0,0.04222
24,24,2.12049,-2.75905,-4.42085,0,0,0.02863
25,25,0.43829,-2.96688,-4.66385,0,0,0.03784
26,26,1.14154,-2.68512,-4.33445,0,0,0.02549
27,27,0.61067,-2.46992,-4.11968,0,0,0.01965
28,28,-3.67182,-2.04892,-3.71590,1,0,0.01175
29,29,1.23869,-3.34625,-5.58662,0,0,0.09097
30,30,2.04348,-3.14512,-5.08041,0,0,0.06165
31,31,0.08010,-3.14436,-5.02930,0,0,0.05808
32,32,-2.26491,-2.90580,-4.62685,0,0,0.03774
33,33,-0.31100,-3.19204,-5.09491,0,0,0.06119
34,34,5.03342,-3.01914,-4.76322,0,0,0.04322
35,35,1.29510,-4.04892,-7.15141,0,0,0.21878
36,36,-0.67442,-3.52941,-6.24466,0,0,0.13493
37,37,-0.42198,-3.19700,-5.43633,0,0,0.08389
38,38,-0.09739,-2.89092,-4.78363,0,0,0.04956
39,39,0.94813,-2.50421,-4.23813,0,0,0.02681
40,40,1.63076,-2.15492,-3.85113,0,0,0.01576
41,41,0.72773,-2.26555,-3.94325,0,0,0.01677
42,42,-2.35120,-1.87349,-3.53851,1,0,0.00960
43,43,0.96886,-3.05078,-4.78172,0,0,0.04329
44,44,2.13767,-2.87275,-4.53987,0,0,0.03249
45,45,-0.11219,-3.02072,-4.72965,0,0,0.04054
46,46,-1.65628,-2.80190,-4.45499,0,0,0.02921
47,47,2.16885,-3.03440,-4.74625,0,0,0.04122
48,48,0.60594,-3.09474,-4.84467,0,0,0.04627
49,49,-0.87341,-2.89559,-4.56257,0,0,0.03319
50,50,-2.23430,-2.84386,-4.50134,0,0,0.03083
51,51,1.63510,-3.15371,-4.97131,0,0,0.05352
52,52,0.33455,-3.08323,-4.83704,0,0,0.04617
53,53,1.91559,-2.86088,-4.52766,0,0,0.03209
54,54,2.37698,-2.95053,-4.63524,0,0,0.03634
55,55,-0.50656,-3.10040,-4.85878,0,0,0.04713
56,56,-0.70162,-2.96502,-4.65126,0,0,0.03692
57,57,-0.19991,-2.85890,-4.51870,0,0,0.03147
58,58,0.54586,-2.59023,-4.23336,0,0,0.02234
59,59,1.15526,-2.17628,-3.83797,0,0,0.01368
60,60,-0.41655,-1.96576,-3.63083,0,0,0.01045
61,61,-1.95076,-1.75638,-3.39260,1,0,0.00748
62,62,0.53610,-2.81148,-4.46014,0,0,0.02913
63,63,-0.86056,-2.46990,-4.11415,0,0,0.01923
64,64,-0.11102,-2.44994,-4.09813,0,0,0.01901
65,65,0.61329,-2.06232,-3.72829,0,0,0.01190
66,66,-0.58228,-1.70341,-3.32355,0,0,0.00680
67,67,-1.72745,-1.64058,-3.23029,1,0,0.00579
68,68,1.11597,-2.55008,-4.18224,0,0,0.02038
69,69,-2.02230,-2.31323,-3.96366,0,0,0.01583
70,70,-1.97534,-3.01604,-4.71992,0,0,0.03999
71,71,-2.06946,-3.15218,-4.96635,0,0,0.05321
72,72,-1.01481,-3.21245,-5.14374,0,0,0.06401
