K,is_KS,is_kurt,is_acf_mae,is_acf_mae_raw,oos_KS,oos_kurt,oos_acf_mae,oos_acf_mae_raw
11,94.4,4.52,0.0505,0.0238,82.8,4.11,0.0528,0.0436
18,94.0,5.04,0.0514,0.0237,81.0,4.42,0.0526,0.0435
