==============================================================================================================
Per-state Frobenius distances on the 30-ticker panel (R2 RE3)
K = 3, λ = 20.0, 3 seeds per family per ticker
==============================================================================================================

Aggregate distribution across 30 tickers:
  pair     ‖Δμ‖_F med [Q1, Q3]     ‖Δσ‖_F med [Q1, Q3]     ‖ΔT‖_F med [Q1, Q3]   
  N-t      2.2171 [1.9461, 3.4881]  3.8884 [2.3688, 5.3167]  0.4584 [0.4027, 0.5344]
  N-L      2.2083 [1.5719, 2.9278]  4.9308 [3.7072, 7.5338]  0.4410 [0.3613, 0.6421]
  N-GED    2.3522 [1.6971, 3.3218]  3.6272 [2.5298, 5.1940]  0.4454 [0.3408, 0.5531]
  t-L      1.3525 [0.9047, 2.4806]  2.1222 [1.6224, 2.6128]  0.2553 [0.1611, 0.6595]
  t-GED    0.6952 [0.4028, 1.2219]  0.3902 [0.2184, 0.7132]  0.2331 [0.1255, 0.2974]
  L-GED    1.4878 [0.6246, 2.5141]  1.9750 [1.8012, 2.7002]  0.3253 [0.1599, 0.5546]

Per-ticker per-pair distances (full panel):
  Sector                      Ticker   Pair     ‖Δμ‖_F        ‖Δσ‖_F        ‖ΔT‖_F      
  Information Technology      AAPL     N-t      3.32482       1.21755       0.48407     
  Information Technology      AAPL     N-L      2.19536       2.67660       0.17980     
  Information Technology      AAPL     N-GED    2.93825       1.06061       0.38002     
  Information Technology      AAPL     t-L      1.27804       1.75208       0.30830     
  Information Technology      AAPL     t-GED    0.44558       0.36373       0.23339     
  Information Technology      AAPL     L-GED    0.91532       1.67517       0.22399     
  Information Technology      MSFT     N-t      2.61111       1.99796       0.53646     
  Information Technology      MSFT     N-L      2.74645       3.22037       0.56417     
  Information Technology      MSFT     N-GED    2.87993       2.10641       0.58360     
  Information Technology      MSFT     t-L      0.14140       1.85248       0.03364     
  Information Technology      MSFT     t-GED    0.40629       0.17308       0.08024     
  Information Technology      MSFT     L-GED    0.33543       1.93891       0.06248     
  Information Technology      NVDA     N-t      7.55665       6.16389       0.77122     
  Information Technology      NVDA     N-L      5.72154       8.02929       0.87699     
  Information Technology      NVDA     N-GED    6.40296       5.71169       0.84494     
  Information Technology      NVDA     t-L      1.95371       3.74828       0.27496     
  Information Technology      NVDA     t-GED    1.27939       0.55799       0.18479     
  Information Technology      NVDA     L-GED    0.75306       3.82898       0.10495     
  Health Care                 JNJ      N-t      1.57274       3.73118       0.45387     
  Health Care                 JNJ      N-L      1.62012       4.51239       0.41843     
  Health Care                 JNJ      N-GED    1.65238       3.85224       0.59586     
  Health Care                 JNJ      t-L      0.47765       0.82382       0.14621     
  Health Care                 JNJ      t-GED    0.77750       0.36399       0.38641     
  Health Care                 JNJ      L-GED    0.31428       0.79557       0.42116     
  Health Care                 UNH      N-t      3.81830       5.80222       0.57939     
  Health Care                 UNH      N-L      2.94961       7.70074       0.48152     
  Health Care                 UNH      N-GED    3.50411       5.86676       0.56715     
  Health Care                 UNH      t-L      0.95457       2.16644       0.23556     
  Health Care                 UNH      t-GED    0.49434       0.27236       0.14644     
  Health Care                 UNH      L-GED    0.56970       1.98223       0.17615     
  Health Care                 LLY      N-t      2.12044       7.51549       0.67616     
  Health Care                 LLY      N-L      1.25043       9.73946       0.65735     
  Health Care                 LLY      N-GED    1.60136       7.40714       0.58203     
  Health Care                 LLY      t-L      0.90275       2.30214       0.16018     
  Health Care                 LLY      t-GED    0.64087       0.15403       0.11851     
  Health Care                 LLY      L-GED    0.60396       2.43744       0.14144     
  Financials                  JPM      N-t      3.54256       3.61279       0.60187     
  Financials                  JPM      N-L      1.55289       5.31304       0.42548     
  Financials                  JPM      N-GED    2.86727       3.03987       0.38060     
  Financials                  JPM      t-L      3.93138       2.18739       0.87831     
  Financials                  JPM      t-GED    1.64677       0.60875       0.26756     
  Financials                  JPM      L-GED    3.38613       2.71521       0.71418     
  Financials                  BAC      N-t      3.32235       3.76520       0.41383     
  Financials                  BAC      N-L      2.55877       5.22859       0.39519     
  Financials                  BAC      N-GED    3.62765       3.40211       0.43504     
  Financials                  BAC      t-L      0.97465       1.74091       0.14062     
  Financials                  BAC      t-GED    2.20389       0.42675       0.27590     
  Financials                  BAC      L-GED    1.76095       2.11886       0.34349     
  Financials                  WFC      N-t      0.92550       2.24401       0.16871     
  Financials                  WFC      N-L      2.98486       4.66544       0.44927     
  Financials                  WFC      N-GED    1.26688       2.15313       0.13937     
  Financials                  WFC      t-L      2.08009       2.56833       0.29929     
  Financials                  WFC      t-GED    0.36924       0.14730       0.04849     
  Financials                  WFC      L-GED    1.80751       2.70117       0.32946     
  Consumer Discretionary      AMZN     N-t      9.09051       1.08721       0.30616     
  Consumer Discretionary      AMZN     N-L      8.24586       3.63503       0.35368     
  Consumer Discretionary      AMZN     N-GED    8.83799       0.92432       0.33476     
  Consumer Discretionary      AMZN     t-L      0.91045       2.62759       0.08510     
  Consumer Discretionary      AMZN     t-GED    0.40760       0.22633       0.04300     
  Consumer Discretionary      AMZN     L-GED    0.60455       2.84480       0.05178     
  Consumer Discretionary      HD       N-t      2.00452       3.58774       0.39999     
  Consumer Discretionary      HD       N-L      1.26601       4.91670       0.35400     
  Consumer Discretionary      HD       N-GED    1.88649       3.26563       0.31803     
  Consumer Discretionary      HD       t-L      2.56230       1.46309       0.58149     
  Consumer Discretionary      HD       t-GED    1.04929       0.48931       0.19865     
  Consumer Discretionary      HD       L-GED    2.63592       1.82550       0.58751     
  Consumer Discretionary      MCD      N-t      1.23413       4.01213       0.30783     
  Consumer Discretionary      MCD      N-L      1.22597       4.43614       0.49678     
  Consumer Discretionary      MCD      N-GED    1.93970       2.54031       0.28810     
  Consumer Discretionary      MCD      t-L      1.87533       0.81217       0.60766     
  Consumer Discretionary      MCD      t-GED    1.29418       1.50537       0.29796     
  Consumer Discretionary      MCD      L-GED    2.02839       1.96774       0.37279     
  Communication Services      NFLX     N-t      5.98350       5.35585       0.36453     
  Communication Services      NFLX     N-L      5.27010       6.64807       0.27479     
  Communication Services      NFLX     N-GED    6.20888       4.80184       0.31223     
  Communication Services      NFLX     t-L      1.38627       2.66567       0.17850     
  Communication Services      NFLX     t-GED    1.79568       0.84155       0.31477     
  Communication Services      NFLX     L-GED    1.08151       2.46256       0.24431     
  Communication Services      VZ       N-t      1.97799       2.74323       0.42492     
  Communication Services      VZ       N-L      1.80636       3.61189       0.32934     
