Profile log-likelihood of Student-t copula — six-asset SPY cross-section
===========================================================================
ν       | log-L
------------------------------
2.0     | 5355.09
3.0     | 5925.88
4.0     | 6090.4
5.0     | 6143.37
6.0     | 6157.47
8.0     | 6148.37
10.0    | 6126.55
15.0    | 6073.58
20.0    | 6033.76
30.0    | 5981.44

argmax: ν* = 6.0  (profile log-L = 6157.47)
