alpha,z_alpha,breaches,breach_rate,med_var,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,DQ,p_DQ
0.01,-3.0033,8,0.0140,-4.813,0.817,0.366,2.810,0.094,3.627,0.163,13.228,0.040
0.05,-1.8550,24,0.0420,-2.889,0.822,0.365,0.844,0.358,1.666,0.435,4.929,0.553
