sweep,p_min,p_max,ll,p_min_fit,p_med_fit,p_max_fit,n_gauss,n_inter,n_lapl,n_super,ks_is,ad_is,ks_oos,ad_oos,kurt_is,kurt_oos,acf_mae,w1,hell
pmax,0.5,2.0,-4731.962340481286,0.8885485082229301,1.9999999967224023,1.9999999967224023,13,0,5,0,95.8,91.0,83.8,81.2,5.022254467766835,4.8891883788563995,0.054071132670415196,0.09908439199200057,0.07811456624926488
pmax,0.5,2.5,-4725.32116002758,0.8730674124060609,2.49999999562987,2.49999999562987,13,2,3,0,96.1,92.4,84.3,80.1,5.093134905431809,4.754352946421005,0.054875841050829335,0.09822754848546399,0.07779790913470493
pmax,0.5,3.0,-4720.2875642953595,0.8626823411441766,2.999999994537337,2.999999994537337,13,1,4,0,96.3,92.7,83.8,81.3,5.050992539442679,4.8671944060777035,0.054584053865417474,0.09795502997611677,0.07789104156846155
pmax,0.5,3.5,-4717.5057295092765,0.8569761257726747,3.4999999934448045,3.4999999934448045,13,1,4,0,96.3,91.8,86.7,82.4,5.108723782359495,4.8008721300619746,0.05441748912388195,0.09946534286777414,0.07816390450111003
pmax,0.5,4.0,-4716.3262369024005,0.8621980179114218,3.7618175542903365,3.999999992352272,13,1,4,0,95.9,91.3,84.4,80.6,5.175645258961599,4.920811971216188,0.05434754861740146,0.09932731760682033,0.07850523105838669
pmin,0.5,3.0,-4720.2875642953595,0.8626823411441766,2.999999994537337,2.999999994537337,13,1,4,0,96.3,92.7,83.8,81.3,5.050992539442679,4.8671944060777035,0.054584053865417474,0.09795502997611677,0.07789104156846155
pmin,0.7,3.0,-4720.287566773386,0.8626822754775583,2.99999999497435,2.99999999497435,13,1,4,0,96.3,92.7,83.8,81.3,5.050965373343901,4.867193403785111,0.054584131423313996,0.0979558628257285,0.07789081045526004
pmin,0.85,3.0,-4720.287564832065,0.8626822962869207,2.99999999530211,2.99999999530211,13,1,4,0,96.3,92.7,83.8,81.3,5.050992626488705,4.867194485157344,0.05458405395573044,0.09795502766546328,0.07789104156846155
