K,IS_KS,OoS_KS,IS_kurt,OoS_kurt,IS_ACF_MAE_abs,OoS_ACF_MAE_abs,IS_ACF_MAE_raw,OoS_ACF_MAE_raw,n_iter,final_ll
6,0.9590,0.8980,3.7232,3.7278,0.057071,0.051171,0.023443,0.043452,36,-5001.2850
9,0.0000,0.0670,3.0316,2.8489,0.061371,0.053420,0.023186,0.043414,11,-5023.2577
12,0.0000,0.3430,3.0766,3.0215,0.062333,0.054135,0.023226,0.043294,7,-5089.6622
