K,D_max,alpha_lb,ll,ll_perobs,n_iter,alphas,IS_KS,IS_kurt,IS_ACF_MAE_abs
3,100,0.02,-4985.2245,-1.981409,55,0.0200;0.5395;0.5981,0.8670,3.7908,0.045061
3,100,0.05,-4985.3645,-1.981464,55,0.0500;0.5380;0.5990,0.8460,3.8472,0.045096
3,100,0.20,-4986.2602,-1.981820,55,0.2000;0.5347;0.6095,0.8530,3.8876,0.046037
3,200,0.02,-4987.0737,-1.982144,59,0.0200;0.7577;0.8174,0.7830,3.3415,0.038965
3,200,0.05,-4987.1045,-1.982156,59,0.0500;0.7574;0.8186,0.7800,3.3924,0.038579
3,200,0.20,-4987.4097,-1.982277,62,0.2000;0.7571;0.8295,0.7740,3.4957,0.038817
3,400,0.02,-4987.8798,-1.982464,58,0.1553;0.8410;0.9039,0.6090,3.0887,0.041078
3,400,0.05,-4987.8798,-1.982464,58,0.1553;0.8410;0.9039,0.6090,3.0887,0.041078
3,400,0.20,-4987.8821,-1.982465,59,0.2000;0.8423;0.9083,0.6270,3.1163,0.040489
