K,IS_KS,OoS_KS,IS_kurt,OoS_kurt,IS_ACF_MAE_abs,OoS_ACF_MAE_abs,IS_ACF_MAE_raw,OoS_ACF_MAE_raw,n_iter,final_ll,final_inc_perobs,n_starts,best_start,ll_spread,n_converged_starts,D_max,alpha_lb
3,0.7600,0.6870,3.3652,2.9546,0.039368,0.058898,0.024420,0.043948,42,-4986.9615,9.72e-06,5,2,0.1430,5,200,0.05
18,0.8070,0.7330,7.1759,5.4422,0.046635,0.055241,0.024121,0.043302,198,-4733.6595,9.63e-06,3,3,29.9879,3,200,0.05
