fold,K,T_train,T_test,KS_rate_pct,kurt_sim,acf_mae_abs
W1,3,1256,251,63.20,2.5132,0.057199
W1,18,1256,251,82.60,2.6550,0.052529
W2,3,1257,252,7.20,2.4182,0.055213
W2,18,1257,252,8.20,2.5022,0.058435
W3,3,1258,251,82.40,5.7299,0.060202
W3,18,1258,251,74.00,6.7562,0.057145
W4,3,1258,250,0.80,4.7208,0.059205
W4,18,1258,250,0.00,4.3484,0.055787
W5,3,1258,249,78.40,3.4707,0.051137
W5,18,1258,249,75.00,2.3451,0.050825
W6,3,1257,251,61.00,2.8087,0.055453
W6,18,1257,251,61.40,2.8635,0.049344
