ticker,sector,K,n_starts,best_start,stop_reason,n_iter,sse,near_mae,far_mae,kurt_model,kurt_sample,cv_abs_model,cv_abs_sample,pi_min,abs_lams,sse_mlseed
HD,Consumer Discretionary,3,20,11,iter_cap,4000,0.089739,0.016143,0.014388,-1.0477,12.9301,0.1512,1.0718,0.008869,0.9995;0.9489,0.109459
HD,Consumer Discretionary,18,8,5,iter_cap,4000,0.062919,0.011813,0.012317,7.7808,12.9301,0.7781,1.0718,0.000022,0.9907;0.9817;0.9817;0.9409;0.9409,0.096724
HON,Industrials,3,20,17,stall,1523,0.132237,0.016920,0.018165,0.8301,21.9518,0.5953,1.1364,0.061154,0.9915;0.9413,0.132237
HON,Industrials,18,8,4,iter_cap,4000,0.104066,0.015709,0.015439,579.3334,21.9518,3.6745,1.1364,0.000007,0.9810;0.9810;0.9557;0.9557;0.9544,0.114819
JNJ,Health Care,3,20,6,iter_cap,4000,0.110798,0.015900,0.017028,5.7711,8.9749,0.8493,1.0331,0.022891,0.9998;0.9366,0.142982
JNJ,Health Care,18,8,5,iter_cap,4000,0.092642,0.012034,0.016475,11.5059,8.9749,0.7672,1.0331,0.000018,0.9941;0.9740;0.9740;0.9263;0.9263,0.133158
JPM,Financials,3,20,11,stall,790,0.097828,0.014414,0.016485,0.7519,7.6279,0.7086,1.0803,0.182720,0.9890;0.9458,0.097828
JPM,Financials,18,8,6,iter_cap,4000,0.087213,0.012664,0.015522,2.4111,7.6279,0.7103,1.0803,0.000139,0.9858;0.9796;0.9796;0.9383;0.9383,0.091171
KO,Consumer Staples,3,20,9,stall,1140,0.114531,0.017542,0.016586,6.4665,10.5766,0.7436,1.1346,0.144562,0.9918;0.9467,0.114531
KO,Consumer Staples,18,8,4,iter_cap,4000,0.101789,0.013633,0.016467,-1.4335,10.5766,0.2132,1.1346,0.000049,0.9905;0.9715;0.9715;0.9306;0.9306,0.105866
LLY,Health Care,3,20,2,stall,2300,0.101658,0.014375,0.016247,1.5112,13.6156,0.8146,1.1194,0.029549,0.9991;0.9561,0.101658
LLY,Health Care,18,8,3,iter_cap,4000,0.093296,0.013257,0.015637,48.3228,13.6156,0.6244,1.1194,0.000017,0.9963;0.9830;0.9830;0.9447;0.9447,0.096213
MCD,Consumer Discretionary,3,20,10,stall,2950,0.117067,0.016862,0.017107,-0.2143,18.3961,0.7206,1.1731,0.227118,0.9792;0.9257,0.117067
MCD,Consumer Discretionary,18,8,1,iter_cap,4000,0.083682,0.015197,0.014709,6.9733,18.3961,0.5999,1.1731,0.000086,0.9941;0.9941;0.9795;0.9795;0.9629,0.112348
MSFT,Information Technology,3,20,13,stall,518,0.125904,0.012950,0.019040,-1.2034,4.2041,0.5467,0.9917,0.080318,0.9899;0.9417,0.125904
MSFT,Information Technology,18,8,7,iter_cap,4000,0.115080,0.009061,0.018721,0.0374,4.2041,0.4533,0.9917,0.000021,0.9895;0.9544;0.9544;0.8802;0.7947,0.118874
NEE,Utilities,3,20,6,iter_cap,4000,0.069643,0.015655,0.012554,29.0054,10.7188,0.8652,1.0979,0.024617,0.9999;0.9482,0.069705
NEE,Utilities,18,8,3,iter_cap,4000,0.061479,0.012701,0.012561,5.5548,10.7188,0.9227,1.0979,0.000081,0.9999;0.9432;0.7093;0.7093;0.6976,0.062098
NEM,Materials,3,20,2,stall,2047,0.089647,0.016008,0.015260,0.8137,3.7488,0.8409,0.9960,0.093436,0.9980;0.9724,0.089647
NEM,Materials,18,8,5,iter_cap,4000,0.085567,0.014158,0.015046,32.1149,3.7488,0.6517,0.9960,0.000047,0.9970;0.9509;0.9509;0.7752;0.6843,0.088638
NFLX,Communication Services,3,20,17,stall,2300,0.142234,0.016333,0.018869,2.7334,12.6164,0.5933,1.0657,0.108525,0.9840;0.1918,0.142330
NFLX,Communication Services,18,8,7,iter_cap,4000,0.118070,0.015789,0.016919,13.7693,12.6164,0.3141,1.0657,0.000016,0.9948;0.9948;0.9834;0.9834;0.9738,0.140804
NVDA,Information Technology,3,20,11,stall,1001,0.097467,0.015258,0.015789,-0.0956,5.5381,0.6496,1.0108,0.027437,0.9970;0.9550,0.097467
NVDA,Information Technology,18,8,3,iter_cap,4000,0.092689,0.014018,0.015547,68.2246,5.5381,1.2053,1.0108,0.000015,0.9964;0.9719;0.9719;0.9215;0.9215,0.093857
PG,Consumer Staples,3,20,1,stall,883,0.111102,0.016282,0.015936,3.6064,8.1571,0.8985,1.0512,0.111631,0.9942;0.9365,0.122258
PG,Consumer Staples,18,8,8,iter_cap,4000,0.099751,0.013833,0.015335,2.7701,8.1571,0.5508,1.0512,0.000039,0.9860;0.9817;0.9817;0.9321;0.9321,0.101217
SO,Utilities,3,20,1,stall,716,0.112816,0.021606,0.015338,0.3245,14.5361,0.9048,1.0851,0.240042,0.9761;0.9426,0.112816
SO,Utilities,18,8,8,iter_cap,4000,0.080591,0.012850,0.014527,6.5058,14.5361,0.9346,1.0851,0.000095,0.9978;0.9678;0.9637;0.9637;0.9614,0.106559
SPY,Index,3,20,14,stall,779,0.127622,0.016076,0.019442,-0.1389,7.6864,0.6069,1.0737,0.069103,0.9889;0.9480,0.127622
SPY,Index,18,8,6,iter_cap,4000,0.080688,0.015623,0.014210,66.6327,7.6864,0.7909,1.0737,0.000006,0.9945;0.9945;0.9752;0.9752;0.9649,0.119900
UNH,Health Care,3,20,17,stall,3513,0.102479,0.017467,0.015845,8.3813,8.8611,0.6596,1.0536,0.062848,0.9979;0.9612,0.102481
UNH,Health Care,18,8,5,iter_cap,4000,0.090069,0.013039,0.015917,11.0011,8.8611,0.6450,1.0536,0.000174,0.9986;0.9920;0.9551;0.9551;0.9423,0.090139
VZ,Communication Services,3,20,8,stall,575,0.098984,0.016946,0.016111,0.0310,5.1427,0.5908,1.0042,0.069656,0.9837;0.7983,0.098984
VZ,Communication Services,18,8,3,iter_cap,4000,0.088387,0.014113,0.015622,2.6070,5.1427,0.4361,1.0042,0.000018,0.9996;0.9611;0.9347;0.9347;0.8255,0.092335
WFC,Financials,3,20,5,stall,1496,0.116249,0.018206,0.017204,10.8501,7.5377,0.9072,1.0951,0.046865,0.9983;0.9725,0.116249
WFC,Financials,18,8,8,iter_cap,4000,0.095470,0.016728,0.015449,24.0661,7.5377,0.6263,1.0951,0.000076,0.9944;0.9890;0.9866;0.9866;0.9555,0.107413
WMT,Consumer Staples,3,20,4,iter_cap,4000,0.134786,0.016249,0.019174,0.0766,13.8516,1.0783,1.1422,0.211451,0.9650;0.1546,0.134809
WMT,Consumer Staples,18,8,3,iter_cap,4000,0.115016,0.014443,0.017381,-1.6788,13.8516,0.1439,1.1422,0.000002,0.9909;0.9909;0.9855;0.8589;0.8519,0.125100
XOM,Energy,3,20,9,stall,1378,0.095139,0.014542,0.015701,-0.5024,5.6149,0.5821,1.0499,0.161996,0.9980;0.9664,0.095139
XOM,Energy,18,8,7,iter_cap,4000,0.082608,0.013106,0.014342,8.5911,5.6149,1.0079,1.0499,0.000078,0.9966;0.9829;0.9829;0.9465;0.9465,0.090373
