ticker,K,best_start,n_evals,final_increment,converged,ll_best,ll_spread,n_converged_starts
AAPL,3,1,152,9.753e-05,1,-6639.6545,19.6135,3
AAPL,18,5,928,9.925e-05,1,-6410.4742,6.0116,5
AMZN,3,3,219,9.894e-05,1,-7029.5530,0.0001,3
AMZN,18,1,1113,9.835e-05,1,-6778.5796,9.2371,5
APD,3,1,88,9.052e-05,1,-6196.4463,0.0000,3
APD,18,5,406,9.265e-05,1,-5962.1388,38.3637,5
BA,3,3,79,7.252e-05,1,-7177.0683,0.0000,3
BA,18,1,417,9.798e-05,1,-6958.2023,4.7356,5
BAC,3,3,175,9.206e-05,1,-6934.1721,0.0000,3
BAC,18,4,541,9.674e-05,1,-6734.8751,4.0916,5
CAT,3,3,568,9.686e-05,1,-6953.9283,11.5106,3
CAT,18,3,837,9.733e-05,1,-6711.8848,12.3760,5
COP,3,3,155,6.575e-05,1,-7381.5101,0.0000,3
COP,18,1,460,9.875e-05,1,-7157.2790,54.4719,5
CVX,3,3,195,8.724e-05,1,-6626.1422,0.0000,3
CVX,18,3,566,9.921e-05,1,-6425.6183,48.5273,5
DIS,3,3,96,9.850e-05,1,-6438.3676,0.0032,3
DIS,18,3,406,9.990e-05,1,-6228.4566,21.1693,5
DUK,3,1,122,8.189e-05,1,-5751.8023,0.0001,3
DUK,18,3,784,9.991e-05,1,-5564.4297,28.0658,5
FCX,3,1,174,9.331e-05,1,-8443.0248,0.0001,3
FCX,18,1,677,9.554e-05,1,-8210.5225,17.6606,5
HD,3,3,104,8.033e-05,1,-6181.0366,0.0000,3
HD,18,3,1076,9.668e-05,1,-5945.6758,36.4602,5
HON,3,1,72,9.189e-05,1,-5984.4769,0.0001,3
HON,18,4,562,9.846e-05,1,-5768.3192,29.7920,5
JNJ,3,1,184,9.659e-05,1,-5529.8409,0.0000,3
JNJ,18,3,542,9.846e-05,1,-5301.4620,13.7082,5
JPM,3,1,136,9.124e-05,1,-6477.7345,0.0001,3
JPM,18,4,950,9.875e-05,1,-6229.9456,59.0313,5
KO,3,1,327,9.838e-05,1,-5399.0140,0.0001,3
KO,18,2,571,9.806e-05,1,-5148.7332,27.1857,5
LLY,3,1,91,9.608e-05,1,-6466.8834,0.0032,3
LLY,18,3,336,9.941e-05,1,-6232.3262,48.8155,5
MCD,3,1,161,8.121e-05,1,-5565.2418,0.0000,3
MCD,18,1,792,9.998e-05,1,-5350.7897,14.4615,5
MSFT,3,2,323,9.622e-05,1,-6412.2613,0.0000,3
MSFT,18,1,829,9.607e-05,1,-6181.3857,15.7865,5
NEE,3,3,155,8.823e-05,1,-6043.7516,0.0000,3
NEE,18,2,419,9.693e-05,1,-5837.5056,3.7531,5
NEM,3,3,519,9.998e-05,1,-7417.6501,0.0044,3
NEM,18,2,722,9.626e-05,1,-7203.7437,11.3531,5
NFLX,3,2,124,9.965e-05,1,-7684.9727,0.0046,3
NFLX,18,4,548,9.896e-05,1,-7439.5479,11.6315,5
NVDA,3,1,149,9.815e-05,1,-7816.5039,0.0008,3
NVDA,18,3,1208,9.969e-05,1,-7570.6585,8.2214,5
PG,3,3,176,9.031e-05,1,-5485.1198,0.0000,3
PG,18,4,634,9.776e-05,1,-5272.4859,10.0231,5
SO,3,1,159,8.838e-05,1,-5765.6920,0.0000,3
SO,18,5,556,9.739e-05,1,-5569.6512,14.9628,5
SPY,3,2,66,8.235e-05,1,-4977.3624,0.0001,3
SPY,18,2,349,9.970e-05,1,-4697.0103,12.9342,5
UNH,3,2,95,9.382e-05,1,-6337.4203,0.0006,3
UNH,18,3,995,9.950e-05,1,-6121.1168,21.1898,5
VZ,3,3,126,9.423e-05,1,-5753.4027,0.0003,3
VZ,18,5,775,9.386e-05,1,-5509.6921,7.1194,5
WFC,3,3,176,9.312e-05,1,-6693.1178,0.0000,3
WFC,18,2,453,9.660e-05,1,-6445.5806,53.6689,5
WMT,3,2,158,9.688e-05,1,-5736.5449,31.1411,3
WMT,18,1,1400,9.804e-05,1,-5523.1908,16.0207,5
XOM,3,3,67,9.009e-05,1,-6524.8797,0.0003,3
XOM,18,2,329,9.620e-05,1,-6326.7661,4.8734,5
