date,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18
2024-01-05,0.0057,0.0000,0.0000,0.0000,0.0000,0.7879,0.0000,0.0117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0004,0.0000,0.1882,0.0060
2024-01-08,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0123,0.3496,0.0000,0.0000,0.1056,0.5152,0.0174
2024-01-09,0.0000,0.0000,0.0000,0.1563,0.0010,0.0000,0.2216,0.0000,0.0000,0.1157,0.0000,0.0007,0.0003,0.0000,0.0000,0.0061,0.4843,0.0142
2024-01-10,0.0000,0.0000,0.0000,0.0497,0.0000,0.0000,0.0006,0.0000,0.0000,0.5742,0.0000,0.0329,0.0025,0.0000,0.0000,0.0100,0.3203,0.0098
2024-01-11,0.3259,0.0000,0.0000,0.0000,0.0000,0.4184,0.0000,0.0092,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2387,0.0066
2024-01-12,0.0000,0.0000,0.0000,0.0271,0.0657,0.0000,0.7696,0.0000,0.0027,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.1297,0.0034
2024-01-16,0.0000,0.0000,0.8680,0.0000,0.0000,0.0000,0.0000,0.0215,0.0000,0.0000,0.0289,0.0000,0.0000,0.0088,0.0027,0.0000,0.0659,0.0043
2024-01-17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0123,0.0000,0.0000,0.8979,0.0158,0.0000,0.0702,0.0038
2024-01-18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0232,0.0000,0.0709,0.0279,0.0000,0.0000,0.1729,0.6748,0.0302
2024-01-19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0575,0.0000,0.0000,0.2857,0.6257,0.0310
2024-01-22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0024,0.6010,0.0000,0.0000,0.0576,0.3250,0.0140
2024-01-23,0.0000,0.1122,0.0000,0.0000,0.0455,0.0000,0.0000,0.0000,0.6716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.1649,0.0055
2024-01-24,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.2248,0.0000,0.6530,0.0062,0.0000,0.0000,0.0054,0.1072,0.0033
2024-01-25,0.0000,0.2963,0.0000,0.0000,0.0021,0.0003,0.0001,0.0000,0.6753,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0252,0.0007
2024-01-26,0.0000,0.0000,0.0000,0.0000,0.5669,0.0000,0.0156,0.0000,0.4108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.0002
2024-01-29,0.0000,0.0000,0.0000,0.3531,0.0019,0.0000,0.6150,0.0000,0.0000,0.0249,0.0000,0.0006,0.0001,0.0000,0.0000,0.0009,0.0034,0.0001
2024-01-30,0.0000,0.0000,0.0000,0.5095,0.0004,0.0000,0.4539,0.0000,0.0000,0.0326,0.0000,0.0003,0.0000,0.0000,0.0000,0.0008,0.0012,0.0013
2024-01-31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5977,0.3570,0.0000,0.0100,0.0354
2024-02-01,0.0000,0.0000,0.0000,0.0000,0.6462,0.0000,0.0038,0.0000,0.0776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.2532,0.0186
2024-02-02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.4517,0.5053,0.0426
2024-02-05,0.0008,0.3126,0.0000,0.0000,0.0001,0.0267,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.6260,0.0337
2024-02-06,0.0352,0.7081,0.0000,0.0000,0.0001,0.0071,0.0000,0.0000,0.0219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.2191,0.0085
2024-02-07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.6244,0.0000,0.0000,0.1056,0.2600,0.0099
2024-02-08,0.0000,0.0000,0.0000,0.0000,0.7095,0.0000,0.0265,0.0000,0.1521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.1080,0.0033
2024-02-09,0.0000,0.0000,0.0000,0.0578,0.0000,0.0000,0.0006,0.0000,0.0000,0.7138,0.0000,0.1570,0.0058,0.0000,0.0000,0.0047,0.0585,0.0018
2024-02-12,0.0000,0.0000,0.0000,0.0011,0.1534,0.0000,0.8150,0.0000,0.0054,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0231,0.0006
2024-02-13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5762,0.0000,0.2658,0.1580
2024-02-14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1704,0.0000,0.2804,0.0055,0.0000,0.0000,0.0069,0.4588,0.0780
2024-02-15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0033,0.3890,0.0000,0.0000,0.1157,0.4414,0.0506
2024-02-16,0.0046,0.6220,0.0000,0.0000,0.0011,0.0015,0.0000,0.0000,0.1699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.1879,0.0128
2024-02-20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0110,0.5036,0.0000,0.4546,0.0308
2024-02-21,0.0000,0.0000,0.0000,0.0000,0.0000,0.2535,0.0000,0.0728,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0013,0.0000,0.6511,0.0212
2024-02-22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0162,0.8854,0.0985
2024-02-23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0321,0.0000,0.0110,0.0036,0.0000,0.0000,0.0290,0.8631,0.0611
2024-02-26,0.0000,0.0000,0.0051,0.0000,0.0000,0.0001,0.0000,0.1048,0.0000,0.0000,0.0002,0.0000,0.0000,0.0001,0.0001,0.0000,0.8477,0.0420
2024-02-27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0689,0.0000,0.1369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.7649,0.0287
2024-02-28,0.4304,0.0027,0.0000,0.0000,0.0000,0.0859,0.0000,0.0001,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.4620,0.0142
2024-02-29,0.0000,0.0000,0.0000,0.5215,0.0000,0.0000,0.0703,0.0000,0.0000,0.0481,0.0000,0.0035,0.0004,0.0000,0.0000,0.0038,0.3427,0.0096
2024-03-01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0095,0.0000,0.4976,0.0534,0.0000,0.0000,0.0709,0.3578,0.0108
2024-03-04,0.0000,0.0000,0.0000,0.0533,0.0031,0.0000,0.8204,0.0000,0.0003,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.1156,0.0032
2024-03-05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2849,0.2991,0.0000,0.3776,0.0385
2024-03-06,0.0000,0.0000,0.0000,0.6291,0.0000,0.0000,0.0043,0.0000,0.0000,0.0782,0.0000,0.0026,0.0001,0.0000,0.0000,0.0042,0.2686,0.0129
2024-03-07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.2810,0.0000,0.0000,0.2917,0.4080,0.0180
2024-03-08,0.5594,0.0060,0.0000,0.0000,0.0000,0.1347,0.0000,0.0003,0.0077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.2823,0.0096
2024-03-11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0034,0.0000,0.0000,0.7522,0.0215,0.0000,0.2151,0.0078
2024-03-12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0502,0.0000,0.0000,0.3529,0.5715,0.0253
2024-03-13,0.0000,0.0000,0.0000,0.0006,0.1693,0.0000,0.5768,0.0000,0.0005,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.2435,0.0083
2024-03-14,0.0000,0.0000,0.7818,0.0000,0.0000,0.0000,0.0000,0.0325,0.0000,0.0000,0.0193,0.0000,0.0000,0.0103,0.0033,0.0000,0.1461,0.0068
