ticker,arm,near_mae,far_mae,acf_sse,cvm,kurt_model,mll_perobs,q01_err,q05_err,q95_err,q99_err,best_start,n_iter,stop_reason
AAPL,0,0.016176,0.018952,0.136587,3.852959e-02,3.5173,-2.96166,2.3491,0.3984,2.8977,0.8561,1,520,stall
AAPL,0.1,0.016109,0.018980,0.136866,5.433106e-06,0.9264,-2.69855,1.6774,0.1087,0.0746,1.0590,1,4000,iter_cap
AAPL,0.3,0.016019,0.018952,0.137224,6.687833e-06,1.0509,-2.69516,1.4284,0.0172,0.0251,0.9877,1,4000,iter_cap
AAPL,1,0.020402,0.021621,0.184019,5.759191e-06,0.9173,-2.69887,1.6937,0.1193,0.0456,1.0960,2,4000,iter_cap
AAPL,3,0.022565,0.021808,0.193021,4.573053e-06,1.0058,-2.69611,1.5639,0.0826,0.1059,0.9436,2,4000,iter_cap
AAPL,10,0.022015,0.022050,0.194749,4.560811e-06,1.0216,-2.69569,1.5346,0.0702,0.1120,0.9210,2,4000,iter_cap
AAPL,30,0.016152,0.025951,0.230200,4.559762e-06,1.0284,-2.69552,1.5220,0.0649,0.1144,0.9117,2,4000,iter_cap
AAPL,100,0.028949,0.028252,0.297490,4.559741e-06,1.0284,-2.69552,1.5222,0.0650,0.1145,0.9116,2,4000,iter_cap
AAPL,marginal,0.036465,0.028684,0.336160,4.559730e-06,1.0280,-2.69553,1.5229,0.0653,0.1145,0.9119,2,4000,iter_cap
AAPL,ml_ref,0.040421,0.028851,0.363561,6.187041e-05,2.5755,-2.68297,0.0833,0.0844,0.1716,0.2258,0,0,ml
AMZN,0,0.018724,0.020420,0.163308,1.279545e-01,4.0356,-36.81366,7.5035,2.5239,6.2460,2.2323,6,4000,iter_cap
AMZN,0.1,0.018742,0.020483,0.166149,4.703387e-06,1.6038,-2.85343,0.4797,0.2518,0.0500,0.9115,1,4000,iter_cap
AMZN,0.3,0.018912,0.020461,0.165919,4.703592e-06,1.6389,-2.85292,0.4140,0.2686,0.0470,0.8812,2,4000,iter_cap
AMZN,1,0.019318,0.020418,0.166448,4.698546e-06,1.6307,-2.85303,0.4298,0.2637,0.0458,0.8899,2,4000,iter_cap
AMZN,3,0.021127,0.020405,0.175717,4.680906e-06,1.6130,-2.85327,0.4714,0.2483,0.0493,0.8950,2,4000,iter_cap
AMZN,10,0.032995,0.021970,0.262587,4.612797e-06,1.6629,-2.85252,0.4253,0.2386,0.0598,0.7891,2,4000,iter_cap
AMZN,30,0.034222,0.023650,0.291825,4.603609e-06,1.6971,-2.85206,0.3697,0.2504,0.0587,0.7469,2,4000,iter_cap
AMZN,100,0.043054,0.024745,0.352196,4.607321e-06,1.6905,-2.85215,0.3724,0.2548,0.0562,0.7640,2,4000,iter_cap
AMZN,marginal,0.048771,0.024875,0.387335,4.611074e-06,1.6843,-2.85224,0.3786,0.2558,0.0550,0.7762,2,4000,iter_cap
AMZN,ml_ref,0.053572,0.024908,0.419500,5.288348e-05,2.3528,-2.84698,0.1067,0.2115,0.3433,0.9524,0,0,ml
APD,0,0.015280,0.014562,0.091709,5.117322e-02,2.0663,-2.85421,1.4045,3.4059,0.4875,2.4086,3,713,stall
APD,0.1,0.015243,0.014551,0.092043,5.776334e-06,1.6081,-2.54434,1.1142,0.1173,0.0152,0.7219,2,4000,iter_cap
APD,0.3,0.015521,0.014537,0.092689,5.637156e-06,1.7648,-2.53966,0.9620,0.1296,0.0264,0.5783,2,4000,iter_cap
APD,1,0.016249,0.014801,0.098416,5.571393e-06,2.1838,-2.52975,0.6370,0.1190,0.0290,0.2710,2,4000,iter_cap
APD,3,0.019015,0.016175,0.119414,5.383599e-06,4.6552,-2.51135,0.1949,0.0770,0.0074,0.3435,2,4000,iter_cap
APD,10,0.021898,0.023399,0.201980,5.395194e-06,3.7970,-2.51330,0.1418,0.0886,0.0191,0.0663,2,4000,iter_cap
APD,30,0.037772,0.024842,0.281585,5.368499e-06,4.9499,-2.51062,0.0998,0.0855,0.0168,0.2109,2,4000,iter_cap
APD,100,0.050282,0.024927,0.370762,5.364836e-06,5.6765,-2.50988,0.2005,0.0835,0.0151,0.2556,2,4000,iter_cap
APD,marginal,0.055212,0.024933,0.411756,5.364684e-06,5.9148,-2.50973,0.2334,0.0825,0.0143,0.2711,2,4000,iter_cap
APD,ml_ref,0.053992,0.024931,0.399739,1.043041e-05,7.1612,-2.50925,0.5496,0.1939,0.0188,0.0073,0,0,ml
BA,0,0.023876,0.014496,0.118318,7.483681e-02,-0.9354,-3.85932,5.0029,8.7931,4.2819,10.2107,6,999,stall
BA,0.1,0.024824,0.014044,0.119369,8.173868e-06,15.2290,-2.92916,1.7402,0.1158,0.4283,0.4199,1,4000,iter_cap
BA,0.3,0.025177,0.014941,0.130429,8.464962e-06,29.0533,-2.93922,2.3064,0.0156,0.3628,2.3948,2,4000,iter_cap
BA,1,0.027031,0.016462,0.155912,6.806290e-06,7.1037,-2.93500,0.9327,0.1241,0.1821,2.6230,2,4000,iter_cap
BA,3,0.033733,0.019728,0.225157,4.381133e-06,3.0845,-2.97301,1.1830,0.1024,0.1456,1.4666,2,4000,iter_cap
