ticker,arm,near_mae,far_mae,acf_sse,cvm,kurt_model,mll_perobs,q01_err,q05_err,q95_err,q99_err,best_start,n_iter,stop_reason
BA,10,0.033774,0.019864,0.226271,4.362863e-06,3.1042,-2.97271,1.1480,0.0899,0.1624,1.4134,2,4000,iter_cap
BA,30,0.033765,0.019927,0.226639,4.361188e-06,3.1232,-2.97230,1.1217,0.0868,0.1648,1.3886,2,4000,iter_cap
BA,100,0.033013,0.020675,0.228991,4.363225e-06,3.1496,-2.97171,1.0888,0.0867,0.1619,1.3661,2,4000,iter_cap
BA,marginal,0.069538,0.047245,0.869378,4.363384e-06,3.1536,-2.97162,1.0838,0.0867,0.1616,1.3624,2,4000,iter_cap
BA,ml_ref,0.075088,0.050242,1.015106,6.969171e-05,12.5537,-2.92943,0.8467,0.2022,0.5030,0.0175,0,0,ml
BAC,0,0.017329,0.016526,0.107247,1.746122e-02,-0.5836,-3.45248,4.3074,1.0802,0.9471,5.4198,3,735,stall
BAC,0.1,0.017382,0.017643,0.117329,4.455327e-06,1.9080,-2.81030,0.8898,0.0371,0.0001,1.0232,2,4000,iter_cap
BAC,0.3,0.017419,0.017658,0.117707,4.388184e-06,1.9800,-2.80939,0.7892,0.0216,0.0088,0.9379,2,4000,iter_cap
BAC,1,0.017518,0.017677,0.118556,4.335020e-06,2.1140,-2.80787,0.6219,0.0125,0.0129,0.8053,2,4000,iter_cap
BAC,3,0.017583,0.017690,0.119372,4.318039e-06,2.2150,-2.80688,0.5023,0.0099,0.0137,0.7123,2,4000,iter_cap
BAC,10,0.017619,0.017698,0.119908,4.314416e-06,2.2737,-2.80636,0.4351,0.0095,0.0137,0.6606,2,4000,iter_cap
BAC,30,0.017667,0.017698,0.120115,4.314026e-06,2.2948,-2.80619,0.4113,0.0096,0.0135,0.6425,2,4000,iter_cap
BAC,100,0.017648,0.017700,0.120183,4.313990e-06,2.3028,-2.80612,0.4024,0.0096,0.0135,0.6356,2,4000,iter_cap
BAC,marginal,0.017647,0.017737,0.121720,4.313998e-06,2.3068,-2.80609,0.3980,0.0097,0.0135,0.6322,2,4000,iter_cap
BAC,ml_ref,0.033954,0.018230,0.200432,3.691600e-05,4.7524,-2.79954,0.0583,0.0511,0.0343,0.4275,0,0,ml
CAT,0,0.013296,0.015486,0.086001,7.692260e-03,0.1126,-2.91174,2.5551,3.5905,1.7379,0.4979,1,1412,stall
CAT,0.1,0.013480,0.015569,0.086653,6.693471e-06,1.2062,-2.80795,0.7952,0.0569,0.0178,1.8251,2,4000,iter_cap
CAT,0.3,0.015137,0.015452,0.091393,5.493910e-06,1.2590,-2.80637,0.9207,0.1404,0.0392,1.5046,2,4000,iter_cap
CAT,1,0.016861,0.015468,0.097431,5.050720e-06,1.6003,-2.80006,0.4678,0.1140,0.0232,1.1957,2,4000,iter_cap
CAT,3,0.017924,0.015473,0.101771,4.944289e-06,1.8468,-2.79722,0.1726,0.1064,0.0200,1.0159,2,4000,iter_cap
CAT,10,0.018631,0.015351,0.105908,4.923813e-06,1.9885,-2.79601,0.0139,0.1053,0.0203,0.9289,2,4000,iter_cap
CAT,30,0.027133,0.016168,0.141787,4.920779e-06,2.0672,-2.79545,0.0718,0.1049,0.0207,0.8863,2,4000,iter_cap
CAT,100,0.041509,0.016672,0.224132,4.920166e-06,2.0775,-2.79539,0.0827,0.1045,0.0197,0.8705,2,4000,iter_cap
CAT,marginal,0.046969,0.016710,0.259895,4.920125e-06,2.0777,-2.79539,0.0829,0.1045,0.0193,0.8670,2,2390,stall
CAT,ml_ref,0.040176,0.016517,0.211576,5.457429e-05,2.9565,-2.79346,0.4789,0.1205,0.1316,0.1909,0,0,ml
COP,0,0.016693,0.016945,0.116531,2.076427e-02,0.6400,-3.25902,2.0619,1.7152,0.9023,1.8333,6,689,stall
COP,0.1,0.016929,0.016920,0.116670,1.084954e-05,3.9074,-3.00343,0.4308,0.0875,0.0356,0.8256,1,4000,iter_cap
COP,0.3,0.016967,0.017114,0.120680,1.174816e-05,1.4227,-3.04383,1.3609,0.1265,0.0755,1.2009,2,4000,iter_cap
COP,1,0.021120,0.019088,0.152722,7.747869e-06,1.4307,-3.03740,1.6869,0.1604,0.1629,0.3532,2,4000,iter_cap
COP,3,0.021171,0.019071,0.152804,7.745840e-06,1.4163,-3.03789,1.7132,0.1562,0.1605,0.3772,2,4000,iter_cap
COP,10,0.021137,0.019068,0.152826,7.745549e-06,1.4106,-3.03808,1.7235,0.1546,0.1591,0.3871,2,4000,iter_cap
COP,30,0.020184,0.019238,0.153517,7.746016e-06,1.4118,-3.03804,1.7208,0.1552,0.1580,0.3865,2,4000,iter_cap
COP,100,0.018070,0.020810,0.169657,7.745894e-06,1.4111,-3.03806,1.7221,0.1550,0.1581,0.3874,2,4000,iter_cap
COP,marginal,0.024323,0.023559,0.221595,7.745191e-06,1.4063,-3.03823,1.7318,0.1531,0.1590,0.3936,2,4000,iter_cap
COP,ml_ref,0.022564,0.024795,0.221126,9.214541e-05,5.1176,-3.00220,0.3844,0.2416,0.1622,1.1954,0,0,ml
CVX,0,0.012667,0.013687,0.069201,1.304351e-01,0.5921,-7.57984,10.6526,6.2700,0.4837,3.6283,4,935,stall
CVX,0.1,0.012444,0.013967,0.071516,9.254831e-06,4.0867,-2.70270,1.1123,0.0632,0.1402,0.5633,2,4000,iter_cap
CVX,0.3,0.018251,0.015290,0.105325,4.917475e-06,2.3234,-2.71526,0.3446,0.1469,0.0323,0.1101,2,4000,iter_cap
CVX,1,0.018726,0.015099,0.106532,4.830098e-06,2.1701,-2.71779,0.5161,0.1345,0.0320,0.2541,2,3132,stall
CVX,3,0.019005,0.014978,0.107612,4.803662e-06,2.0816,-2.71944,0.6181,0.1249,0.0292,0.3416,2,3113,stall
CVX,10,0.019134,0.014916,0.108247,4.798515e-06,2.0402,-2.72027,0.6667,0.1199,0.0275,0.3835,2,3176,stall
CVX,30,0.018639,0.015084,0.108713,4.797976e-06,2.0282,-2.72052,0.6808,0.1185,0.0270,0.3957,2,4000,iter_cap
CVX,100,0.029821,0.021028,0.199788,4.797957e-06,2.0269,-2.72054,0.6821,0.1185,0.0271,0.3967,2,4000,iter_cap
CVX,marginal,0.073426,0.025149,0.540515,4.797863e-06,2.0198,-2.72069,0.6908,0.1173,0.0265,0.4044,2,3148,stall
CVX,ml_ref,0.056592,0.024568,0.391692,6.661408e-05,7.1993,-2.69660,0.0106,0.1444,0.0399,0.3352,0,0,ml
DIS,0,0.015634,0.013468,0.079390,4.710817e-03,1.3957,-2.69691,1.5118,1.9692,1.2312,0.4428,2,969,stall
DIS,0.1,0.015682,0.013503,0.080396,9.157975e-06,2.1361,-2.65259,0.5007,0.0378,0.1837,1.2255,2,4000,iter_cap
DIS,0.3,0.016010,0.013467,0.082584,8.744177e-06,2.4438,-2.64506,0.1817,0.0565,0.1760,0.9993,2,4000,iter_cap
DIS,1,0.017329,0.013415,0.086709,8.437564e-06,2.8512,-2.63803,0.1969,0.0640,0.1705,0.7034,2,4000,iter_cap
DIS,3,0.018462,0.013334,0.090477,8.354635e-06,3.1260,-2.63460,0.4337,0.0629,0.1699,0.5190,2,4000,iter_cap
DIS,10,0.030572,0.020751,0.206201,8.359258e-06,3.1720,-2.63410,0.4681,0.0596,0.1719,0.5002,2,4000,iter_cap
DIS,30,0.030515,0.035019,0.380008,8.301361e-06,3.0824,-2.63520,0.4170,0.0788,0.1597,0.4668,2,4000,iter_cap
DIS,100,0.053304,0.047231,0.708600,8.294501e-06,3.1909,-2.63401,0.5088,0.0766,0.1616,0.4000,2,4000,iter_cap
DIS,marginal,0.076865,0.047792,0.927192,8.293897e-06,3.2315,-2.63359,0.5401,0.0736,0.1640,0.3807,2,2991,stall
DIS,ml_ref,0.087521,0.047794,1.027284,4.617037e-05,9.2197,-2.61692,0.5574,0.0408,0.1120,0.3779,0,0,ml
DUK,0,0.019399,0.015497,0.105989,3.136023e-02,-0.7111,-2.71030,2.4970,3.8548,0.1717,1.1192,3,614,stall
DUK,0.1,0.020418,0.016527,0.118399,5.949044e-06,9.0421,-2.34205,2.9728,0.0792,0.0765,0.9861,2,4000,iter_cap
DUK,0.3,0.020668,0.016499,0.119344,5.900053e-06,8.7236,-2.34143,2.8667,0.0773,0.0793,0.9522,2,4000,iter_cap
DUK,1,0.022107,0.016325,0.123754,5.722502e-06,7.3875,-2.34101,2.4207,0.0691,0.0789,0.9315,2,4000,iter_cap
DUK,3,0.027752,0.015473,0.142361,5.344731e-06,5.0819,-2.34127,1.5457,0.0483,0.0783,0.8895,2,4000,iter_cap
DUK,10,0.036521,0.014920,0.201545,4.909824e-06,2.9507,-2.34578,0.4941,0.0262,0.0760,0.8541,2,4000,iter_cap
DUK,30,0.039735,0.014958,0.236746,4.825148e-06,2.3891,-2.34936,0.1425,0.0242,0.0743,0.8540,2,4000,iter_cap
DUK,100,0.040014,0.015611,0.264471,4.814252e-06,2.2139,-2.35096,0.0234,0.0241,0.0738,0.8534,2,4000,iter_cap
DUK,marginal,0.066455,0.020327,0.516478,4.813143e-06,2.1528,-2.35160,0.0206,0.0255,0.0731,0.8585,2,2425,stall
DUK,ml_ref,0.058576,0.020384,0.405536,8.893671e-05,9.2999,-2.33734,0.4815,0.0635,0.2908,0.0441,0,0,ml
FCX,0,0.015898,0.016733,0.104161,3.728006e-02,0.4100,-4.43743,77.0619,59.4550,34.1409,52.1108,3,4000,iter_cap
FCX,0.1,0.015837,0.016757,0.104228,6.160602e-06,1.1951,-3.42309,1.8717,0.3901,0.1674,1.7425,2,3300,stall
FCX,0.3,0.015841,0.016766,0.104264,6.153163e-06,1.1839,-3.42339,1.9067,0.3802,0.1590,1.7756,2,3336,stall
FCX,1,0.015845,0.016778,0.104341,6.147517e-06,1.1700,-3.42376,1.9503,0.3679,0.1491,1.8163,2,3739,stall
FCX,3,0.015857,0.016785,0.104399,6.146057e-06,1.1622,-3.42397,1.9747,0.3610,0.1435,1.8391,2,3842,stall
FCX,10,0.015865,0.016788,0.104429,6.145803e-06,1.1587,-3.42407,1.9858,0.3579,0.1410,1.8495,2,4000,iter_cap
FCX,30,0.015987,0.016793,0.104533,6.145781e-06,1.1570,-3.42412,1.9907,0.3566,0.1397,1.8545,2,4000,iter_cap
FCX,100,0.017040,0.017155,0.110956,6.145810e-06,1.1557,-3.42415,1.9946,0.3557,0.1385,1.8585,2,4000,iter_cap
FCX,marginal,0.019628,0.019409,0.142099,6.145774e-06,1.1570,-3.42412,1.9910,0.3564,0.1398,1.8543,2,4000,iter_cap
FCX,ml_ref,0.034778,0.029140,0.345943,1.234385e-04,3.0745,-3.40480,0.1641,0.2823,0.2221,0.3529,0,0,ml
HD,0,0.014901,0.016923,0.108396,2.125388e-02,2.5646,-4.10314,4.4457,1.1220,1.8845,0.3044,6,602,stall
HD,0.1,0.015478,0.016917,0.109473,4.288754e-06,2.7383,-2.51487,0.2080,0.1067,0.0561,0.3175,2,4000,iter_cap
HD,0.3,0.015575,0.016916,0.109546,4.281752e-06,2.6761,-2.51543,0.2606,0.1065,0.0571,0.3479,2,4000,iter_cap
HD,1,0.015752,0.016913,0.109808,4.277657e-06,2.5835,-2.51636,0.3398,0.1066,0.0583,0.3939,2,4000,iter_cap
HD,3,0.015882,0.016910,0.110130,4.281400e-06,2.5196,-2.51704,0.3950,0.1071,0.0589,0.4305,2,4000,iter_cap
HD,10,0.015959,0.016909,0.110360,4.287417e-06,2.4933,-2.51729,0.4177,0.1078,0.0591,0.4540,2,4000,iter_cap
HD,30,0.016299,0.016902,0.110983,4.285221e-06,2.4878,-2.51737,0.4231,0.1088,0.0582,0.4556,2,4000,iter_cap
HD,100,0.019911,0.016995,0.122662,4.286079e-06,2.4830,-2.51742,0.4273,0.1090,0.0581,0.4596,2,4000,iter_cap
HD,marginal,0.023038,0.017141,0.134365,4.287978e-06,2.4731,-2.51754,0.4354,0.1081,0.0589,0.4621,2,4000,iter_cap
HD,ml_ref,0.034897,0.017118,0.190446,6.587460e-05,9.2903,-2.49911,0.4353,0.1072,0.1472,0.0479,0,0,ml
HON,0,0.016920,0.018165,0.132237,3.761057e-02,0.2750,-3.12142,0.9050,0.9470,2.8467,5.5669,6,772,stall
HON,0.1,0.016922,0.018183,0.132276,7.915643e-06,5.9837,-2.44167,0.1230,0.0041,0.0909,0.9443,1,4000,iter_cap
HON,0.3,0.017750,0.018142,0.133884,7.881011e-06,14.5740,-2.43750,0.2492,0.0721,0.0512,0.6645,2,4000,iter_cap
HON,1,0.018696,0.018153,0.137494,7.654298e-06,7.2066,-2.43778,0.3629,0.0372,0.0514,0.5229,2,4000,iter_cap
HON,3,0.020313,0.018518,0.146436,7.509500e-06,5.7596,-2.43898,0.2878,0.0096,0.0481,0.4424,2,4000,iter_cap
HON,10,0.021920,0.019468,0.163523,7.401736e-06,5.3236,-2.44105,0.0034,0.0135,0.0423,0.3247,2,4000,iter_cap
HON,30,0.022519,0.020126,0.175124,7.376183e-06,5.5713,-2.44112,0.1868,0.0219,0.0396,0.2333,2,4000,iter_cap
HON,100,0.022226,0.020941,0.184895,7.369861e-06,6.0519,-2.44041,0.2937,0.0253,0.0384,0.1689,2,4000,iter_cap
HON,marginal,0.044355,0.032407,0.437618,7.367607e-06,7.4591,-2.43862,0.3196,0.0254,0.0381,0.1239,2,4000,iter_cap
HON,ml_ref,0.052892,0.033117,0.504877,3.711777e-05,9.5215,-2.43753,0.4849,0.1084,0.2323,0.0298,0,0,ml
JNJ,0,0.015906,0.017029,0.110802,5.190948e-02,9.2479,-3.17062,4.5668,2.3366,2.0775,2.9035,3,4000,iter_cap
JNJ,0.1,0.016465,0.017166,0.113630,6.519634e-06,2.6612,-2.22965,0.5955,0.0397,0.0119,0.4096,3,4000,iter_cap
JNJ,0.3,0.017350,0.017180,0.114533,7.796820e-06,1.2566,-2.26148,0.8524,0.0815,0.0045,0.4953,4,4000,iter_cap
JNJ,1,0.015200,0.019949,0.144396,5.133281e-06,2.3316,-2.23502,0.5877,0.0392,0.0054,0.3963,2,4000,iter_cap
JNJ,3,0.015391,0.019969,0.145795,5.105966e-06,2.5683,-2.23265,0.4657,0.0384,0.0019,0.4618,2,4000,iter_cap
JNJ,10,0.015569,0.019981,0.147150,5.096575e-06,2.7624,-2.23108,0.3711,0.0384,0.0008,0.5093,2,4000,iter_cap
JNJ,30,0.015449,0.020002,0.148071,5.095143e-06,2.8441,-2.23052,0.3322,0.0384,0.0016,0.5297,2,4000,iter_cap
JNJ,100,0.023657,0.020082,0.176447,5.094953e-06,2.8765,-2.23031,0.3167,0.0383,0.0018,0.5380,2,4000,iter_cap
JNJ,marginal,0.034227,0.020090,0.235041,5.094911e-06,2.9043,-2.23011,0.3048,0.0387,0.0026,0.5407,2,4000,iter_cap
JNJ,ml_ref,0.039722,0.020090,0.278907,3.243016e-05,6.9613,-2.22311,0.3234,0.0995,0.0343,0.2913,0,0,ml
JPM,0,0.014414,0.016485,0.097828,4.600595e-02,1.4203,-3.31076,1.7032,1.8243,0.9807,1.3359,4,1128,stall
JPM,0.1,0.015428,0.017610,0.109879,7.629723e-06,2.6487,-2.63437,1.0108,0.0511,0.2111,0.5209,2,4000,iter_cap
JPM,0.3,0.015995,0.018122,0.115592,6.691111e-06,2.6423,-2.63511,0.7425,0.0264,0.1689,0.2946,2,4000,iter_cap
JPM,1,0.016350,0.018445,0.120463,6.493342e-06,2.9177,-2.63289,0.4811,0.0483,0.1561,0.0695,2,4000,iter_cap
JPM,3,0.016353,0.018629,0.123717,6.428576e-06,3.1915,-2.63114,0.2722,0.0512,0.1540,0.1104,2,4000,iter_cap
JPM,10,0.016582,0.018757,0.126820,6.406681e-06,3.4236,-2.62999,0.1097,0.0502,0.1541,0.2505,2,4000,iter_cap
JPM,30,0.016699,0.018821,0.128548,6.403085e-06,3.5317,-2.62954,0.0374,0.0491,0.1544,0.3128,2,4000,iter_cap
JPM,100,0.019339,0.020764,0.159032,6.402599e-06,3.5744,-2.62938,0.0060,0.0498,0.1539,0.3402,2,4000,iter_cap
JPM,marginal,0.061627,0.024315,0.425230,6.402499e-06,3.6004,-2.62928,0.0073,0.0482,0.1548,0.3514,2,1668,stall
JPM,ml_ref,0.072207,0.024451,0.525099,7.200288e-05,6.4626,-2.62634,0.1291,0.2696,0.1344,0.0961,0,0,ml
KO,0,0.017542,0.016586,0.114531,4.166655e-02,8.7668,-2.55423,0.7109,0.0699,0.1002,2.0751,3,601,stall
KO,0.1,0.017143,0.017033,0.117265,1.450101e-05,1.1772,-2.30321,2.5760,0.0435,0.1575,0.9695,1,4000,iter_cap
KO,0.3,0.020718,0.018720,0.144703,6.461029e-06,3.2519,-2.20503,1.0008,0.0782,0.0280,0.6162,2,4000,iter_cap
KO,1,0.021114,0.018737,0.146295,6.436935e-06,3.0813,-2.20721,1.0972,0.0829,0.0251,0.6443,2,4000,iter_cap
KO,3,0.021322,0.018693,0.146759,6.430194e-06,2.9820,-2.20859,1.1571,0.0826,0.0242,0.6691,2,4000,iter_cap
KO,10,0.021505,0.018660,0.147171,6.427875e-06,2.9142,-2.20960,1.1990,0.0817,0.0238,0.6877,2,4000,iter_cap
KO,30,0.021536,0.018680,0.147431,6.427539e-06,2.8894,-2.20998,1.2144,0.0813,0.0236,0.6946,2,4000,iter_cap
KO,100,0.056404,0.022234,0.370998,6.427565e-06,2.8821,-2.21010,1.2184,0.0820,0.0231,0.6946,2,4000,iter_cap
KO,marginal,0.091409,0.022440,0.776198,6.427474e-06,2.8738,-2.21022,1.2243,0.0810,0.0236,0.6992,2,3743,stall
KO,ml_ref,0.087067,0.022439,0.716443,2.713611e-05,9.9576,-2.18766,0.0358,0.0996,0.0910,0.3444,0,0,ml
LLY,0,0.014375,0.016247,0.101658,1.048291e-03,1.5112,-2.63553,1.5841,0.2145,0.1624,1.4090,2,2300,stall
LLY,0.1,0.015599,0.016925,0.110611,5.091430e-06,46.8112,-2.60814,3.5609,0.0200,0.0026,0.8295,2,4000,iter_cap
LLY,0.3,0.015460,0.016981,0.110686,5.078280e-06,44.9480,-2.60774,3.5777,0.0223,0.0024,0.7896,2,4000,iter_cap
LLY,1,0.015023,0.017308,0.112055,5.014873e-06,36.2211,-2.60583,3.1647,0.0238,0.0019,0.7520,2,4000,iter_cap
LLY,3,0.033700,0.020351,0.223320,4.476849e-06,3.0532,-2.61410,0.0714,0.0967,0.0029,0.3423,2,4000,iter_cap
LLY,10,0.034246,0.020350,0.228065,4.451320e-06,3.5121,-2.61005,0.2988,0.0884,0.0031,0.1904,2,4000,iter_cap
LLY,30,0.034526,0.020350,0.230794,4.448505e-06,3.6844,-2.60889,0.3796,0.0861,0.0028,0.1355,2,4000,iter_cap
LLY,100,0.034614,0.020350,0.232089,4.448153e-06,3.7484,-2.60850,0.4100,0.0855,0.0026,0.1142,2,4000,iter_cap
LLY,marginal,0.034647,0.020350,0.232763,4.448118e-06,3.7783,-2.60833,0.4242,0.0852,0.0025,0.1042,2,3532,stall
LLY,ml_ref,0.032407,0.020351,0.215259,2.919154e-05,12.2815,-2.59681,0.3909,0.1608,0.1328,0.2592,0,0,ml
MCD,0,0.016862,0.017107,0.117067,2.396852e-02,2.6753,-2.62622,2.0044,0.5557,0.5324,0.4033,1,502,stall
MCD,0.1,0.017209,0.017023,0.119604,9.181359e-06,1.4133,-2.40064,1.7437,0.0470,0.0091,0.7579,1,4000,iter_cap
MCD,0.3,0.016995,0.017220,0.118134,8.028094e-06,10.1230,-2.24978,0.5781,0.0355,0.1088,0.9308,3,4000,iter_cap
MCD,1,0.017726,0.017268,0.123957,7.988477e-06,9.0143,-2.25055,0.4581,0.0218,0.1039,0.9982,2,4000,iter_cap
MCD,3,0.018145,0.017216,0.125262,7.966076e-06,7.9887,-2.25149,0.4686,0.0215,0.1011,0.8643,2,4000,iter_cap
MCD,10,0.019824,0.017124,0.131052,7.929765e-06,6.3166,-2.25429,0.5499,0.0218,0.0951,0.5848,2,4000,iter_cap
MCD,30,0.021263,0.017083,0.137686,7.915045e-06,5.3807,-2.25715,0.6307,0.0225,0.0905,0.3929,2,4000,iter_cap
MCD,100,0.022062,0.017074,0.141499,7.912365e-06,5.0233,-2.25866,0.6725,0.0229,0.0884,0.3103,2,4000,iter_cap
MCD,marginal,0.037470,0.018911,0.227317,7.912043e-06,4.8639,-2.25943,0.6920,0.0231,0.0874,0.2721,2,2230,stall
MCD,ml_ref,0.028725,0.017562,0.170609,5.708499e-05,17.5526,-2.24823,0.0652,0.1380,0.0694,0.1958,0,0,ml
MSFT,0,0.012950,0.019040,0.125904,2.821623e-02,2.0274,-2.77908,0.8907,1.0956,1.8738,0.1557,1,553,stall
MSFT,0.1,0.014961,0.018944,0.129696,1.053474e-05,1.3562,-2.60438,0.9063,0.1768,0.0338,0.8582,1,4000,iter_cap
MSFT,0.3,0.015908,0.018930,0.133157,9.731420e-06,1.6448,-2.59937,0.5357,0.1236,0.0235,0.6656,2,4000,iter_cap
MSFT,1,0.017015,0.018931,0.137777,9.341744e-06,1.9939,-2.59583,0.1777,0.1092,0.0079,0.3902,2,4000,iter_cap
MSFT,3,0.017519,0.022501,0.181149,9.303663e-06,2.0435,-2.59552,0.1510,0.1178,0.0035,0.2979,2,4000,iter_cap
MSFT,10,0.018948,0.023298,0.198932,9.254460e-06,2.2039,-2.59455,0.0117,0.1096,0.0046,0.1981,2,4000,iter_cap
MSFT,30,0.030684,0.025580,0.256971,8.864900e-06,1.4215,-2.60374,0.8035,0.0442,0.0853,0.5856,4,4000,iter_cap
MSFT,100,0.039062,0.025684,0.298882,9.246584e-06,2.3042,-2.59408,0.1092,0.1060,0.0059,0.1338,2,4000,iter_cap
MSFT,marginal,0.046444,0.025734,0.350916,9.246509e-06,2.3104,-2.59405,0.1156,0.1060,0.0050,0.1342,2,2040,stall
MSFT,ml_ref,0.045590,0.025694,0.343833,5.256154e-05,3.7012,-2.59142,0.1754,0.1207,0.0874,0.0915,0,0,ml
NEE,0,0.015663,0.012556,0.069673,2.263573e-02,93.9647,-2.94361,4.2401,1.1245,2.6337,5.8269,1,4000,iter_cap
NEE,0.1,0.016125,0.012749,0.072168,1.092982e-05,4.6749,-2.46527,0.5040,0.0596,0.0348,0.7287,6,4000,iter_cap
NEE,0.3,0.017593,0.012913,0.079429,1.077575e-05,2.9623,-2.47848,0.1502,0.0671,0.1860,0.1017,2,4000,iter_cap
NEE,1,0.022397,0.015580,0.127230,1.016858e-05,2.4043,-2.48601,0.6146,0.0235,0.1594,0.3588,4,4000,iter_cap
NEE,3,0.027147,0.020711,0.196493,9.118662e-06,1.7822,-2.50211,1.0748,0.0485,0.1737,0.9027,2,4000,iter_cap
