ticker,arm,acf_regret,cvm_regret,max_regret,both_le_1p5
SPY,0.1,1.0338,2.5909,2.5909,0
UNH,0.1,1.0044,1.7169,1.7169,0
VZ,0.1,1.0305,1.0182,1.0305,1
WFC,0.1,1.0197,1.3884,1.3884,1
WMT,0.1,1.0003,1.0694,1.0694,1
XOM,0.1,1.0001,1.0001,1.0001,1
AAPL,0.3,1.0000,1.4667,1.4667,1
AMZN,0.3,1.0100,1.0217,1.0217,1
APD,0.3,1.0182,1.0508,1.0508,1
BA,0.3,1.0545,1.9410,1.9410,0
BAC,0.3,1.0052,1.0172,1.0172,1
CAT,0.3,1.1385,1.1166,1.1385,1
COP,0.3,1.0164,1.5168,1.5168,0
CVX,0.3,1.4667,1.0249,1.4667,1
DIS,0.3,1.0241,1.0543,1.0543,1
DUK,0.3,1.0654,1.2258,1.2258,1
FCX,0.3,1.0003,1.0012,1.0012,1
HD,0.3,1.0452,1.0010,1.0452,1
HON,0.3,1.0491,1.0697,1.0697,1
JNJ,0.3,1.1414,1.5303,1.5303,0
JPM,0.3,1.1097,1.0451,1.1097,1
KO,0.3,1.2085,1.0052,1.2085,1
LLY,0.3,1.0755,1.1417,1.1417,1
MCD,0.3,1.0079,1.0147,1.0147,1
MSFT,0.3,1.2284,1.0977,1.2284,1
NEE,0.3,1.1232,1.6963,1.6963,0
NEM,0.3,1.0000,2.0980,2.0980,0
NFLX,0.3,1.0847,1.0688,1.0847,1
NVDA,0.3,1.2470,1.0699,1.2470,1
PG,0.3,1.0032,1.0021,1.0032,1
SO,0.3,1.0494,1.0036,1.0494,1
SPY,0.3,1.4209,1.1230,1.4209,1
UNH,0.3,1.0218,1.0000,1.0218,1
VZ,0.3,1.0094,1.0582,1.0582,1
WFC,0.3,1.0483,1.9041,1.9041,0
WMT,0.3,1.0000,1.0693,1.0693,1
XOM,0.3,1.0416,1.0690,1.0690,1
AAPL,1,1.2736,1.2631,1.2736,1
AMZN,1,1.0317,1.0206,1.0317,1
APD,1,1.0660,1.0385,1.0660,1
BA,1,1.1321,1.5607,1.5607,0
BAC,1,1.0109,1.0049,1.0109,1
CAT,1,1.2681,1.0265,1.2681,1
COP,1,1.2652,1.0003,1.2652,1
CVX,1,1.5048,1.0067,1.5048,0
DIS,1,1.1084,1.0173,1.1084,1
DUK,1,1.1396,1.1889,1.1889,1
FCX,1,1.0005,1.0003,1.0005,1
HD,1,1.0571,1.0000,1.0571,1
HON,1,1.1050,1.0389,1.1050,1
JNJ,1,1.0000,1.0075,1.0075,1
JPM,1,1.1343,1.0142,1.1343,1
KO,1,1.2316,1.0015,1.2316,1
LLY,1,1.0451,1.1274,1.1274,1
MCD,1,1.0512,1.0097,1.0512,1
MSFT,1,1.3139,1.0538,1.3139,1
NEE,1,1.4299,1.6007,1.6007,0
NEM,1,1.8490,1.1599,1.8490,0
NFLX,1,1.1477,1.0110,1.1477,1
NVDA,1,1.1159,1.3622,1.3622,1
PG,1,1.0108,1.0012,1.0108,1
SO,1,1.0507,1.0031,1.0507,1
SPY,1,1.5065,1.0230,1.5065,0
UNH,1,1.0223,1.0002,1.0223,1
VZ,1,1.0235,1.0581,1.0581,1
WFC,1,1.1372,1.9153,1.9153,0
WMT,1,1.0134,1.0718,1.0718,1
XOM,1,1.0108,1.0000,1.0108,1
AAPL,3,1.4086,1.0029,1.4086,1
AMZN,3,1.1283,1.0168,1.1283,1
APD,3,1.2475,1.0035,1.2475,1
BA,3,1.4128,1.0046,1.4128,1
BAC,3,1.0147,1.0009,1.0147,1
CAT,3,1.3481,1.0049,1.3481,1
COP,3,1.2683,1.0001,1.2683,1
CVX,3,1.5272,1.0012,1.5272,0
DIS,3,1.1809,1.0073,1.1809,1
DUK,3,1.4306,1.1104,1.4306,1
FCX,3,1.0013,1.0000,1.0013,1
HD,3,1.0658,1.0009,1.0658,1
HON,3,1.2005,1.0193,1.2005,1
JNJ,3,1.0126,1.0022,1.0126,1
JPM,3,1.1345,1.0041,1.1345,1
KO,3,1.2438,1.0004,1.2438,1
LLY,3,2.3443,1.0065,2.3443,0
MCD,3,1.0761,1.0068,1.0761,1
MSFT,3,1.3528,1.0495,1.3528,1
NEE,3,1.7332,1.4354,1.7332,0
NEM,3,2.0033,1.0307,2.0033,0
NFLX,3,2.0456,1.0014,2.0456,0
NVDA,3,2.4303,1.0194,2.4303,0
PG,3,1.0294,1.0005,1.0294,1
SO,3,1.0532,1.0031,1.0532,1
SPY,3,1.5480,1.0033,1.5480,0
UNH,3,1.0236,1.0015,1.0236,1
VZ,3,1.6554,1.0102,1.6554,0
WFC,3,1.3237,1.0124,1.3237,1
WMT,3,1.0593,1.0688,1.0688,1
XOM,3,1.0217,1.0072,1.0217,1
AAPL,10,1.3743,1.0002,1.3743,1
AMZN,10,1.7622,1.0020,1.7622,0
APD,10,1.4366,1.0057,1.4366,1
BA,10,1.4146,1.0004,1.4146,1
BAC,10,1.0167,1.0001,1.0167,1
CAT,10,1.4012,1.0007,1.4012,1
COP,10,1.2662,1.0000,1.2662,1
CVX,10,1.5376,1.0001,1.5376,0
DIS,10,1.9555,1.0079,1.9555,0
DUK,10,1.8826,1.0201,1.8826,0
FCX,10,1.0018,1.0000,1.0018,1
HD,10,1.0710,1.0023,1.0710,1
HON,10,1.2955,1.0046,1.2955,1
JNJ,10,1.0243,1.0003,1.0243,1
JPM,10,1.1504,1.0007,1.1504,1
KO,10,1.2544,1.0001,1.2544,1
LLY,10,2.3823,1.0007,2.3823,0
MCD,10,1.1757,1.0022,1.1757,1
MSFT,10,1.4632,1.0439,1.4632,1
NEE,10,1.2763,1.0001,1.2763,1
NEM,10,2.0760,1.0042,2.0760,0
NFLX,10,2.4772,1.0001,2.4772,0
NVDA,10,2.2811,1.0052,2.2811,0
PG,10,1.0544,1.0001,1.0544,1
SO,10,1.0600,1.0029,1.0600,1
SPY,10,1.5646,1.0003,1.5646,0
UNH,10,1.0263,1.0027,1.0263,1
VZ,10,1.8746,1.0014,1.8746,0
WFC,10,1.3960,1.0000,1.3960,1
WMT,10,1.3239,1.0497,1.3239,1
XOM,10,1.0079,1.0136,1.0136,1
AAPL,30,1.0083,1.0000,1.0083,1
AMZN,30,1.8277,1.0000,1.8277,0
APD,30,2.4780,1.0007,2.4780,0
BA,30,1.4142,1.0000,1.4142,1
BAC,30,1.0195,1.0000,1.0195,1
CAT,30,2.0407,1.0001,2.0407,0
COP,30,1.2091,1.0001,1.2091,1
CVX,30,1.4978,1.0000,1.4978,1
DIS,30,1.9518,1.0009,1.9518,0
DUK,30,2.0483,1.0025,2.0483,0
FCX,30,1.0095,1.0000,1.0095,1
HD,30,1.0938,1.0018,1.0938,1
HON,30,1.3309,1.0012,1.3309,1
JNJ,30,1.0164,1.0000,1.0164,1
JPM,30,1.1585,1.0001,1.1585,1
KO,30,1.2563,1.0000,1.2563,1
LLY,30,2.4018,1.0001,2.4018,0
MCD,30,1.2610,1.0004,1.2610,1
MSFT,30,2.3694,1.0000,2.3694,0
NEE,30,1.0090,1.0000,1.0090,1
NEM,30,2.2830,1.0027,2.2830,0
NFLX,30,2.6269,1.0000,2.6269,0
NVDA,30,2.8251,1.0017,2.8251,0
PG,30,1.0645,1.0000,1.0645,1
SO,30,1.0765,1.0024,1.0765,1
SPY,30,1.4408,1.0001,1.4408,1
UNH,30,1.0350,1.0035,1.0350,1
VZ,30,1.9397,1.0003,1.9397,0
WFC,30,1.3901,1.0104,1.3901,1
WMT,30,1.7397,1.0299,1.7397,0
XOM,30,1.3634,1.0107,1.3634,1
AAPL,100,1.8072,1.0000,1.8072,0
AMZN,100,2.2994,1.0008,2.2994,0
APD,100,3.2987,1.0000,3.2987,0
BA,100,1.3827,1.0005,1.3827,1
BAC,100,1.0184,1.0000,1.0184,1
CAT,100,3.1219,1.0000,3.1219,0
