variant,exkurt_is,exkurt_oos,tail_frac,alpha_is,alpha_oos,alpha_is_lo,alpha_is_hi
"Observed SPY",7.68,5.29,0.02,3.5441,4.8547,NaN,NaN
"Observed SPY",7.68,5.29,0.05,3.1521,3.3003,NaN,NaN
"Observed SPY",7.68,5.29,0.10,2.7168,2.9702,NaN,NaN
"CHMM-t (shared-nu)",4.68,4.46,0.02,4.3180,4.3033,3.3548,5.7645
"CHMM-t (shared-nu)",4.68,4.46,0.05,3.6665,3.6686,3.1121,4.3839
"CHMM-t (shared-nu)",4.68,4.46,0.10,3.0272,3.0170,2.6658,3.4415
"CHMM-N",3.83,3.62,0.02,4.6409,4.6816,3.5437,6.2322
"CHMM-N",3.83,3.62,0.05,3.4100,3.5379,2.8974,4.0509
"CHMM-N",3.83,3.62,0.10,2.7550,2.8307,2.4546,3.0867
"CHMM-t (pen, lambda=20)",18.87,10.61,0.02,3.4289,3.4221,2.6177,4.6768
"CHMM-t (pen, lambda=20)",18.87,10.61,0.05,3.2700,3.2604,2.8043,3.8968
"CHMM-t (pen, lambda=20)",18.87,10.61,0.10,2.8704,2.8501,2.5373,3.2645
"CHMM-L",5.24,5.20,0.02,4.0377,4.0132,3.2317,5.2294
"CHMM-L",5.24,5.20,0.05,3.2608,3.2642,2.8358,3.8640
"CHMM-L",5.24,5.20,0.10,2.6849,2.7096,2.4139,3.0101
"CHMM-GED",5.45,5.09,0.02,3.8264,3.8827,3.0014,5.0340
"CHMM-GED",5.45,5.09,0.05,3.2357,3.2404,2.7831,3.8016
"CHMM-GED",5.45,5.09,0.10,2.7347,2.7423,2.4358,3.0690
