ticker,m,near_mae,far_mae,lambdas
AAPL,1,0.021515,0.019391,0.9871
AAPL,2,0.018005,0.018993,0.9898;0.8461
AAPL,4,0.017935,0.018946,0.9987;0.9903;0.8461;0.0928
AAPL,8,0.012640,0.016152,0.9991;0.9903;0.9788;0.9449;0.9081;0.8461;0.5168;0.2215
AAPL,17,0.010771,0.016056,0.9984;0.9926;0.9823;0.9732;0.9616;0.9378;0.9017;0.8726;0.8464;0.7908;0.7703;0.7280;0.6534;0.5827;0.3989;0.3249;0.2720
AMZN,1,0.020465,0.020341,0.9837
AMZN,2,0.018639,0.020439,0.9847;0.0928
AMZN,4,0.018810,0.019439,0.9991;0.9877;0.9628;0.0928
AMZN,8,0.017338,0.017889,0.9991;0.9952;0.9877;0.9628;0.9281;0.8633;0.4200;0.0928
AMZN,17,0.015409,0.015836,0.9991;0.9971;0.9941;0.9877;0.9792;0.9722;0.9628;0.9354;0.9281;0.8848;0.8633;0.7822;0.7106;0.6218;0.4456;0.3450;0.2720
APD,1,0.022960,0.016742,0.9848
APD,2,0.017209,0.015656,0.9886;0.8270
APD,4,0.014938,0.014801,0.9984;0.9886;0.9360;0.7069
APD,8,0.014668,0.013151,0.9991;0.9953;0.9886;0.9722;0.9496;0.7928;0.4532;0.1433
APD,17,0.013181,0.012909,0.9991;0.9953;0.9792;0.9667;0.9568;0.9341;0.9292;0.8849;0.8689;0.7529;0.5950;0.5236;0.4532;0.3256;0.3177;0.2037;0.1801
BA,1,0.034674,0.019060,0.9876
BA,2,0.023535,0.015842,0.9906;0.8656
BA,4,0.023803,0.014219,0.9987;0.9847;0.8656;0.5827
BA,8,0.017300,0.014400,0.9984;0.9906;0.9506;0.9221;0.8656;0.7564;0.5827;0.2720
BA,17,0.014128,0.011810,0.9984;0.9963;0.9928;0.9830;0.9691;0.9506;0.9257;0.9077;0.8958;0.8559;0.8211;0.7564;0.6830;0.3730;0.1984;0.1236;0.0928
BAC,1,0.017501,0.017626,0.9697
BAC,2,0.017270,0.016857,0.9984;0.9635
BAC,4,0.016822,0.016822,0.9984;0.9587;0.9114;0.0928
BAC,8,0.016631,0.013668,0.9989;0.9937;0.9832;0.9754;0.9398;0.8868;0.7751;0.2720
BAC,17,0.015715,0.013353,0.9984;0.9955;0.9907;0.9777;0.9587;0.9460;0.9308;0.8981;0.8722;0.8674;0.8408;0.7751;0.6635;0.5651;0.3044;0.2720;0.2425
CAT,1,0.013287,0.015551,0.9733
CAT,2,0.013092,0.015555,0.9738;0.0928
CAT,4,0.013137,0.015400,0.9991;0.9961;0.9636;0.0928
CAT,8,0.012555,0.015143,0.9991;0.9961;0.9755;0.9449;0.8326;0.6782;0.3992;0.0928
