ticker,m,near_mae,far_mae,components
COP,17,0.013260,0.016969,pos:0.9878:0:0.07986|osc:0.9501:0.2618:0.00303:0.00616|pos:0.9980:0:0.01147|osc:0.9023:0.7854:0.00116:0.04158|pos:0.9480:0:0.17025|osc:0.9520:1.5708:-0.00673:-0.02118|osc:0.9981:2.6180:-0.00055:-0.00447|osc:0.9091:0.5236:-0.01938:-0.06684|osc:0.9980:0.5236:-0.00050:0.00471|osc:0.9944:0.2618:-0.00141:0.00624
CVX,1,0.018077,0.015637,pos:0.9777:0:0.24701
CVX,2,0.014405,0.014061,pos:0.9839:0:0.17554|pos:0.8688:0:0.16357
CVX,4,0.012176,0.014236,pos:0.9784:0:0.17479|pos:0.8688:0:0.17349|pos:0.9980:0:0.01583|pos:0.3747:0:-0.18953
CVX,8,0.011829,0.014166,pos:0.9800:0:0.16734|pos:0.8688:0:0.19291|pos:0.9980:0:0.01390|osc:0.6796:0.2618:-0.12892:0.03940|neg:0.9882:0:-0.00237|osc:0.9978:1.5708:-0.00227:-0.00038
CVX,17,0.010277,0.014067,pos:0.9820:0:0.15493|pos:0.8688:0:0.30469|pos:0.9980:0:0.01140|osc:0.7627:0.2618:-0.01474:-0.26408|neg:0.9819:0:-0.00698|osc:0.9941:1.5708:-0.00443:-0.00075|osc:0.9786:0.2618:0.01180:0.00839|osc:0.9162:2.0944:-0.01619:-0.02790|osc:0.5922:1.5708:0.21499:-0.11420|osc:0.9676:0.5236:-0.01310:-0.00846|neg:0.9305:0:0.01445
DIS,1,0.024006,0.016869,pos:0.9917:0:0.15327
DIS,2,0.015879,0.014326,pos:0.9948:0:0.10616|pos:0.9118:0:0.15115
DIS,4,0.015541,0.013476,pos:0.9948:0:0.02194|pos:0.7775:0:0.02019|pos:0.9980:0:0.04958|pos:0.9606:0:0.14467
DIS,8,0.014149,0.013503,pos:0.9948:0:0.02353|pos:0.7775:0:0.06786|pos:0.9980:0:0.04868|osc:0.9634:0.2618:-0.00908:-0.01880|osc:0.7199:1.5708:0.05929:0.00250|pos:0.9609:0:0.13869
DIS,17,0.012493,0.013673,pos:0.9948:0:0.02440|pos:0.7775:0:0.01024|pos:0.9980:0:0.04833|osc:0.9741:0.2618:-0.00785:-0.00940|osc:0.7765:1.5708:0.11251:0.02311|pos:0.9590:0:0.14819|osc:0.8601:0.7854:-0.03418:0.05584|osc:0.9978:0.7854:0.00408:-0.00074|osc:0.9725:1.0472:0.01504:0.00325|osc:0.9676:1.5708:-0.02015:-0.00117|neg:0.8579:0:0.01000
DUK,1,0.020159,0.017145,pos:0.9638:0:0.31511
DUK,2,0.018749,0.016125,pos:0.9471:0:0.28412|pos:0.9874:0:0.05813
DUK,4,0.019386,0.012686,pos:0.9394:0:0.30441|pos:0.9954:0:0.13999|pos:0.8970:0:-0.02865|pos:0.9993:0:-0.07249
DUK,8,0.014883,0.012246,pos:0.9394:0:-0.08697|pos:0.9954:0:0.17003|pos:0.9149:0:0.49344|osc:0.8919:0.2618:-0.08982:-0.10650|pos:0.9993:0:-0.08756|osc:0.6516:2.0944:0.12104:0.00367
DUK,17,0.013118,0.011979,pos:0.9501:0:-0.09733|pos:0.9954:0:0.17788|pos:0.9149:0:0.52717|osc:0.8919:0.2618:-0.07969:-0.14775|pos:0.9993:0:-0.09143|osc:0.7534:2.0944:0.09445:0.03066|osc:0.9961:2.6180:0.00181:0.00600|osc:0.9224:0.5236:-0.03019:-0.01308|osc:0.9781:1.0472:-0.00846:0.00579|osc:0.9546:2.6180:0.01361:-0.01882|neg:0.9993:0:0.00088
FCX,1,0.015871,0.016751,pos:0.9866:0:0.18933
FCX,2,0.017623,0.014361,pos:0.9917:0:0.21801|pos:0.9993:0:-0.04284
FCX,4,0.017130,0.014463,pos:0.9917:0:0.21852|pos:0.9993:0:-0.04302|osc:0.9885:0.2618:0.00557:-0.00315
FCX,8,0.016534,0.014426,pos:0.9917:0:0.21904|pos:0.9993:0:-0.04320|osc:0.9863:0.2618:0.00709:-0.00248|osc:0.8365:0.7854:0.01871:-0.01450|osc:0.9837:2.0944:-0.00810:0.00517
FCX,17,0.014479,0.013861,pos:0.9917:0:0.29265|pos:0.9993:0:-0.05698|osc:0.9825:0.2618:0.01139:-0.01173|osc:0.6145:0.7854:0.12464:-0.17926|osc:0.9907:2.0944:-0.00549:0.00242|neg:0.9186:0:0.01087|osc:0.9915:2.6180:-0.00354:0.00073|osc:0.9993:1.5708:-0.00019:-0.00245|osc:0.9953:0.7854:-0.00201:-0.00066|pos:0.9793:0:-0.13408|pos:0.9347:0:0.13620
HD,1,0.015404,0.016919,pos:0.9566:0:0.24771
HD,2,0.016189,0.014381,pos:0.9485:0:0.24650|pos:0.9993:0:0.01195
HD,4,0.014413,0.014434,pos:0.9478:0:0.25049|pos:0.9993:0:0.01201|neg:0.8818:0:0.05396|neg:0.9849:0:-0.00903
HD,8,0.012971,0.014434,pos:0.9457:0:0.26095|pos:0.9993:0:0.01224|neg:0.8796:0:0.05692|osc:0.8399:1.0472:0.04583:-0.05121|neg:0.9840:0:-0.00954|osc:0.9712:1.5708:-0.01318:0.00414
HD,17,0.010593,0.013952,pos:0.9582:0:0.41817|pos:0.9980:0:0.02107|neg:0.8288:0:0.09583|osc:0.8399:1.0472:0.04631:-0.04531|neg:0.9840:0:-0.00917|osc:0.9712:1.5708:-0.01250:0.00578|osc:0.8759:2.6180:-0.02258:0.03716|pos:0.9749:0:-0.16280|osc:0.9757:0.2618:-0.00263:-0.01285|osc:0.9497:2.0944:0.01495:-0.00480|osc:0.9993:2.0944:-0.00294:0.00069
HON,1,0.026083,0.020209,pos:0.9824:0:0.22977
HON,2,0.018672,0.018144,pos:0.9891:0:0.14143|pos:0.9038:0:0.19148
HON,4,0.016625,0.018147,pos:0.9891:0:0.13362|pos:0.9038:0:0.23662|pos:0.9980:0:0.00203|pos:0.4482:0:-0.22649
HON,8,0.014273,0.018217,pos:0.9891:0:0.12642|pos:0.9038:0:0.27149|pos:0.9980:0:0.00412|pos:0.2310:0:-0.42600|osc:0.9502:0.2618:-0.01272:-0.04063|osc:0.6849:1.5708:0.10491:0.00697
HON,17,0.013901,0.018121,pos:0.9891:0:0.12626|pos:0.9038:0:0.27166|pos:0.9980:0:0.00419|pos:0.1668:0:-0.56110|osc:0.9502:0.2618:-0.01262:-0.04127|osc:0.6733:1.5708:0.13817:-0.01771|osc:0.9993:0.7854:0.00325:-0.00163|neg:0.9759:0:-0.00536|osc:0.9688:2.0944:-0.01072:-0.00467|osc:0.9909:1.5708:-0.00517:0.00009|osc:0.9766:2.6180:-0.00666:-0.00352
JNJ,1,0.015196,0.019920,pos:0.9508:0:0.18814
JNJ,2,0.015976,0.017035,pos:0.9353:0:0.18661|pos:0.9993:0:0.01454
JNJ,4,0.014624,0.016755,pos:0.9574:0:0.36502|pos:0.9980:0:0.02400|neg:0.8306:0:-0.03094|pos:0.9725:0:-0.19471
JNJ,8,0.012920,0.016459,pos:0.9561:0:0.35701|pos:0.9980:0:0.02398|neg:0.8662:0:-0.01922|osc:0.9948:0.7854:0.01026:-0.00292|osc:0.9279:2.0944:0.03204:0.00684|pos:0.9725:0:-0.18156
JNJ,17,0.010642,0.016403,pos:0.9505:0:0.33679|pos:0.9980:0:0.02375|neg:0.7458:0:-0.08989|osc:0.9977:0.7854:0.00629:-0.00173|osc:0.9317:2.0944:0.03756:0.01568|pos:0.9725:0:-0.14028|osc:0.9851:0.2618:-0.00390:-0.00905|osc:0.9730:2.6180:0.00509:0.00919|osc:0.9993:2.0944:-0.00249:0.00189|osc:0.8473:0.7854:0.06049:-0.01219|neg:0.4679:0:0.23072
JPM,1,0.017277,0.018261,pos:0.9777:0:0.22347
JPM,2,0.014952,0.017097,pos:0.9836:0:0.16150|pos:0.8753:0:0.13385
JPM,4,0.013960,0.017197,pos:0.9778:0:0.17572|pos:0.8753:0:0.09496|pos:0.9980:0:0.01150|neg:0.9651:0:-0.00948
JPM,8,0.013078,0.016757,pos:0.9861:0:0.13902|pos:0.8753:0:0.25379|pos:0.9984:0:-0.00204|osc:0.7337:2.0944:0.05450:0.04208|osc:0.8399:0.2618:-0.09504:-0.07319|neg:0.9826:0:-0.00467
JPM,17,0.010545,0.015875,pos:0.9626:0:0.11689|pos:0.8753:0:0.15336|pos:0.9993:0:-0.04996|osc:0.7973:2.0944:0.14088:0.07721|osc:0.8399:0.2618:-0.05070:-0.03404|osc:0.9917:1.0472:0.00717:0.00052|osc:0.9465:2.0944:-0.04245:-0.02228|osc:0.9993:0.2618:-0.00085:-0.00277|neg:0.9876:0:-0.00426|osc:0.9171:2.6180:-0.00799:-0.02028|pos:0.9956:0:0.11997
KO,1,0.021029,0.018914,pos:0.9703:0:0.25386
KO,2,0.018715,0.016803,pos:0.9586:0:0.25959|pos:0.9980:0:0.02029
KO,4,0.017187,0.016851,pos:0.9700:0:0.16639|pos:0.9980:0:0.01738|pos:0.9004:0:0.14013|pos:0.3410:0:-0.16904
KO,8,0.013473,0.016978,pos:0.9806:0:0.11092|pos:0.9980:0:0.01185|pos:0.8912:0:0.29617|osc:0.9182:0.2618:-0.05917:-0.07472|osc:0.6944:1.5708:0.03557:-0.09680|neg:0.9993:0:-0.00162
KO,17,0.012346,0.016855,pos:0.9806:0:0.11241|pos:0.9980:0:0.01176|pos:0.8882:0:0.29838|osc:0.9182:0.2618:-0.06117:-0.06315|osc:0.6699:1.5708:0.06189:-0.08685|osc:0.9758:2.6180:0.00094:0.01481|osc:0.9993:0.2618:0.00088:-0.00401|neg:0.9993:0:-0.00212|neg:0.8636:0:0.02345|osc:0.9976:0.5236:0.00339:-0.00107|osc:0.9993:1.5708:-0.00147:-0.00231
LLY,1,0.016539,0.017138,pos:0.9905:0:0.05466
LLY,2,0.015006,0.016681,pos:0.9934:0:0.04204|pos:0.7255:0:0.11135
LLY,4,0.015094,0.016459,pos:0.9934:0:0.04200|pos:0.7255:0:0.11311|osc:0.9993:1.5708:-0.00070:-0.00440
LLY,8,0.014192,0.016353,pos:0.9934:0:0.04195|pos:0.7255:0:0.12731|osc:0.9993:1.5708:-0.00066:-0.00443|osc:0.9942:2.6180:0.00560:0.00361|osc:0.9937:0.2618:-0.00156:-0.00789
LLY,17,0.011191,0.015555,pos:0.9876:0:-0.02157|pos:0.4167:0:0.17002|osc:0.9993:1.5708:-0.00295:-0.00694|osc:0.9902:2.6180:0.00882:0.00613|osc:0.9947:0.2618:0.00047:-0.00747|osc:0.9993:2.0944:0.00257:-0.00384|osc:0.8973:2.0944:0.01960:0.03516|neg:0.7551:0:0.04479|pos:0.9980:0:0.02496|pos:0.9650:0:0.07744|osc:0.9811:1.5708:0.00956:0.01133
MCD,1,0.017645,0.017368,pos:0.9472:0:0.33124
MCD,2,0.016868,0.017135,pos:0.9292:0:0.29676|pos:0.9808:0:0.05449
MCD,4,0.015936,0.017128,pos:0.9328:0:0.28992|osc:0.9569:0.5236:0.00796:0.01554|pos:0.9808:0:0.05086
MCD,8,0.013697,0.014769,pos:0.9122:0:0.41769|osc:0.9453:0.5236:0.01815:0.02426|osc:0.9266:2.0944:0.01287:-0.02155|pos:0.9929:0:0.09134|pos:0.9993:0:-0.03785|pos:0.8106:0:-0.16704
MCD,17,0.012477,0.014586,pos:0.9404:0:-0.12477|osc:0.9665:0.5236:0.00030:0.03261|osc:0.9211:2.0944:0.01508:-0.02829|pos:0.9929:0:0.11389|pos:0.9993:0:-0.04580|osc:0.9980:0.5236:0.00214:-0.00745|pos:0.8969:0:0.65276|osc:0.9576:0.2618:0.00635:-0.03732|osc:0.9262:1.0472:-0.00909:-0.01584|osc:0.7810:0.2618:-0.19303:-0.24378|neg:0.9426:0:-0.00501
MSFT,1,0.016647,0.019478,pos:0.9834:0:0.12220
MSFT,2,0.014594,0.018923,pos:0.9881:0:0.08483|pos:0.9071:0:0.08242
MSFT,4,0.013832,0.018629,pos:0.9880:0:0.08510|pos:0.9071:0:0.08412|osc:0.9960:1.0472:0.00596:-0.00821
MSFT,8,0.013823,0.018488,pos:0.9896:0:0.09698|pos:0.9071:0:0.08251|osc:0.9962:1.0472:0.00586:-0.00812|osc:0.9993:2.0944:-0.00303:-0.00098|pos:0.9972:0:-0.01171|neg:0.9939:0:-0.00153
MSFT,17,0.010924,0.018423,pos:0.9896:0:0.08086|pos:0.8910:0:-1.88279|osc:0.9978:1.0472:0.00500:-0.00587|osc:0.9993:2.0944:-0.00426:-0.00002|pos:0.9958:0:-0.00676|osc:0.9980:0.2618:0.00410:-0.00114|osc:0.9251:1.5708:-0.01349:0.01815|osc:0.9708:2.0944:0.00786:-0.00491|osc:0.9311:1.0472:-0.00364:-0.01019|neg:0.9909:0:-0.00208|pos:0.8954:0:1.94315
NEE,1,0.020271,0.024689,pos:0.9713:0:0.24484
NEE,2,0.016499,0.012620,pos:0.9519:0:0.25420|pos:0.9993:0:0.03061
NEE,4,0.016027,0.012625,pos:0.9519:0:0.20729|pos:0.9993:0:0.03161|pos:0.9021:0:0.09488|pos:0.6503:0:-0.08813
NEE,8,0.013950,0.012426,pos:0.9519:0:0.18008|pos:0.9993:0:0.03204|pos:0.9021:0:0.15971|osc:0.8201:0.2618:-0.06122:-0.09271|osc:0.8440:2.0944:0.04888:0.03281|neg:0.9993:0:-0.00170
NEE,17,0.011189,0.012067,pos:0.9519:0:0.16370|pos:0.9993:0:0.03225|pos:0.9021:0:0.21319|osc:0.8201:0.2618:-0.02250:-0.16330|osc:0.7308:2.0944:0.16813:0.07836|osc:0.9182:2.6180:0.03374:-0.03021|osc:0.9902:0.2618:0.00525:0.00370|neg:0.9993:0:-0.00492|neg:0.9845:0:0.01228|osc:0.8737:0.7854:0.05224:-0.01804|osc:0.8230:1.5708:0.01290:-0.01944
NEM,1,0.015917,0.016589,pos:0.9876:0:0.10040
NEM,2,0.015465,0.016103,pos:0.9906:0:0.07685|pos:0.9087:0:0.05801
NEM,4,0.014623,0.015914,pos:0.9906:0:0.07677|pos:0.9087:0:0.05888|osc:0.9934:2.6180:0.00805:0.00327
NEM,8,0.014329,0.014950,pos:0.9859:0:-0.01337|pos:0.9087:0:-0.05108|osc:0.9928:2.6180:0.00852:0.00343|pos:0.9980:0:0.02574|osc:0.8078:0.7854:0.03782:0.01646|pos:0.9682:0:0.14506
NEM,17,0.011741,0.014968,pos:0.9885:0:-0.00432|pos:0.9087:0:-0.04609|osc:0.9925:2.6180:0.00849:0.00395|pos:0.9980:0:0.02515|osc:0.8814:0.7854:0.11850:0.00994|osc:0.9670:0.7854:-0.04230:0.00577|neg:0.1033:0:0.34727|osc:0.9775:1.5708:0.00912:0.00459|osc:0.9916:0.2618:0.00434:-0.00059|pos:0.9665:0:0.13712|osc:0.9789:0.5236:-0.00868:0.00562
NFLX,1,0.019896,0.018788,pos:0.9821:0:0.08886
NFLX,2,0.016325,0.018871,pos:0.9840:0:0.07781|pos:0.1891:0:0.77939
NFLX,4,0.016232,0.018717,pos:0.9840:0:0.07828|pos:0.0819:0:1.65880|osc:0.9893:0.5236:0.00671:0.01137
NFLX,8,0.017520,0.016402,pos:0.9888:0:0.13271|pos:0.2965:0:0.51631|osc:0.9899:0.5236:0.00540:0.01041|osc:0.9993:1.0472:0.00498:-0.00229|pos:0.9993:0:-0.02521|pos:0.9681:0:-0.04879
NFLX,17,0.014248,0.016427,pos:0.9888:0:0.17324|pos:0.3410:0:1.20422|osc:0.9865:0.5236:0.01118:0.01349|osc:0.9993:1.0472:0.00473:-0.00216|pos:0.9993:0:-0.03166|osc:0.9766:0.2618:-0.02201:-0.01952|pos:0.9692:0:-0.12540|osc:0.7415:0.2618:-0.37255:0.46718|osc:0.9930:1.5708:-0.00092:-0.00520|osc:0.9966:2.0944:0.00127:0.00352|neg:0.5868:0:0.02714
NVDA,1,0.017975,0.016392,pos:0.9943:0:0.08654
NVDA,2,0.015612,0.015965,pos:0.9956:0:0.07258|pos:0.8969:0:0.06497
NVDA,4,0.014967,0.015983,pos:0.9957:0:0.07188|pos:0.8969:0:0.07012|osc:0.9638:0.5236:0.02013:-0.00919
NVDA,8,0.013939,0.016062,pos:0.9957:0:0.07170|pos:0.8969:0:0.07918|osc:0.9563:0.5236:0.02189:-0.01713|neg:0.8924:0:0.01712|osc:0.9789:0.2618:0.01139:-0.00906|neg:0.9993:0:-0.00112
NVDA,17,0.013822,0.015860,pos:0.9904:0:0.04941|pos:0.8969:0:0.06858|osc:0.9563:0.5236:0.02276:-0.01658|neg:0.8955:0:0.01658|osc:0.9770:0.2618:0.01292:-0.00857|osc:0.9993:1.0472:0.00285:0.00009|osc:0.9993:2.6180:-0.00135:0.00232|osc:0.9861:1.5708:-0.00463:-0.01346|osc:0.9993:1.5708:0.00016:0.00510|neg:0.9993:0:-0.00116|pos:0.9991:0:0.02864
PG,1,0.016186,0.016363,pos:0.9500:0:0.24457
PG,2,0.016012,0.016028,pos:0.9406:0:0.24636|pos:0.9980:0:0.01069
PG,4,0.015355,0.016025,pos:0.9406:0:0.24710|pos:0.9980:0:0.01066|neg:0.8132:0:-0.03582|pos:0.4940:0:-0.02393
PG,8,0.014859,0.016018,pos:0.9423:0:0.23884|pos:0.9980:0:0.01049|neg:0.8348:0:-0.02703|osc:0.8402:1.5708:-0.03506:0.01530|osc:0.9709:2.0944:0.01117:0.00916|neg:0.9993:0:-0.00071
PG,17,0.013567,0.015337,pos:0.9406:0:0.25002|pos:0.9980:0:0.01053|neg:0.7623:0:-0.04542|osc:0.8559:1.5708:-0.02663:0.01144|osc:0.9671:2.0944:0.01397:0.00937|osc:0.9993:0.5236:0.00355:-0.00066|osc:0.9870:0.7854:0.00517:-0.00849|osc:0.9993:1.0472:-0.00204:-0.00206|osc:0.9455:2.6180:0.01643:-0.01146|osc:0.9837:0.2618:0.00393:-0.00990
SO,1,0.022635,0.015490,pos:0.9582:0:0.40222
SO,2,0.021205,0.015673,pos:0.9560:0:0.42434|pos:0.5174:0:-0.12291
SO,4,0.019657,0.015401,pos:0.9598:0:0.37837|osc:0.8439:0.2618:-0.10140:0.12604|neg:0.5418:0:-0.09564
SO,8,0.016424,0.015684,pos:0.9421:0:0.38531|osc:0.8718:0.2618:-0.08661:0.01835|osc:0.8006:2.0944:0.11692:0.11075|osc:0.9465:2.0944:-0.02449:-0.04094|pos:0.9837:0:0.06192
SO,17,0.013545,0.014474,pos:0.9614:0:0.14295|osc:0.8249:0.2618:-0.19750:-0.23889|osc:0.7619:2.0944:0.08052:0.15991|osc:0.9465:2.0944:-0.01560:-0.04466|osc:0.9993:0.7854:0.00298:0.00052|osc:0.8260:1.5708:-0.02516:-0.06465|pos:0.9940:0:0.09359|pos:0.9993:0:-0.04094|pos:0.8863:0:0.47414|osc:0.9196:0.5236:-0.04007:0.00584|neg:0.9053:0:0.00766
SPY,1,0.021010,0.021994,pos:0.9785:0:0.27840
SPY,2,0.017622,0.020028,pos:0.9849:0:0.18753|pos:0.9055:0:0.16599
SPY,4,0.017284,0.019692,pos:0.9866:0:0.17616|pos:0.9055:0:0.23189|pos:0.9987:0:-0.00512|pos:0.5734:0:-0.16836
SPY,8,0.014989,0.019639,pos:0.9866:0:0.16469|pos:0.9055:0:0.31410|pos:0.9984:0:-0.00291|osc:0.9593:2.6180:-0.00357:0.02784|osc:0.7880:0.2618:0.01306:-0.24526|pos:0.3410:0:-0.35288
SPY,17,0.011679,0.019527,pos:0.9866:0:0.16233|pos:0.9055:0:0.33585|pos:0.9984:0:-0.00246|osc:0.9681:2.6180:0.00051:0.02169|osc:0.7880:0.2618:-0.00723:-0.37902|osc:0.7775:1.0472:-0.11801:-0.01927|osc:0.9415:0.5236:-0.03634:-0.01556|osc:0.9652:1.5708:-0.02503:0.01382|osc:0.9940:0.2618:0.00264:0.00369|osc:0.7898:1.5708:0.08608:-0.00539
UNH,1,0.017865,0.016189,pos:0.9697:0:0.19455
UNH,2,0.017490,0.015832,pos:0.9620:0:0.19563|pos:0.9987:0:0.01137
UNH,4,0.014288,0.015636,pos:0.9620:0:0.19619|pos:0.9987:0:0.01133|osc:0.9781:2.6180:0.01857:0.02256
UNH,8,0.013020,0.015603,pos:0.9635:0:0.18959|pos:0.9989:0:0.01060|osc:0.9771:2.6180:0.01797:0.02857|osc:0.5369:2.0944:-0.23539:-0.06643|osc:0.9735:0.5236:-0.01477:-0.00457
UNH,17,0.011327,0.015451,pos:0.9620:0:0.19284|pos:0.9984:0:0.01195|osc:0.9869:2.6180:0.02414:0.03580|osc:0.5568:2.0944:-0.26673:-0.04758|osc:0.9545:0.5236:-0.03121:-0.00305|osc:0.9749:0.2618:-0.01207:-0.01699|osc:0.9371:1.0472:-0.02076:0.01618|osc:0.9981:0.7854:-0.00301:-0.00219|osc:0.9980:2.6180:-0.00838:-0.00810|neg:0.9862:0:-0.00349
VZ,1,0.019607,0.015897,pos:0.9718:0:0.08700
VZ,2,0.017150,0.016038,pos:0.9796:0:0.06330|pos:0.6451:0:0.13363
VZ,4,0.017165,0.015772,pos:0.9739:0:0.05648|pos:0.3026:0:0.08098|pos:0.9993:0:0.00574|pos:0.7955:0:0.07497
