ticker,m,near_mae,far_mae,components
AAPL,1,0.021515,0.019391,pos:0.9871:0:0.12080
AAPL,2,0.019700,0.019228,pos:0.9879:0:0.11436|neg:0.1568:0:-0.70503
AAPL,4,0.015572,0.018835,pos:0.9920:0:0.08605|neg:0.3814:0:-0.18429|pos:0.9273:0:0.08803|pos:0.9987:0:-0.00612
AAPL,8,0.012776,0.018835,pos:0.9920:0:0.08692|neg:0.0721:0:-1.99169|pos:0.9240:0:0.08742|osc:0.8874:0.5236:-0.05472:-0.03085|pos:0.9987:0:-0.00639|osc:0.9458:1.0472:-0.02093:-0.01844
AAPL,17,0.012157,0.018493,pos:0.9920:0:0.08679|neg:0.2061:0:-0.59510|pos:0.9240:0:0.08868|osc:0.8874:0.5236:-0.05389:-0.02388|pos:0.9987:0:-0.00637|osc:0.9737:1.0472:-0.01934:-0.01245|osc:0.9802:1.5708:-0.00530:0.00967|osc:0.9964:2.0944:0.00242:0.00205|osc:0.9993:0.7854:0.00090:0.00257|osc:0.9993:1.0472:0.00390:0.00105|neg:0.9701:0:0.00424
AMZN,1,0.020465,0.020341,pos:0.9837:0:0.13050
AMZN,2,0.018318,0.020404,pos:0.9844:0:0.12454|neg:0.2126:0:-0.49568
AMZN,4,0.017677,0.020432,pos:0.9844:0:0.12418|neg:0.1479:0:-0.78588|osc:0.9859:1.0472:-0.00788:-0.00728
AMZN,8,0.017110,0.020315,pos:0.9844:0:0.12443|neg:0.3510:0:-0.27756|osc:0.9860:1.0472:-0.00826:-0.00661|osc:0.9464:1.5708:-0.01572:0.01645|osc:0.9993:0.7854:0.00054:0.00383
AMZN,17,0.015093,0.019065,pos:0.9898:0:0.15689|neg:0.4283:0:-0.19320|osc:0.9869:1.0472:-0.00727:-0.00637|osc:0.9461:1.5708:-0.01427:0.01741|osc:0.9993:0.7854:0.00064:0.00393|osc:0.9723:0.2618:-0.00637:0.01117|osc:0.9993:2.0944:-0.00322:0.00047|osc:0.9923:0.5236:-0.00340:0.00435|pos:0.9624:0:-0.04983|pos:0.9993:0:-0.02681|pos:0.8642:0:0.07021
APD,1,0.022960,0.016742,pos:0.9848:0:0.12229
APD,2,0.017138,0.015056,pos:0.9905:0:0.07828|pos:0.8547:0:0.15813
APD,4,0.014846,0.014723,pos:0.9905:0:0.02846|pos:0.6516:0:0.03433|pos:0.9980:0:0.01961|pos:0.9372:0:0.13727
APD,8,0.014210,0.014731,pos:0.9905:0:0.03104|pos:0.6516:0:0.08600|pos:0.9980:0:0.01891|osc:0.9708:0.2618:-0.01079:-0.02322|osc:0.8569:2.0944:0.03430:-0.02169|pos:0.9306:0:0.14564
APD,17,0.012513,0.014575,pos:0.9905:0:0.03170|pos:0.7909:0:-0.01775|pos:0.9980:0:0.01877|osc:0.9728:0.2618:-0.00645:-0.01976|osc:0.7943:2.0944:0.05742:-0.01452|pos:0.9239:0:0.17108|osc:0.7587:1.5708:-0.06273:0.06439|osc:0.9985:2.6180:-0.00271:-0.00157|osc:0.9060:2.6180:-0.00417:0.01771|osc:0.9640:1.0472:-0.01097:0.00006|neg:0.9993:0:0.00106
BA,1,0.034674,0.019060,pos:0.9876:0:0.26346
BA,2,0.023393,0.015291,pos:0.9915:0:0.18395|pos:0.8876:0:0.24888
BA,4,0.023377,0.014254,pos:0.9857:0:0.16856|pos:0.8655:0:0.31663|pos:0.9985:0:0.03905|pos:0.6399:0:-0.19620
BA,8,0.018792,0.014293,pos:0.9855:0:0.18264|pos:0.7689:0:0.50182|pos:0.9991:0:0.03394|osc:0.8478:0.2618:-0.29878:0.04031|osc:0.9826:2.0944:0.01512:-0.00307|neg:0.4565:0:-0.07938
BA,17,0.016995,0.014294,pos:0.9855:0:0.18185|pos:0.7786:0:0.47659|pos:0.9991:0:0.03434|osc:0.8478:0.2618:-0.27212:0.04145|osc:0.9791:2.0944:0.01913:-0.00172|osc:0.8806:1.5708:-0.00472:0.04470|osc:0.9801:0.7854:0.00714:-0.01023|neg:0.9499:0:-0.00924|osc:0.9174:1.0472:-0.00941:-0.02274|osc:0.9832:0.5236:0.01067:0.00118|neg:0.9986:0:0.00071
BAC,1,0.017501,0.017626,pos:0.9697:0:0.20822
BAC,2,0.017298,0.016813,pos:0.9628:0:0.20946|pos:0.9980:0:0.01126
BAC,4,0.016572,0.016849,pos:0.9633:0:0.20694|pos:0.9980:0:0.01110|neg:0.5278:0:-0.04502|neg:0.9921:0:-0.00294
BAC,8,0.015742,0.016306,pos:0.9628:0:0.20962|pos:0.9980:0:0.01129|neg:0.6013:0:-0.03089|osc:0.9975:1.0472:0.00614:0.00213|osc:0.9993:0.2618:0.00011:-0.00409|neg:0.9923:0:-0.00290
BAC,17,0.013426,0.016259,pos:0.9519:0:0.33215|pos:0.9980:0:0.01300|neg:0.4535:0:-0.22035|osc:0.9990:1.0472:0.00478:0.00183|osc:0.9993:0.2618:0.00091:-0.00392|osc:0.8372:1.5708:-0.04674:-0.06254|osc:0.9448:2.0944:-0.02540:-0.01090|neg:0.9931:0:-0.00265|osc:0.9262:0.2618:-0.01355:0.01063|osc:0.9008:2.6180:-0.01833:-0.01802|pos:0.9056:0:-0.16261
CAT,1,0.013287,0.015551,pos:0.9733:0:0.13539
CAT,2,0.012861,0.015557,pos:0.9738:0:0.13312|neg:0.4163:0:-0.05694
CAT,4,0.012021,0.015555,pos:0.9744:0:0.13081|neg:0.3390:0:-0.10416|osc:0.9416:1.0472:-0.01999:0.00023
CAT,8,0.011548,0.015609,pos:0.9738:0:0.13264|neg:0.2442:0:-0.18777|osc:0.9305:1.0472:-0.02517:0.00099|osc:0.9825:0.2618:-0.00495:-0.00775|osc:0.9869:0.5236:-0.00730:0.00265
CAT,17,0.010855,0.015533,pos:0.9702:0:0.12778|neg:0.3628:0:-0.11804|osc:0.9319:1.0472:-0.02476:0.00033|osc:0.9795:0.2618:-0.00495:-0.00959|osc:0.9874:0.5236:-0.00708:0.00232|neg:0.9980:0:-0.00245|neg:0.9584:0:0.00790|osc:0.9902:1.5708:-0.00502:0.00054|osc:0.9993:2.0944:0.00208:0.00059|osc:0.9843:2.6180:-0.00540:0.00147|pos:0.9914:0:0.00927
COP,1,0.020931,0.019164,pos:0.9804:0:0.20911
COP,2,0.018644,0.017466,pos:0.9872:0:0.13277|pos:0.9087:0:0.14443
COP,4,0.015115,0.017798,pos:0.9697:0:0.20375|osc:0.9501:0.2618:-0.01322:0.03553|pos:0.9980:0:0.02484
COP,8,0.014156,0.017110,pos:0.9878:0:0.07881|osc:0.9663:0.2618:0.00333:0.02815|pos:0.9980:0:0.01178|osc:0.8809:0.7854:0.04383:0.06290|pos:0.9460:0:0.18615|pos:0.6020:0:-0.20988
