lag,observed,obs_ci_lo,obs_ci_hi,sim_median,sim_lo,sim_hi,theoretical
1,0.303998,0.200770,0.350872,0.284032,0.233681,0.332696,0.287368
2,0.265806,0.153212,0.310705,0.268734,0.216655,0.315041,0.273164
3,0.321851,0.199140,0.325992,0.255367,0.202459,0.303404,0.259732
4,0.285502,0.144010,0.299843,0.241393,0.191030,0.293432,0.247021
5,0.266323,0.121575,0.262773,0.231301,0.181486,0.280088,0.234983
6,0.244566,0.106235,0.223104,0.220091,0.167515,0.265600,0.223578
7,0.243670,0.078519,0.235247,0.206317,0.155277,0.260291,0.212766
8,0.280725,0.089906,0.243799,0.197416,0.139830,0.247845,0.202510
9,0.263745,0.074077,0.202523,0.187263,0.130776,0.237218,0.192779
10,0.273519,0.048862,0.209535,0.179750,0.122403,0.227537,0.183541
11,0.202368,0.034585,0.150403,0.169842,0.113249,0.219687,0.174767
12,0.206449,0.019632,0.142122,0.161184,0.105493,0.215091,0.166433
13,0.223959,0.012815,0.135076,0.152836,0.096066,0.205756,0.158513
14,0.199772,0.003678,0.120306,0.146748,0.084804,0.200989,0.150984
15,0.207387,-0.000486,0.107523,0.136616,0.079703,0.195467,0.143825
16,0.152530,-0.025274,0.089673,0.131599,0.074638,0.183904,0.137016
17,0.239427,-0.023527,0.094886,0.124196,0.066626,0.179873,0.130539
18,0.219198,-0.030307,0.076714,0.118922,0.056376,0.173635,0.124377
19,0.157480,-0.047211,0.064811,0.111600,0.052602,0.169156,0.118512
20,0.198966,-0.050375,0.057951,0.108180,0.047731,0.163753,0.112931
21,0.154470,NaN,NaN,0.101765,0.043664,0.156016,0.107617
22,0.160138,NaN,NaN,0.096245,0.039174,0.153394,0.102558
23,0.180012,NaN,NaN,0.091981,0.032769,0.146954,0.097741
24,0.125883,NaN,NaN,0.085890,0.029646,0.145551,0.093153
25,0.143893,NaN,NaN,0.082097,0.025030,0.141830,0.088784
26,0.147086,NaN,NaN,0.077448,0.019779,0.136018,0.084622
27,0.126017,NaN,NaN,0.074568,0.018488,0.132306,0.080658
28,0.115055,NaN,NaN,0.069825,0.012274,0.128343,0.076881
29,0.160841,NaN,NaN,0.065320,0.007297,0.123277,0.073283
30,0.134633,NaN,NaN,0.062131,0.006518,0.123584,0.069855
31,0.120132,NaN,NaN,0.059805,0.002959,0.121171,0.066588
32,0.107857,NaN,NaN,0.056997,0.004076,0.118110,0.063475
33,0.120563,NaN,NaN,0.053506,-0.000256,0.115100,0.060509
34,0.100518,NaN,NaN,0.049320,-0.002284,0.109066,0.057682
35,0.110022,NaN,NaN,0.047730,-0.005939,0.107569,0.054987
36,0.115586,NaN,NaN,0.044940,-0.008996,0.103101,0.052420
37,0.104549,NaN,NaN,0.042492,-0.008891,0.100001,0.049972
38,0.119187,NaN,NaN,0.039654,-0.013005,0.095547,0.047640
39,0.127204,NaN,NaN,0.037446,-0.013937,0.096195,0.045417
40,0.090957,NaN,NaN,0.037428,-0.014739,0.093559,0.043297
41,0.102924,NaN,NaN,0.032324,-0.019185,0.087184,0.041277
42,0.103971,NaN,NaN,0.032609,-0.021356,0.087489,0.039352
43,0.099034,NaN,NaN,0.029791,-0.022496,0.084985,0.037516
44,0.062385,NaN,NaN,0.028148,-0.020411,0.087318,0.035767
45,0.085119,NaN,NaN,0.025048,-0.024006,0.082129,0.034099
46,0.121860,NaN,NaN,0.023470,-0.024887,0.079713,0.032509
