idx,R_oos,var_05,var_01,breach_05,breach_01
1,-0.72202,-2.08442,-3.58295,0,0
2,-0.25613,-1.96233,-3.33252,0,0
3,2.08620,-1.83187,-3.12004,0,0
4,0.83566,-2.23351,-3.84560,0,0
5,1.13902,-2.03927,-3.44772,0,0
6,-0.19423,-1.99716,-3.36380,0,0
7,0.67353,-1.86052,-3.14503,0,0
8,-0.88665,-1.78542,-3.05882,0,0
9,-1.67196,-1.79682,-3.11661,0,0
10,1.58290,-2.09312,-3.64838,0,0
11,2.75618,-2.14231,-3.66859,0,0
12,1.94133,-2.85845,-4.76570,0,0
13,0.19775,-2.74396,-4.50478,0,0
14,1.34253,-2.40102,-3.86391,0,0
15,0.15458,-2.34127,-3.75214,0,0
16,0.38587,-2.16100,-3.46575,0,0
17,0.80217,-2.02696,-3.28426,0,0
18,0.83459,-1.95372,-3.20969,0,0
19,-2.56594,-1.89207,-3.15075,1,0
20,0.35522,-2.73809,-4.57420,0,0
21,3.30737,-2.29793,-3.80192,0,0
22,-0.02392,-3.29366,-5.31712,0,0
23,0.03645,-2.71225,-4.35085,0,0
24,2.12049,-2.42538,-3.83625,0,0
25,0.43829,-2.59728,-4.12083,0,0
26,1.14154,-2.37317,-3.73898,0,0
27,0.61067,-2.29630,-3.63312,0,0
28,-3.67182,-2.15862,-3.43704,1,1
29,1.23869,-3.64661,-5.75981,0,0
30,2.04348,-3.05796,-4.85039,0,0
31,0.08010,-2.98250,-4.66385,0,0
32,-2.26491,-2.67725,-4.13570,0,0
33,-0.31100,-2.89588,-4.49257,0,0
34,5.03342,-2.64173,-4.06761,0,0
35,1.29510,-4.52623,-6.95992,0,0
36,-0.67442,-3.77817,-5.79700,0,0
37,-0.42198,-3.35402,-5.06516,0,0
38,-0.09739,-3.06730,-4.60281,0,0
39,0.94813,-2.83213,-4.25148,0,0
40,1.63076,-2.68011,-4.04263,0,0
41,0.72773,-2.66452,-4.04873,0,0
42,-2.35120,-2.49896,-3.81384,0,0
43,0.96886,-2.80466,-4.33636,0,0
44,2.13767,-2.60811,-4.01249,0,0
45,-0.11219,-2.73478,-4.22878,0,0
46,-1.65628,-2.50559,-3.86295,0,0
47,2.16885,-2.57215,-3.99208,0,0
48,0.60594,-2.71711,-4.23241,0,0
49,-0.87341,-2.49863,-3.87344,0,0
50,-2.23430,-2.39167,-3.72314,0,0
51,1.63510,-2.69294,-4.23889,0,0
52,0.33455,-2.63226,-4.11568,0,0
53,1.91559,-2.41406,-3.76205,0,0
54,2.37698,-2.52318,-3.96042,0,0
55,-0.50656,-2.76041,-4.34551,0,0
56,-0.70162,-2.52318,-3.93486,0,0
57,-0.19991,-2.38175,-3.72038,0,0
58,0.54586,-2.22254,-3.49512,0,0
59,1.15526,-2.09789,-3.33767,0,0
60,-0.41655,-2.07720,-3.34873,0,0
61,-1.95076,-1.96559,-3.20301,0,0
62,0.53610,-2.31521,-3.83587,0,0
63,-0.86056,-2.09939,-3.43914,0,0
64,-0.11102,-2.03853,-3.35026,0,0
65,0.61329,-1.90229,-3.15266,0,0
66,-0.58228,-1.81766,-3.05996,0,0
67,-1.72745,-1.76549,-3.02200,0,0
68,1.11597,-2.10218,-3.64532,0,0
69,-2.02230,-2.00219,-3.41721,1,0
70,-1.97534,-2.39873,-4.07200,0,0
71,-2.06946,-2.58694,-4.30202,0,0
72,-1.01481,-2.74172,-4.47464,0,0
73,-0.71485,-2.52349,-4.04129,0,0
74,-1.95440,-2.35672,-3.74718,0,0
75,1.00024,-2.56059,-4.09107,0,0
76,2.81076,-2.39730,-3.79944,0,0
77,0.44424,-2.89617,-4.62875,0,0
78,-1.84558,-2.57237,-4.04282,0,0
79,3.18885,-2.67091,-4.19579,0,0
80,0.76544,-3.24435,-5.11093,0,0
81,-1.87324,-2.87859,-4.45499,0,0
82,-1.60871,-2.90751,-4.48399,0,0
83,0.38801,-2.86198,-4.39701,0,0
84,3.58934,-2.63121,-4.03099,0,0
85,2.00615,-3.41582,-5.31960,0,0
86,1.39711,-3.24631,-4.98466,0,0
87,-0.28050,-3.03564,-4.61617,0,0
88,1.06406,-2.79112,-4.23069,0,0
89,0.86020,-2.65245,-4.03423,0,0
90,0.09210,-2.50773,-3.83472,0,0
91,0.59212,-2.33638,-3.60050,0,0
92,2.76412,-2.20695,-3.43990,0,0
93,0.84835,-2.75230,-4.38061,0,0
94,-0.47178,-2.49348,-3.91979,0,0
95,0.68110,-2.31507,-3.63503,0,0
96,0.08063,-2.18310,-3.45173,0,0
97,-0.31655,-2.04108,-3.26538,0,0
98,-0.83957,-1.93465,-3.14541,0,0
99,0.42483,-1.91441,-3.16410,0,0
100,0.19360,-1.80569,-3.02753,0,0
101,-1.29268,-1.70372,-2.91595,0,0
102,-1.40250,-1.86162,-3.24287,0,0
103,0.07611,-2.00272,-3.47347,0,0
104,1.33701,-1.81806,-3.12748,0,0
105,0.23948,-1.88920,-3.26920,0,0
106,2.58673,-1.74980,-3.03478,0,0
107,0.84363,-2.63820,-4.50497,0,0
108,0.04484,-2.22540,-3.79276,0,0
109,0.09645,-1.99142,-3.34396,0,0
110,0.25420,-1.84948,-3.12290,0,0
111,3.04685,-1.74215,-2.99091,0,0
112,0.11450,-3.11236,-5.08423,0,0
113,-0.08780,-2.41685,-4.08115,0,0
114,1.70188,-2.12183,-3.51963,0,0
115,1.05594,-2.22754,-3.68881,0,0
116,-0.08117,-2.12579,-3.49483,0,0
117,-1.38814,-1.97122,-3.25127,0,0
118,-0.10706,-2.08600,-3.47691,0,0
119,-0.17062,-1.92642,-3.21121,0,0
120,0.38807,-1.81258,-3.06149,0,0
121,0.47009,-1.71883,-2.95887,0,0
122,0.05166,-1.64320,-2.89059,0,0
123,-0.51708,-1.55752,-2.80762,0,0
124,0.95292,-1.53396,-2.82764,0,0
125,1.58084,-1.56162,-2.91405,0,0
126,1.49238,-1.82323,-3.38802,0,0
127,0.72827,-1.92461,-3.49216,0,0
128,0.42351,-1.77705,-3.16982,0,0
129,1.49540,-1.66440,-2.97756,0,0
130,-0.58070,-1.84147,-3.31593,0,0
131,1.03081,-1.74201,-3.10650,0,0
132,0.67271,-1.73965,-3.10745,0,0
133,0.77332,-1.66621,-2.99015,0,0
134,-2.27370,-1.62940,-2.95563,1,0
135,-1.95795,-2.59035,-4.48456,0,0
136,-1.78771,-2.68631,-4.57668,0,0
137,1.46456,-2.64230,-4.43096,0,0
138,0.56143,-2.46968,-4.05598,0,0
139,-4.63901,-2.24295,-3.63312,1,1
140,-1.45338,-4.46630,-6.86951,0,0
141,1.07708,-3.67002,-5.75981,0,0
142,0.61128,-3.20530,-4.94194,0,0
143,-1.24122,-2.90482,-4.42905,0,0
144,3.35304,-2.79679,-4.26273,0,0
145,-2.19046,-3.36022,-5.18036,0,0
146,-5.95081,-3.34058,-5.09968,1,1
147,-6.75082,-5.45120,-8.27732,1,0
148,2.64503,-6.77195,-10.18982,0,0
149,-0.03773,-5.83258,-8.69064,0,0
150,2.04170,-5.11694,-7.49893,0,0
151,1.84015,-4.78163,-6.96163,0,0
152,0.71231,-4.49314,-6.52084,0,0
153,2.76780,-4.14095,-5.99594,0,0
154,1.83345,-4.13504,-6.00452,0,0
155,3.74361,-3.93925,-5.72052,0,0
156,1.03931,-4.24757,-6.20995,0,0
157,1.72190,-3.91741,-5.70602,0,0
158,0.75795,-3.73247,-5.43880,0,0
159,0.54216,-3.46413,-5.04913,0,0
160,-0.95933,-3.21743,-4.69894,0,0
161,1.23613,-3.05166,-4.47636,0,0
162,0.19451,-2.91600,-4.30088,0,0
163,-0.09108,-2.71137,-4.02069,0,0
164,-1.14792,-2.53181,-3.78437,0,0
165,0.77651,-2.48437,-3.75481,0,0
166,0.62258,-2.35264,-3.58887,0,0
167,-2.87188,-2.22259,-3.42960,1,0
168,-1.66991,-2.92478,-4.61979,0,0
169,-0.76239,-2.82602,-4.41742,0,0
170,-3.26261,-2.60072,-4.02889,1,0
171,1.10484,-3.34477,-5.23739,0,0
172,0.93317,-2.98886,-4.60587,0,0
173,0.68620,-2.76175,-4.22535,0,0
174,3.77239,-2.57273,-3.93906,0,0
175,2.06485,-3.50971,-5.47256,0,0
176,0.13850,-3.31187,-5.09281,0,0
177,0.73487,-2.96552,-4.50439,0,0
178,0.01990,-2.75259,-4.17461,0,0
179,2.71822,-2.55222,-3.88508,0,0
180,-0.84696,-2.91314,-4.49581,0,0
181,0.70952,-2.70634,-4.14982,0,0
182,0.41007,-2.52316,-3.87249,0,0
183,0.06765,-2.35348,-3.63483,0,0
184,0.72204,-2.19920,-3.43227,0,0
185,0.07911,-2.09818,-3.31974,0,0
186,-0.07109,-1.96862,-3.16286,0,0
187,-1.40359,-1.85680,-3.04108,0,0
188,-0.18900,-2.00896,-3.35293,0,0
189,-0.47536,-1.86117,-3.11413,0,0
190,1.62480,-1.78270,-3.02505,0,0
191,-0.77756,-1.97077,-3.38974,0,0
192,1.07499,-1.89133,-3.23296,0,0
193,1.81208,-1.86923,-3.20282,0,0
194,0.05933,-2.10857,-3.62549,0,0
195,1.27773,-1.90196,-3.23219,0,0
196,1.83754,-1.93484,-3.30162,0,0
197,-0.72521,-2.16012,-3.68767,0,0
198,-0.13130,-2.02119,-3.40347,0,0
199,0.95286,-1.87495,-3.16334,0,0
200,0.37355,-1.84326,-3.14484,0,0
201,-0.53883,-1.73590,-2.99911,0,0
202,-0.11682,-1.68791,-2.96631,0,0
203,-1.81128,-1.59822,-2.86255,1,0
204,0.18984,-2.10524,-3.79028,0,0
205,0.72646,-1.81944,-3.22495,0,0
206,0.28506,-1.73051,-3.06053,0,0
207,-0.01522,-1.62647,-2.91119,0,0
208,-0.12922,-1.54161,-2.82040,0,0
209,-4.12569,-1.47398,-2.76585,1,1
210,0.36137,-3.98197,-6.17599,0,0
211,-0.89309,-2.98805,-4.91219,0,0
212,1.88252,-2.61710,-4.22707,0,0
213,6.05526,-2.63462,-4.20494,0,0
214,2.58239,-5.32684,-8.08907,0,0
215,1.27778,-4.56896,-7.01370,0,0
216,0.42258,-3.97139,-5.98831,0,0
217,-0.61125,-3.56765,-5.31349,0,0
218,0.07273,-3.29642,-4.89254,0,0
219,-1.10968,-3.04408,-4.51984,0,0
220,-3.11379,-2.91557,-4.34742,1,0
221,0.09993,-3.38225,-5.10941,0,0
222,0.42880,-3.05808,-4.58412,0,0
223,-0.13059,-2.82443,-4.23470,0,0
224,1.68812,-2.62542,-3.95412,0,0
225,1.10091,-2.63412,-4.00286,0,0
226,1.18682,-2.51780,-3.84541,0,0
227,0.88791,-2.43490,-3.74508,0,0
228,-0.34694,-2.31712,-3.59097,0,0
229,1.13300,-2.17929,-3.41148,0,0
230,0.68524,-2.14128,-3.39546,0,0
231,0.05650,-2.03328,-3.26071,0,0
232,1.19648,-1.90685,-3.10516,0,0
233,0.36282,-1.92893,-3.19500,0,0
234,0.18617,-1.80948,-3.03345,0,0
235,-0.84427,-1.70605,-2.91805,0,0
236,-0.79084,-1.72553,-3.00808,0,0
237,1.39448,-1.71866,-3.02563,0,0
238,-0.61733,-1.83458,-3.24574,0,0
239,-0.50075,-1.75128,-3.08495,0,0
240,0.94515,-1.68130,-2.98347,0,0
241,-0.97183,-1.67749,-3.00751,0,0
242,-3.77619,-1.72708,-3.11012,1,1
243,-3.04467,-3.87440,-6.02379,0,0
244,0.27663,-3.91607,-6.17752,0,0
245,1.65103,-3.12200,-4.96140,0,0
246,2.73181,-2.92630,-4.57039,0,0
247,0.78750,-3.17001,-4.92935,0,0
248,-2.71887,-2.87509,-4.41189,0,0
249,-2.46250,-3.20883,-4.94499,0,0
250,-0.92034,-3.33138,-5.10235,0,0
251,1.52336,-3.06954,-4.65317,0,0
252,2.49144,-2.95186,-4.46815,0,0
253,-2.23102,-3.10802,-4.72374,0,0
254,-1.07779,-3.19409,-4.85039,0,0
255,-2.74795,-2.99878,-4.53053,0,0
256,-1.23522,-3.29814,-5.01270,0,0
257,1.19308,-3.10082,-4.68006,0,0
258,4.09394,-2.92521,-4.40826,0,0
259,0.44551,-3.81298,-5.84030,0,0
260,2.14563,-3.35383,-5.05619,0,0
261,1.64739,-3.30820,-4.97131,0,0
262,2.09759,-3.17154,-4.75311,0,0
263,0.64265,-3.16639,-4.75216,0,0
264,0.20110,-2.92850,-4.38862,0,0
265,-4.10545,-2.71387,-4.07925,1,1
266,1.69831,-3.84727,-5.91278,0,0
267,-0.26986,-3.48914,-5.29022,0,0
268,0.82603,-3.14584,-4.72221,0,0
269,0.19475,-2.92439,-4.38442,0,0
270,-3.23490,-2.70886,-4.07286,1,0
271,1.59751,-3.32437,-5.08614,0,0
272,0.73670,-3.12240,-4.73194,0,0
273,1.23366,-2.87609,-4.33979,0,0
274,-1.01182,-2.74720,-4.15573,0,0
275,0.56064,-2.63443,-4.00276,0,0
276,0.13371,-2.46294,-3.76282,0,0
277,-1.08861,-2.29812,-3.54290,0,0
