idx,R_oos,var_05,var_01,breach_05,breach_01
45,-0.11219,-2.89130,-4.40826,0,0
46,-1.65628,-2.64401,-4.06475,0,0
47,2.16885,-2.74475,-4.19884,0,0
48,0.60594,-2.86565,-4.38671,0,0
49,-0.87341,-2.64297,-4.06485,0,0
50,-2.23430,-2.52733,-3.90835,0,0
51,1.63510,-2.82140,-4.34322,0,0
52,0.33455,-2.77472,-4.26311,0,0
53,1.91559,-2.53687,-3.92532,0,0
54,2.37698,-2.67732,-4.12083,0,0
55,-0.50656,-2.86160,-4.41780,0,0
56,-0.70162,-2.63963,-4.07372,0,0
57,-0.19991,-2.48289,-3.85609,0,0
58,0.54586,-2.25942,-3.57008,0,0
59,1.15526,-2.07648,-3.33958,0,0
60,-0.41655,-2.11339,-3.37315,0,0
61,-1.95076,-1.96435,-3.17917,0,0
62,0.53610,-2.42538,-3.81908,0,0
63,-0.86056,-2.23560,-3.52459,0,0
64,-0.11102,-2.17676,-3.44191,0,0
65,0.61329,-1.98805,-3.18775,0,0
66,-0.58228,-1.86255,-3.02334,0,0
67,-1.72745,-1.79801,-2.93655,0,0
68,1.11597,-2.19500,-3.53279,0,0
69,-2.02230,-2.13628,-3.41892,0,0
70,-1.97534,-2.41904,-3.92685,0,0
71,-2.06946,-2.57392,-4.16889,0,0
72,-1.01481,-2.71735,-4.37298,0,0
73,-0.71485,-2.55680,-4.03519,0,0
74,-1.95440,-2.39849,-3.76778,0,0
75,1.00024,-2.61278,-4.10252,0,0
76,2.81076,-2.46639,-3.85475,0,0
77,0.44424,-2.86932,-4.54807,0,0
78,-1.84558,-2.58386,-4.04320,0,0
79,3.18885,-2.72481,-4.23660,0,0
80,0.76544,-3.17664,-5.01366,0,0
81,-1.87324,-2.86341,-4.44851,0,0
82,-1.60871,-2.94766,-4.53625,0,0
83,0.38801,-2.92256,-4.47922,0,0
84,3.58934,-2.66747,-4.11377,0,0
85,2.00615,-3.34544,-5.21011,0,0
86,1.39711,-3.25079,-4.99535,0,0
87,-0.28050,-3.07751,-4.69627,0,0
88,1.06406,-2.79753,-4.30431,0,0
89,0.86020,-2.66118,-4.11673,0,0
90,0.09210,-2.49009,-3.89729,0,0
91,0.59212,-2.22130,-3.57304,0,0
92,2.76412,-2.04871,-3.35369,0,0
93,0.84835,-2.81162,-4.34685,0,0
94,-0.47178,-2.61459,-4.03805,0,0
95,0.68110,-2.41919,-3.76987,0,0
96,0.08063,-2.24619,-3.54671,0,0
97,-0.31655,-2.02198,-3.26691,0,0
98,-0.83957,-1.86801,-3.06778,0,0
99,0.42483,-1.90611,-3.10125,0,0
100,0.19360,-1.75843,-2.90508,0,0
101,-1.29268,-1.62141,-2.71568,0,0
102,-1.40250,-1.93615,-3.12691,0,0
103,0.07611,-2.13199,-3.41644,0,0
104,1.33701,-1.94488,-3.12977,0,0
105,0.23948,-2.03547,-3.27091,0,0
106,2.58673,-1.86291,-3.01638,0,0
107,0.84363,-2.46959,-4.13589,0,0
108,0.04484,-2.25506,-3.64952,0,0
109,0.09645,-2.03876,-3.27950,0,0
110,0.25420,-1.84467,-3.00446,0,0
111,3.04685,-1.67625,-2.77882,0,0
112,0.11450,-2.74725,-4.70734,0,0
113,-0.08780,-2.34022,-3.83625,0,0
114,1.70188,-2.08368,-3.36781,0,0
115,1.05594,-2.28450,-3.65086,0,0
116,-0.08117,-2.20387,-3.50628,0,0
117,-1.38814,-2.01159,-3.22552,0,0
118,-0.10706,-2.18172,-3.48492,0,0
119,-0.17062,-1.99766,-3.20549,0,0
120,0.38807,-1.82605,-2.97337,0,0
121,0.47009,-1.67172,-2.77023,0,0
122,0.05166,-1.55694,-2.61650,0,0
123,-0.51708,-1.42686,-2.43740,0,0
124,0.95292,-1.43633,-2.44379,0,0
125,1.58084,-1.54357,-2.58865,0,0
126,1.49238,-1.88918,-3.14674,0,0
127,0.72827,-1.99242,-3.31936,0,0
128,0.42351,-1.88000,-3.08666,0,0
129,1.49540,-1.74105,-2.86369,0,0
130,-0.58070,-1.93305,-3.20225,0,0
131,1.03081,-1.84412,-3.03097,0,0
132,0.67271,-1.84479,-3.03516,0,0
133,0.77332,-1.75555,-2.89154,0,0
134,-2.27370,-1.70741,-2.82383,1,0
135,-1.95795,-2.33192,-4.13857,0,0
136,-1.78771,-2.50773,-4.34952,0,0
137,1.46456,-2.55270,-4.29688,0,0
138,0.56143,-2.45299,-3.99246,0,0
139,-4.63901,-2.23293,-3.57113,1,1
140,-1.45338,-4.54569,-7.08904,0,0
141,1.07708,-3.76573,-6.09913,0,0
142,0.61128,-3.22523,-5.13973,0,0
143,-1.24122,-2.83618,-4.45023,0,0
144,3.35304,-2.79422,-4.32072,0,0
145,-2.19046,-3.32341,-5.15976,0,0
146,-5.95081,-3.33266,-5.12009,1,1
147,-6.75082,-5.32432,-8.15582,1,0
148,2.64503,-6.62098,-9.93538,0,0
149,-0.03773,-5.78442,-8.72345,0,0
150,2.04170,-4.97904,-7.48177,0,0
151,1.84015,-4.69875,-6.99120,0,0
152,0.71231,-4.45499,-6.61125,0,0
153,2.76780,-4.01540,-6.06365,0,0
154,1.83345,-4.25835,-6.26564,0,0
155,3.74361,-4.09613,-6.04210,0,0
156,1.03931,-4.40273,-6.45103,0,0
157,1.72190,-4.07877,-6.02455,0,0
158,0.75795,-3.91779,-5.80406,0,0
159,0.54216,-3.58367,-5.40123,0,0
160,-0.95933,-3.23057,-4.99001,0,0
161,1.23613,-3.05514,-4.75941,0,0
162,0.19451,-2.94185,-4.59347,0,0
163,-0.09108,-2.65055,-4.24004,0,0
164,-1.14792,-2.43032,-3.94802,0,0
165,0.77651,-2.49367,-3.97720,0,0
166,0.62258,-2.36335,-3.79267,0,0
167,-2.87188,-2.23274,-3.60365,1,0
168,-1.66991,-3.06013,-4.62589,0,0
169,-0.76239,-3.03392,-4.58584,0,0
170,-3.26261,-2.84081,-4.32014,1,0
171,1.10484,-3.37219,-5.13783,0,0
172,0.93317,-3.12500,-4.74453,0,0
173,0.68620,-2.90751,-4.43516,0,0
174,3.77239,-2.68331,-4.14124,0,0
175,2.06485,-3.46494,-5.30605,0,0
176,0.13850,-3.37024,-5.12009,0,0
177,0.73487,-3.05047,-4.64611,0,0
178,0.01990,-2.80976,-4.32281,0,0
179,2.71822,-2.54133,-3.98445,0,0
180,-0.84696,-3.04296,-4.62074,0,0
181,0.70952,-2.85749,-4.35543,0,0
182,0.41007,-2.64864,-4.07963,0,0
183,0.06765,-2.42355,-3.79372,0,0
184,0.72204,-2.20950,-3.51973,0,0
185,0.07911,-2.09541,-3.36246,0,0
186,-0.07109,-1.94194,-3.14789,0,0
187,-1.40359,-1.82831,-2.97813,0,0
188,-0.18900,-2.07806,-3.31402,0,0
189,-0.47536,-1.92537,-3.09868,0,0
190,1.62480,-1.84152,-2.97842,0,0
191,-0.77756,-2.07686,-3.31802,0,0
192,1.07499,-2.01731,-3.22599,0,0
193,1.81208,-1.99919,-3.20129,0,0
194,0.05933,-2.22020,-3.55568,0,0
195,1.27773,-2.03261,-3.24936,0,0
196,1.83754,-2.06456,-3.30448,0,0
197,-0.72521,-2.25463,-3.62434,0,0
198,-0.13130,-2.14000,-3.41740,0,0
199,0.95286,-1.97215,-3.16334,0,0
200,0.37355,-1.93126,-3.11174,0,0
201,-0.53883,-1.78838,-2.90852,0,0
202,-0.11682,-1.72539,-2.82326,0,0
203,-1.81128,-1.60453,-2.64921,1,0
204,0.18984,-2.08280,-3.45993,0,0
205,0.72646,-1.89309,-3.08781,0,0
206,0.28506,-1.80511,-2.94781,0,0
207,-0.01522,-1.66576,-2.74220,0,0
208,-0.12922,-1.53985,-2.56157,0,0
209,-4.12569,-1.44441,-2.42252,1,1
210,0.36137,-4.34580,-6.70128,0,0
211,-0.89309,-3.24893,-5.51987,0,0
212,1.88252,-2.72512,-4.57382,0,0
213,6.05526,-2.70896,-4.40617,0,0
214,2.58239,-5.40762,-8.18443,0,0
215,1.27778,-4.69050,-7.32136,0,0
216,0.42258,-3.99709,-6.21548,0,0
217,-0.61125,-3.46437,-5.34191,0,0
218,0.07273,-3.11093,-4.82178,0,0
219,-1.10968,-2.72183,-4.33674,0,0
220,-3.11379,-2.71273,-4.27055,1,0
221,0.09993,-3.42255,-5.15709,0,0
222,0.42880,-3.11007,-4.71478,0,0
223,-0.13059,-2.81510,-4.34246,0,0
224,1.68812,-2.51784,-3.98693,0,0
225,1.10091,-2.70805,-4.16946,0,0
226,1.18682,-2.59852,-4.02403,0,0
227,0.88791,-2.53503,-3.93391,0,0
228,-0.34694,-2.39253,-3.75242,0,0
229,1.13300,-2.19126,-3.50275,0,0
230,0.68524,-2.19579,-3.49197,0,0
231,0.05650,-2.05564,-3.31039,0,0
232,1.19648,-1.87109,-3.07026,0,0
233,0.36282,-1.97444,-3.18642,0,0
234,0.18617,-1.81615,-2.97508,0,0
235,-0.84427,-1.67928,-2.78463,0,0
236,-0.79084,-1.75231,-2.87495,0,0
237,1.39448,-1.77941,-2.90718,0,0
238,-0.61733,-1.95637,-3.15771,0,0
239,-0.50075,-1.87743,-3.03926,0,0
240,0.94515,-1.78647,-2.91080,0,0
241,-0.97183,-1.78273,-2.91004,0,0
242,-3.77619,-1.84925,-3.01456,1,1
243,-3.04467,-3.89967,-6.26678,0,0
244,0.27663,-4.04510,-6.48861,0,0
245,1.65103,-3.18503,-5.23663,0,0
246,2.73181,-2.98266,-4.75616,0,0
247,0.78750,-3.19886,-5.04436,0,0
248,-2.71887,-2.88520,-4.47922,0,0
249,-2.46250,-3.21131,-4.97150,0,0
250,-0.92034,-3.32417,-5.11742,0,0
251,1.52336,-3.08056,-4.70848,0,0
252,2.49144,-2.99602,-4.56333,0,0
253,-2.23102,-3.16892,-4.81205,0,0
254,-1.07779,-3.24712,-4.92744,0,0
255,-2.74795,-3.06988,-4.65641,0,0
256,-1.23522,-3.34210,-5.06935,0,0
257,1.19308,-3.17397,-4.80366,0,0
258,4.09394,-3.00546,-4.56257,0,0
259,0.44551,-3.73874,-5.72281,0,0
260,2.14563,-3.33934,-5.08442,0,0
261,1.64739,-3.37706,-5.08919,0,0
262,2.09759,-3.26867,-4.92020,0,0
263,0.64265,-3.29089,-4.94118,0,0
264,0.20110,-3.02963,-4.59309,0,0
265,-4.10545,-2.73476,-4.23203,1,0
266,1.69831,-3.74727,-5.72968,0,0
267,-0.26986,-3.52073,-5.33085,0,0
268,0.82603,-3.18069,-4.83761,0,0
269,0.19475,-2.92530,-4.49944,0,0
270,-3.23490,-2.61278,-4.12025,1,0
271,1.59751,-3.38712,-5.11684,0,0
272,0.73670,-3.24259,-4.88987,0,0
273,1.23366,-2.98958,-4.54311,0,0
274,-1.01182,-2.86508,-4.37393,0,0
275,0.56064,-2.75407,-4.22535,0,0
276,0.13371,-2.52023,-3.93639,0,0
277,-1.08861,-2.27222,-3.63226,0,0
278,2.29354,-2.31781,-3.66440,0,0
279,1.06320,-2.72720,-4.18549,0,0
280,0.06567,-2.58944,-3.98846,0,0
281,0.60130,-2.36011,-3.68757,0,0
282,-0.91330,-2.18718,-3.46699,0,0
283,-2.38975,-2.16682,-3.43533,1,0
284,-1.94634,-2.67806,-4.19292,0,0
285,-2.08494,-2.77004,-4.32510,0,0
286,0.63596,-2.87876,-4.48399,0,0
287,-2.21407,-2.63503,-4.08344,0,0
