idx,R_oos,var_05,var_01,breach_05,breach_01
1,-0.72202,-2.11737,-3.45802,0,0
2,-0.25613,-2.01588,-3.30353,0,0
3,2.08620,-1.87469,-3.08323,0,0
4,0.83566,-2.21424,-3.64799,0,0
5,1.13902,-2.07386,-3.41187,0,0
6,-0.19423,-2.03032,-3.32346,0,0
7,0.67353,-1.88437,-3.09544,0,0
8,-0.88665,-1.80156,-2.95563,0,0
9,-1.67196,-1.84264,-3.00941,0,0
10,1.58290,-2.08912,-3.44620,0,0
11,2.75618,-2.13337,-3.51906,0,0
12,1.94133,-2.67396,-4.49181,0,0
13,0.19775,-2.63138,-4.31213,0,0
14,1.34253,-2.38957,-3.88031,0,0
15,0.15458,-2.32234,-3.72314,0,0
16,0.38587,-2.15178,-3.46699,0,0
17,0.80217,-2.01113,-3.25212,0,0
18,0.83459,-1.95029,-3.14693,0,0
19,-2.56594,-1.90773,-3.07999,1,0
20,0.35522,-2.53358,-4.17004,0,0
21,3.30737,-2.29459,-3.75462,0,0
22,-0.02392,-3.12748,-5.15194,0,0
23,0.03645,-2.74801,-4.47426,0,0
24,2.12049,-2.48430,-4.01936,0,0
25,0.43829,-2.61855,-4.16031,0,0
26,1.14154,-2.41313,-3.84808,0,0
27,0.61067,-2.32692,-3.69682,0,0
28,-3.67182,-2.18561,-3.49331,1,1
29,1.23869,-3.41649,-5.53474,0,0
30,2.04348,-3.04384,-4.86984,0,0
31,0.08010,-2.95720,-4.64745,0,0
32,-2.26491,-2.71182,-4.26407,0,0
33,-0.31100,-2.88708,-4.47159,0,0
34,5.03342,-2.67735,-4.17652,0,0
35,1.29510,-4.36554,-6.83842,0,0
36,-0.67442,-3.80449,-5.89390,0,0
37,-0.42198,-3.43304,-5.27554,0,0
38,-0.09739,-3.15418,-4.84486,0,0
39,0.94813,-2.91886,-4.50478,0,0
40,1.63076,-2.76332,-4.27322,0,0
41,0.72773,-2.76933,-4.24633,0,0
42,-2.35120,-2.60620,-4.04062,0,0
43,0.96886,-2.89068,-4.40559,0,0
44,2.13767,-2.72155,-4.19731,0,0
45,-0.11219,-2.81196,-4.30050,0,0
46,-1.65628,-2.61903,-4.06876,0,0
47,2.16885,-2.67730,-4.11873,0,0
48,0.60594,-2.76995,-4.23832,0,0
49,-0.87341,-2.59583,-4.03194,0,0
50,-2.23430,-2.49352,-3.88870,0,0
51,1.63510,-2.74570,-4.21944,0,0
52,0.33455,-2.68312,-4.13532,0,0
53,1.91559,-2.50492,-3.91817,0,0
54,2.37698,-2.60370,-4.02279,0,0
55,-0.50656,-2.76241,-4.24328,0,0
56,-0.70162,-2.59047,-4.03137,0,0
57,-0.19991,-2.46012,-3.85323,0,0
58,0.54586,-2.30131,-3.64151,0,0
59,1.15526,-2.17190,-3.45669,0,0
60,-0.41655,-2.19901,-3.46527,0,0
61,-1.95076,-2.07877,-3.31707,0,0
62,0.53610,-2.38695,-3.75099,0,0
63,-0.86056,-2.22325,-3.55206,0,0
64,-0.11102,-2.16069,-3.45783,0,0
65,0.61329,-2.00171,-3.23792,0,0
66,-0.58228,-1.90318,-3.08399,0,0
67,-1.72745,-1.86443,-3.01552,0,0
68,1.11597,-2.15695,-3.46813,0,0
69,-2.02230,-2.09041,-3.39069,0,0
70,-1.97534,-2.36518,-3.85094,0,0
71,-2.06946,-2.50478,-4.05083,0,0
72,-1.01481,-2.62911,-4.20036,0,0
73,-0.71485,-2.48809,-3.94726,0,0
74,-1.95440,-2.35181,-3.73363,0,0
75,1.00024,-2.52385,-3.95660,0,0
76,2.81076,-2.39627,-3.77827,0,0
77,0.44424,-2.79293,-4.38538,0,0
78,-1.84558,-2.57831,-4.06647,0,0
79,3.18885,-2.64456,-4.12102,0,0
80,0.76544,-3.08833,-4.81167,0,0
81,-1.87324,-2.85342,-4.43993,0,0
82,-1.60871,-2.85466,-4.39205,0,0
83,0.38801,-2.80638,-4.29935,0,0
84,3.58934,-2.63004,-4.08039,0,0
85,2.00615,-3.29256,-5.08556,0,0
86,1.39711,-3.16205,-4.83761,0,0
87,-0.28050,-2.99678,-4.57954,0,0
88,1.06406,-2.80399,-4.32358,0,0
89,0.86020,-2.68130,-4.14391,0,0
90,0.09210,-2.55418,-3.96957,0,0
91,0.59212,-2.38743,-3.75252,0,0
92,2.76412,-2.26514,-3.57857,0,0
93,0.84835,-2.75316,-4.24271,0,0
94,-0.47178,-2.58017,-4.02431,0,0
95,0.68110,-2.41914,-3.80955,0,0
96,0.08063,-2.28341,-3.61786,0,0
97,-0.31655,-2.11978,-3.39127,0,0
98,-0.83957,-2.00489,-3.21827,0,0
99,0.42483,-2.05760,-3.25890,0,0
100,0.19360,-1.92156,-3.09525,0,0
101,-1.29268,-1.77314,-2.88906,0,0
102,-1.40250,-2.03359,-3.22189,0,0
103,0.07611,-2.11859,-3.40633,0,0
104,1.33701,-1.95158,-3.18966,0,0
105,0.23948,-2.02341,-3.29285,0,0
106,2.58673,-1.86226,-3.06301,0,0
107,0.84363,-2.45337,-4.13208,0,0
108,0.04484,-2.24249,-3.72314,0,0
109,0.09645,-2.04430,-3.37391,0,0
110,0.25420,-1.88212,-3.09620,0,0
111,3.04685,-1.75083,-2.87666,0,0
112,0.11450,-2.74019,-4.66080,0,0
113,-0.08780,-2.39451,-4.01821,0,0
114,1.70188,-2.16026,-3.58162,0,0
115,1.05594,-2.25930,-3.67947,0,0
116,-0.08117,-2.15874,-3.50323,0,0
117,-1.38814,-1.99611,-3.25384,0,0
118,-0.10706,-2.12619,-3.42674,0,0
119,-0.17062,-1.96855,-3.20873,0,0
120,0.38807,-1.83170,-2.99969,0,0
121,0.47009,-1.71778,-2.81868,0,0
122,0.05166,-1.63701,-2.68764,0,0
123,-0.51708,-1.52624,-2.52304,0,0
124,0.95292,-1.57616,-2.57196,0,0
125,1.58084,-1.67215,-2.74429,0,0
126,1.49238,-1.86448,-3.16238,0,0
127,0.72827,-1.94771,-3.33309,0,0
128,0.42351,-1.82021,-3.08418,0,0
129,1.49540,-1.68483,-2.83165,0,0
130,-0.58070,-1.87271,-3.15552,0,0
131,1.03081,-1.77579,-2.98977,0,0
132,0.67271,-1.76992,-2.97318,0,0
133,0.77332,-1.68307,-2.82259,0,0
134,-2.27370,-1.64306,-2.74954,1,0
135,-1.95795,-2.32937,-4.14886,0,0
136,-1.78771,-2.51451,-4.37870,0,0
137,1.46456,-2.53518,-4.29554,0,0
138,0.56143,-2.40903,-3.97434,0,0
139,-4.63901,-2.21419,-3.61633,1,1
140,-1.45338,-4.54702,-7.07855,0,0
141,1.07708,-3.83787,-6.09055,0,0
142,0.61128,-3.35293,-5.29976,0,0
143,-1.24122,-3.01552,-4.74262,0,0
144,3.35304,-2.84696,-4.44393,0,0
145,-2.19046,-3.34535,-5.18875,0,0
146,-5.95081,-3.27668,-5.02377,1,1
147,-6.75082,-5.27315,-8.13484,1,0
148,2.64503,-6.65693,-10.10857,0,0
149,-0.03773,-5.71365,-8.55465,0,0
150,2.04170,-5.08642,-7.51915,0,0
151,1.84015,-4.68950,-6.90041,0,0
152,0.71231,-4.40111,-6.48575,0,0
153,2.76780,-4.09799,-6.07738,0,0
154,1.83345,-4.14543,-6.11763,0,0
155,3.74361,-3.96824,-5.88417,0,0
156,1.03931,-4.26846,-6.26736,0,0
157,1.72190,-3.98188,-5.90687,0,0
158,0.75795,-3.81680,-5.68237,0,0
159,0.54216,-3.58348,-5.38158,0,0
160,-0.95933,-3.36962,-5.10025,0,0
161,1.23613,-3.25289,-4.92477,0,0
162,0.19451,-3.16229,-4.78439,0,0
163,-0.09108,-2.94607,-4.51984,0,0
164,-1.14792,-2.75102,-4.27094,0,0
165,0.77651,-2.83980,-4.30717,0,0
166,0.62258,-2.68953,-4.13265,0,0
167,-2.87188,-2.52976,-3.93581,1,0
168,-1.66991,-3.04790,-4.61273,0,0
169,-0.76239,-2.97687,-4.52251,0,0
170,-3.26261,-2.80862,-4.31337,1,0
171,1.10484,-3.31745,-5.04799,0,0
172,0.93317,-3.09565,-4.72832,0,0
173,0.68620,-2.90852,-4.46663,0,0
174,3.77239,-2.73328,-4.22821,0,0
175,2.06485,-3.44987,-5.28049,0,0
176,0.13850,-3.30615,-5.02586,0,0
177,0.73487,-3.06549,-4.69341,0,0
178,0.01990,-2.87361,-4.42371,0,0
179,2.71822,-2.68121,-4.16374,0,0
180,-0.84696,-3.02768,-4.59614,0,0
181,0.70952,-2.84834,-4.36802,0,0
182,0.41007,-2.67358,-4.14162,0,0
183,0.06765,-2.49701,-3.90835,0,0
184,0.72204,-2.32315,-3.67241,0,0
185,0.07911,-2.23293,-3.52974,0,0
186,-0.07109,-2.07353,-3.31688,0,0
187,-1.40359,-1.93844,-3.12481,0,0
188,-0.18900,-2.23427,-3.45268,0,0
189,-0.47536,-2.08147,-3.31411,0,0
