t,chmm_n,chmm_t_pen,chmm_l,chmm_ged,chmm_t_shared_nu
1,0.409555,0.410810,0.417518,0.426201,0.414159
2,1.184291,1.274260,1.222961,1.194591,1.237047
3,0.468490,0.544635,0.518218,0.466161,0.466110
4,0.658474,0.599685,0.655879,0.601017,0.564698
5,0.398833,0.397231,0.407583,0.407933,0.429085
6,0.446502,0.420314,0.434888,0.453940,0.419298
7,0.667091,0.653559,0.649094,0.654336,0.682081
8,1.209474,1.136850,1.190682,1.096064,1.201179
9,0.912081,0.860166,0.869745,0.881362,0.916954
10,1.723489,1.745599,1.711819,1.738713,1.734891
11,1.087935,1.079279,1.166580,1.121670,1.026779
12,0.364011,0.390766,0.376450,0.377145,0.341534
13,0.709237,0.714210,0.796038,0.688481,0.720100
14,0.357756,0.361049,0.373208,0.387778,0.350549
15,0.353255,0.394333,0.388466,0.392070,0.371038
16,0.472794,0.470045,0.466914,0.496740,0.497193
17,0.479957,0.478344,0.481655,0.505319,0.469898
18,1.823736,1.830876,1.859479,1.909420,1.864186
19,0.381238,0.375619,0.360441,0.357775,0.380124
20,2.192048,2.340638,2.218195,2.243241,2.250988
21,0.370877,0.391768,0.387477,0.367228,0.375519
22,0.380970,0.402267,0.344685,0.385445,0.366382
23,1.227285,1.254431,1.226607,1.257418,1.193096
24,0.375562,0.391925,0.385036,0.409940,0.382871
25,0.630244,0.620344,0.643858,0.631315,0.616984
26,0.431880,0.422801,0.404748,0.419752,0.420249
27,2.850784,2.718363,2.848461,2.753552,2.867127
28,0.711117,0.657458,0.680085,0.645641,0.641854
29,1.180163,1.170477,1.218792,1.209548,1.165253
30,0.389943,0.381299,0.353046,0.390369,0.381644
31,1.675413,1.625946,1.608505,1.631180,1.649799
32,0.442230,0.419326,0.429985,0.424968,0.454956
33,3.839375,3.907146,3.903043,3.879545,3.873598
34,0.694074,0.706936,0.702088,0.739525,0.690308
35,0.576443,0.575049,0.581611,0.565358,0.578116
36,0.499455,0.479943,0.453784,0.467594,0.490558
37,0.384677,0.402002,0.375809,0.406478,0.426008
38,0.540421,0.543861,0.526154,0.539089,0.522018
39,0.943341,0.981748,0.908870,0.931243,0.936036
40,0.462295,0.499185,0.456072,0.447114,0.457110
41,1.674853,1.664429,1.716413,1.637856,1.656003
42,0.539875,0.558213,0.499900,0.512235,0.481934
43,1.286045,1.202629,1.349123,1.304257,1.220881
44,0.372882,0.421859,0.392571,0.407621,0.411286
45,1.101947,1.127102,1.221290,1.194890,1.128196
46,1.276895,1.261542,1.294380,1.318891,1.299049
47,0.412123,0.429512,0.417397,0.411134,0.409561
48,0.671920,0.679954,0.676726,0.701430,0.697673
49,1.652186,1.644568,1.578462,1.615129,1.546200
50,0.842828,0.881819,0.961507,0.885746,0.849741
51,0.391491,0.365693,0.358620,0.383440,0.354765
52,1.060948,1.060393,1.106241,1.079686,1.078847
53,1.446836,1.439045,1.437013,1.402286,1.418749
54,0.494103,0.500579,0.489887,0.510908,0.480398
55,0.597565,0.600979,0.535048,0.562667,0.596102
56,0.418519,0.395141,0.392670,0.443301,0.412315
57,0.398674,0.420210,0.394091,0.419608,0.423708
58,0.651391,0.601540,0.615050,0.630218,0.598749
59,0.483037,0.457320,0.457974,0.454698,0.464195
60,1.363859,1.309734,1.342531,1.374168,1.374715
61,0.407387,0.422508,0.391013,0.392545,0.412947
62,0.665717,0.663852,0.672199,0.654454,0.633866
63,0.403495,0.386953,0.370019,0.386042,0.418749
64,0.405319,0.448806,0.386553,0.419360,0.371078
65,0.535695,0.535204,0.475992,0.538683,0.543265
66,1.153891,1.170718,1.297168,1.110341,1.246310
67,0.648965,0.595832,0.579273,0.583833,0.568119
68,1.395051,1.377291,1.377886,1.421868,1.373467
69,1.396852,1.400304,1.367531,1.339421,1.470421
70,1.434543,1.454930,1.458774,1.477454,1.478695
71,0.695861,0.738296,0.677147,0.722770,0.761789
72,0.563283,0.597040,0.575569,0.528851,0.595329
73,1.351110,1.398237,1.285416,1.338472,1.406878
