K,nu_shared,is_KS,is_kurt,is_acf_mae,is_acf_mae_raw,oos_KS,oos_kurt,oos_acf_mae,oos_acf_mae_raw
3,5.8076,91.9,4.68,0.0531,0.0236,82.1,4.46,0.0502,0.0436
6,4.6717,92.7,9.38,0.0518,0.0235,82.6,6.95,0.0503,0.0433
18,5.7960,95.8,6.25,0.0542,0.0234,88.0,5.00,0.0508,0.0433
