Track C1 vol-target strategy (SM-CHMM rows appended)
Train         | Sharpe | AnnRet  | AnnVol  | MDD     | Turnover | Mean w
Real IS       | 1.26   | 0.016   | 0.013   | 0.0199  | 0.2      | 0.1   
Bootstrap     | 1.31   | 0.017   | 0.013   | 0.0199  | 0.0      | 0.1   
Gaussian      | 1.31   | 0.017   | 0.013   | 0.0199  | 0.0      | 0.1   
Laplace       | 1.31   | 0.017   | 0.013   | 0.0199  | 0.0      | 0.1   
DiscreteNJ    | 1.31   | 0.017   | 0.013   | 0.0199  | 0.0      | 0.1   
DiscreteWJ    | 1.31   | 0.017   | 0.013   | 0.0199  | 0.0      | 0.1   
GARCH         | 1.23   | 0.016   | 0.013   | 0.0199  | 0.57     | 0.1   
CHMM-N        | 1.3    | 0.016   | 0.013   | 0.0199  | 0.04     | 0.1   
CHMM-t        | 1.31   | 0.017   | 0.013   | 0.0199  | 0.0      | 0.1   
CHMM-L        | 1.31   | 0.017   | 0.013   | 0.0199  | 0.0      | 0.1   
SM-CHMM-N     | 1.25   | 0.016   | 0.013   | 0.0199  | 0.38     | 0.1   
SM-CHMM-t     | 1.31   | 0.017   | 0.013   | 0.0199  | 0.0      | 0.1   
SM-CHMM-L     | 1.31   | 0.017   | 0.013   | 0.0199  | 0.0      | 0.1   
