SM-CHMM baseline p-values (SM-CHMM rows appended)
Model         | p_kurt  | p_acf   | p_lev   | p_ak5   | p_ak21  | pv̄ IS   | pv̄ OoS
Bootstrap     | 0.894   | 0.0     | 0.0     | 0.012   | 0.005   | 0.228   | 0.466  
Gaussian      | 0.0     | 0.0     | 0.0     | 0.0     | 0.002   | 0.0     | 0.116  
Laplace       | 0.002   | 0.0     | 0.0     | 0.0     | 0.002   | 0.001   | 0.156  
DiscreteNJ    | 0.0     | 0.0     | 0.0     | 0.034   | 0.029   | 0.016   | 0.376  
DiscreteWJ    | 0.0     | 0.0     | 0.0     | 0.06    | 0.057   | 0.029   | 0.384  
GARCH         | 0.271   | 0.021   | 0.014   | 0.903   | 0.974   | 0.54    | 0.468  
CHMM-N        | 0.009   | 0.0     | 0.0     | 0.659   | 0.894   | 0.39    | 0.539  
CHMM-t        | 0.872   | 0.0     | 0.0     | 0.196   | 0.228   | 0.324   | 0.661  
CHMM-L        | 0.369   | 0.0     | 0.0     | 0.061   | 0.13    | 0.14    | 0.692  
SM-CHMM-N     | 0.263   | 0.001   | 0.011   | 0.721   | 0.901   | 0.474   | 0.483  
SM-CHMM-t     | 0.774   | 0.0     | 0.0     | 0.784   | 0.75    | 0.577   | 0.384  
SM-CHMM-L     | 0.842   | 0.0     | 0.0     | 0.646   | 0.386   | 0.468   | 0.436  
