SM-CHMM baseline leverage effect (SM-CHMM rows appended)
Observed IS  avg_neg=-0.0876  asym=0.35763
Observed OoS avg_neg=-0.0659  asym=0.47774

Model         | avg_neg IS  | asym IS   | pv avg IS | avg_neg OoS | asym OoS  | pv avg OoS
Bootstrap     | 0.0003     | -0.0045   | 0.0       | 0.0009      | -0.004    | 0.0      
Gaussian      | -0.0       | 0.0007    | 0.0       | 0.0003      | 0.0001    | 0.0      
Laplace       | -0.0       | 0.002     | 0.0       | -0.0002     | -0.0004   | 0.0      
DiscreteNJ    | -0.0097    | 0.2886    | 0.0       | -0.0085     | 0.2854    | 0.0      
DiscreteWJ    | -0.0106    | 0.2923    | 0.001     | -0.0082     | 0.2888    | 0.011    
GARCH         | -0.0011    | 0.0647    | 0.015     | -0.0017     | 0.0563    | 0.07     
CHMM-N        | -0.0383    | 0.2938    | 0.0       | -0.0347     | 0.2784    | 0.241    
CHMM-t        | -0.0263    | 0.2812    | 0.0       | -0.0265     | 0.2746    | 0.036    
CHMM-L        | -0.0242    | 0.3212    | 0.0       | -0.0249     | 0.3093    | 0.021    
SM-CHMM-N     | -0.0257    | 0.1598    | 0.011     | -0.0208     | 0.1559    | 0.145    
SM-CHMM-t     | -0.0323    | 0.2924    | 0.0       | -0.032      | 0.2864    | 0.171    
SM-CHMM-L     | -0.0266    | 0.3088    | 0.0       | -0.0269     | 0.2974    | 0.036    
